2025-11-20T23:41:19.999162 | academic_lectures_306 | chunk 0 | prompt_tokens=1282, candidates_tokens=104, total_tokens=1386
2025-11-20T23:41:29.877713 | academic_lectures_306 | chunk 1 | prompt_tokens=1482, candidates_tokens=127, total_tokens=1609
2025-11-20T23:41:38.850206 | academic_lectures_306 | chunk 2 | prompt_tokens=1182, candidates_tokens=83, total_tokens=1265
2025-11-20T23:41:50.406683 | academic_lectures_306 | chunk 3 | prompt_tokens=2257, candidates_tokens=172, total_tokens=2429
2025-11-20T23:41:54.803429 | academic_lectures_306 | chunk 4 | prompt_tokens=857, candidates_tokens=58, total_tokens=915
2025-11-20T23:41:59.532915 | academic_lectures_306 | chunk 5 | prompt_tokens=1057, candidates_tokens=60, total_tokens=1117
2025-11-20T23:42:03.960663 | academic_lectures_306 | chunk 6 | prompt_tokens=982, candidates_tokens=44, total_tokens=1026
2025-11-20T23:42:09.116857 | academic_lectures_306 | chunk 7 | prompt_tokens=832, candidates_tokens=69, total_tokens=901
2025-11-20T23:42:13.504337 | academic_lectures_306 | chunk 8 | prompt_tokens=832, candidates_tokens=51, total_tokens=883
2025-11-20T23:42:18.627653 | academic_lectures_306 | chunk 9 | prompt_tokens=932, candidates_tokens=65, total_tokens=997
2025-11-20T23:42:26.914075 | academic_lectures_306 | chunk 10 | prompt_tokens=1007, candidates_tokens=117, total_tokens=1124
2025-11-20T23:42:34.002439 | academic_lectures_306 | chunk 11 | prompt_tokens=832, candidates_tokens=81, total_tokens=913
2025-11-20T23:42:43.155283 | academic_lectures_306 | chunk 12 | prompt_tokens=1207, candidates_tokens=58, total_tokens=1265
2025-11-20T23:42:50.751137 | academic_lectures_180 | chunk 0 | prompt_tokens=807, candidates_tokens=93, total_tokens=900
2025-11-20T23:42:59.376359 | academic_lectures_180 | chunk 1 | prompt_tokens=1032, candidates_tokens=54, total_tokens=1086
2025-11-20T23:43:08.643726 | academic_lectures_180 | chunk 2 | prompt_tokens=2257, candidates_tokens=44, total_tokens=2301
2025-11-20T23:43:18.335051 | academic_lectures_180 | chunk 3 | prompt_tokens=2307, candidates_tokens=130, total_tokens=2437
2025-11-20T23:43:23.050441 | academic_lectures_180 | chunk 4 | prompt_tokens=657, candidates_tokens=93, total_tokens=750
2025-11-20T23:43:33.697421 | academic_lectures_180 | chunk 5 | prompt_tokens=2407, candidates_tokens=68, total_tokens=2475
2025-11-20T23:43:41.638915 | academic_lectures_180 | chunk 6 | prompt_tokens=1357, candidates_tokens=108, total_tokens=1465
2025-11-20T23:43:49.695246 | academic_lectures_180 | chunk 7 | prompt_tokens=657, candidates_tokens=128, total_tokens=785
2025-11-20T23:43:55.663221 | academic_lectures_180 | chunk 8 | prompt_tokens=532, candidates_tokens=74, total_tokens=606
2025-11-20T23:44:00.024389 | academic_lectures_39 | chunk 0 | prompt_tokens=1057, candidates_tokens=59, total_tokens=1116
2025-11-20T23:44:06.018880 | academic_lectures_39 | chunk 1 | prompt_tokens=582, candidates_tokens=54, total_tokens=636
2025-11-20T23:44:12.884197 | academic_lectures_39 | chunk 2 | prompt_tokens=832, candidates_tokens=112, total_tokens=944
2025-11-20T23:44:18.729649 | academic_lectures_39 | chunk 3 | prompt_tokens=982, candidates_tokens=71, total_tokens=1053
2025-11-20T23:44:23.158865 | academic_lectures_39 | chunk 4 | prompt_tokens=732, candidates_tokens=95, total_tokens=827
2025-11-20T23:44:29.123034 | academic_lectures_39 | chunk 5 | prompt_tokens=657, candidates_tokens=49, total_tokens=706
2025-11-20T23:44:34.749670 | academic_lectures_39 | chunk 6 | prompt_tokens=1132, candidates_tokens=104, total_tokens=1236
2025-11-20T23:44:38.878361 | academic_lectures_39 | chunk 7 | prompt_tokens=657, candidates_tokens=66, total_tokens=723
2025-11-20T23:44:42.980701 | academic_lectures_39 | chunk 8 | prompt_tokens=582, candidates_tokens=56, total_tokens=638
2025-11-20T23:44:49.974259 | academic_lectures_39 | chunk 9 | prompt_tokens=1632, candidates_tokens=170, total_tokens=1802
2025-11-20T23:44:59.496727 | academic_lectures_39 | chunk 10 | prompt_tokens=1907, candidates_tokens=80, total_tokens=1987
2025-11-20T23:45:06.852092 | academic_lectures_39 | chunk 11 | prompt_tokens=2007, candidates_tokens=102, total_tokens=2109
2025-11-20T23:45:12.411774 | academic_lectures_39 | chunk 12 | prompt_tokens=1257, candidates_tokens=63, total_tokens=1320
2025-11-20T23:45:24.010241 | academic_lectures_39 | chunk 13 | prompt_tokens=2107, candidates_tokens=54, total_tokens=2161
2025-11-20T23:45:38.123408 | academic_lectures_307 | chunk 0 | prompt_tokens=2257, candidates_tokens=143, total_tokens=2400
2025-11-20T23:45:46.366343 | academic_lectures_307 | chunk 1 | prompt_tokens=1107, candidates_tokens=59, total_tokens=1166
2025-11-20T23:45:54.375064 | academic_lectures_307 | chunk 2 | prompt_tokens=957, candidates_tokens=70, total_tokens=1027
2025-11-20T23:46:06.627359 | academic_lectures_307 | chunk 3 | prompt_tokens=657, candidates_tokens=60, total_tokens=717
2025-11-20T23:46:17.674291 | academic_lectures_307 | chunk 4 | prompt_tokens=807, candidates_tokens=60, total_tokens=867
2025-11-20T23:46:29.401717 | academic_lectures_307 | chunk 5 | prompt_tokens=982, candidates_tokens=46, total_tokens=1028
2025-11-20T23:46:35.981350 | academic_lectures_307 | chunk 6 | prompt_tokens=782, candidates_tokens=66, total_tokens=848
