2025-11-21T00:41:10.208385 | astronomy_96 | chunk 0 | prompt_tokens=1982, candidates_tokens=103, total_tokens=2085
2025-11-21T00:41:14.061806 | astronomy_96 | chunk 1 | prompt_tokens=607, candidates_tokens=91, total_tokens=698
2025-11-21T00:41:18.677568 | astronomy_96 | chunk 2 | prompt_tokens=607, candidates_tokens=82, total_tokens=689
2025-11-21T00:41:25.697531 | astronomy_96 | chunk 3 | prompt_tokens=1407, candidates_tokens=95, total_tokens=1502
2025-11-21T00:41:30.025780 | astronomy_96 | chunk 4 | prompt_tokens=607, candidates_tokens=40, total_tokens=647
2025-11-21T00:41:36.498045 | astronomy_96 | chunk 5 | prompt_tokens=1607, candidates_tokens=84, total_tokens=1691
2025-11-21T00:41:41.543807 | astronomy_96 | chunk 6 | prompt_tokens=1107, candidates_tokens=107, total_tokens=1214
2025-11-21T00:41:57.205676 | astronomy_96 | chunk 7 | prompt_tokens=1607, candidates_tokens=116, total_tokens=1723
2025-11-21T00:42:25.005996 | astronomy_96 | chunk 8 | prompt_tokens=3032, candidates_tokens=269, total_tokens=3301
2025-11-21T00:42:33.265946 | astronomy_96 | chunk 9 | prompt_tokens=3382, candidates_tokens=127, total_tokens=3509
2025-11-21T00:42:37.622924 | astronomy_96 | chunk 10 | prompt_tokens=1182, candidates_tokens=62, total_tokens=1244
2025-11-21T00:42:45.519583 | astronomy_408 | chunk 0 | prompt_tokens=1882, candidates_tokens=77, total_tokens=1959
2025-11-21T00:42:53.010008 | astronomy_408 | chunk 1 | prompt_tokens=1532, candidates_tokens=68, total_tokens=1600
2025-11-21T00:43:00.438003 | astronomy_408 | chunk 2 | prompt_tokens=1157, candidates_tokens=72, total_tokens=1229
2025-11-21T00:43:11.991023 | astronomy_408 | chunk 3 | prompt_tokens=1982, candidates_tokens=86, total_tokens=2068
2025-11-21T00:43:25.827726 | astronomy_408 | chunk 4 | prompt_tokens=1682, candidates_tokens=98, total_tokens=1780
2025-11-21T00:43:34.053104 | astronomy_408 | chunk 5 | prompt_tokens=1482, candidates_tokens=120, total_tokens=1602
2025-11-21T00:43:40.031814 | astronomy_408 | chunk 6 | prompt_tokens=1282, candidates_tokens=57, total_tokens=1339
2025-11-21T00:43:48.918740 | astronomy_408 | chunk 7 | prompt_tokens=1507, candidates_tokens=95, total_tokens=1602
2025-11-21T00:43:59.168194 | astronomy_408 | chunk 8 | prompt_tokens=1407, candidates_tokens=105, total_tokens=1512
2025-11-21T00:44:05.623853 | astronomy_408 | chunk 9 | prompt_tokens=1182, candidates_tokens=98, total_tokens=1280
2025-11-21T00:44:10.794762 | astronomy_435 | chunk 0 | prompt_tokens=832, candidates_tokens=80, total_tokens=912
2025-11-21T00:44:16.625620 | astronomy_435 | chunk 1 | prompt_tokens=957, candidates_tokens=140, total_tokens=1097
2025-11-21T00:44:24.417522 | astronomy_435 | chunk 2 | prompt_tokens=982, candidates_tokens=93, total_tokens=1075
2025-11-21T00:44:30.159083 | astronomy_435 | chunk 3 | prompt_tokens=457, candidates_tokens=53, total_tokens=510
2025-11-21T00:44:37.355404 | astronomy_435 | chunk 4 | prompt_tokens=807, candidates_tokens=81, total_tokens=888
2025-11-21T00:44:42.384703 | astronomy_435 | chunk 5 | prompt_tokens=732, candidates_tokens=74, total_tokens=806
2025-11-21T00:44:48.775868 | astronomy_435 | chunk 6 | prompt_tokens=1057, candidates_tokens=102, total_tokens=1159
2025-11-21T00:44:53.431757 | astronomy_435 | chunk 7 | prompt_tokens=782, candidates_tokens=76, total_tokens=858
2025-11-21T00:44:57.836985 | astronomy_435 | chunk 8 | prompt_tokens=957, candidates_tokens=81, total_tokens=1038
2025-11-21T00:45:03.388715 | astronomy_435 | chunk 9 | prompt_tokens=1207, candidates_tokens=121, total_tokens=1328
2025-11-21T00:45:09.358821 | astronomy_435 | chunk 10 | prompt_tokens=882, candidates_tokens=110, total_tokens=992
2025-11-21T00:45:19.202104 | astronomy_435 | chunk 11 | prompt_tokens=1607, candidates_tokens=95, total_tokens=1702
