2025-11-20T20:27:01.478487 | celebrity_interviews_16 | chunk 0 | prompt_tokens=857, candidates_tokens=99, total_tokens=956
2025-11-20T20:27:14.728226 | celebrity_interviews_16 | chunk 1 | prompt_tokens=832, candidates_tokens=109, total_tokens=941
2025-11-20T20:27:31.459803 | celebrity_interviews_16 | chunk 2 | prompt_tokens=1157, candidates_tokens=135, total_tokens=1292
2025-11-20T20:27:53.591821 | celebrity_interviews_16 | chunk 3 | prompt_tokens=1832, candidates_tokens=144, total_tokens=1976
2025-11-20T20:28:18.745781 | celebrity_interviews_16 | chunk 4 | prompt_tokens=1832, candidates_tokens=141, total_tokens=1973
2025-11-20T20:28:28.365912 | celebrity_interviews_16 | chunk 5 | prompt_tokens=607, candidates_tokens=86, total_tokens=693
2025-11-20T20:28:33.812876 | celebrity_interviews_16 | chunk 6 | prompt_tokens=532, candidates_tokens=69, total_tokens=601
2025-11-20T20:28:46.068897 | celebrity_interviews_16 | chunk 7 | prompt_tokens=907, candidates_tokens=100, total_tokens=1007
2025-11-20T20:29:00.476707 | celebrity_interviews_16 | chunk 8 | prompt_tokens=1232, candidates_tokens=191, total_tokens=1423
2025-11-20T20:29:11.313642 | celebrity_interviews_16 | chunk 9 | prompt_tokens=907, candidates_tokens=108, total_tokens=1015
2025-11-20T20:29:33.389184 | celebrity_interviews_16 | chunk 10 | prompt_tokens=1632, candidates_tokens=142, total_tokens=1774
2025-11-20T20:29:43.309770 | celebrity_interviews_16 | chunk 11 | prompt_tokens=757, candidates_tokens=84, total_tokens=841
2025-11-20T20:29:54.886270 | celebrity_interviews_16 | chunk 12 | prompt_tokens=682, candidates_tokens=79, total_tokens=761
2025-11-20T20:30:10.812734 | celebrity_interviews_16 | chunk 13 | prompt_tokens=1182, candidates_tokens=98, total_tokens=1280
2025-11-20T20:30:21.379897 | celebrity_interviews_16 | chunk 14 | prompt_tokens=482, candidates_tokens=56, total_tokens=538
2025-11-20T20:30:45.618075 | celebrity_interviews_16 | chunk 15 | prompt_tokens=1807, candidates_tokens=149, total_tokens=1956
2025-11-20T20:30:52.149426 | celebrity_interviews_16 | chunk 16 | prompt_tokens=282, candidates_tokens=43, total_tokens=325
2025-11-20T20:31:06.207406 | celebrity_interviews_271 | chunk 0 | prompt_tokens=907, candidates_tokens=96, total_tokens=1003
2025-11-20T20:31:21.070536 | celebrity_interviews_271 | chunk 1 | prompt_tokens=1457, candidates_tokens=132, total_tokens=1589
2025-11-20T20:31:36.324893 | celebrity_interviews_271 | chunk 2 | prompt_tokens=1282, candidates_tokens=187, total_tokens=1469
2025-11-20T20:31:43.585403 | celebrity_interviews_271 | chunk 3 | prompt_tokens=582, candidates_tokens=77, total_tokens=659
2025-11-20T20:31:50.890776 | celebrity_interviews_271 | chunk 4 | prompt_tokens=757, candidates_tokens=98, total_tokens=855
2025-11-20T20:31:58.380577 | celebrity_interviews_271 | chunk 5 | prompt_tokens=607, candidates_tokens=94, total_tokens=701
2025-11-20T20:32:16.751136 | celebrity_interviews_271 | chunk 6 | prompt_tokens=1382, candidates_tokens=208, total_tokens=1590
2025-11-20T20:32:33.399953 | celebrity_interviews_271 | chunk 7 | prompt_tokens=1232, candidates_tokens=154, total_tokens=1386
2025-11-20T20:32:48.366997 | celebrity_interviews_271 | chunk 8 | prompt_tokens=1182, candidates_tokens=104, total_tokens=1286
2025-11-20T20:32:57.162035 | celebrity_interviews_271 | chunk 9 | prompt_tokens=807, candidates_tokens=107, total_tokens=914
2025-11-20T20:33:14.483598 | celebrity_interviews_271 | chunk 10 | prompt_tokens=1457, candidates_tokens=155, total_tokens=1612
2025-11-20T20:33:20.239363 | celebrity_interviews_271 | chunk 11 | prompt_tokens=482, candidates_tokens=66, total_tokens=548
2025-11-20T20:33:38.576780 | celebrity_interviews_271 | chunk 12 | prompt_tokens=1257, candidates_tokens=89, total_tokens=1346
2025-11-20T20:33:52.883786 | celebrity_interviews_329 | chunk 0 | prompt_tokens=1182, candidates_tokens=140, total_tokens=1322
2025-11-20T20:34:01.010670 | celebrity_interviews_329 | chunk 1 | prompt_tokens=732, candidates_tokens=91, total_tokens=823
2025-11-20T20:34:09.498900 | celebrity_interviews_329 | chunk 2 | prompt_tokens=757, candidates_tokens=90, total_tokens=847
2025-11-20T20:34:19.339510 | celebrity_interviews_329 | chunk 3 | prompt_tokens=982, candidates_tokens=88, total_tokens=1070
2025-11-20T20:34:30.745609 | celebrity_interviews_329 | chunk 4 | prompt_tokens=982, candidates_tokens=94, total_tokens=1076
2025-11-20T20:34:42.622373 | celebrity_interviews_329 | chunk 5 | prompt_tokens=1157, candidates_tokens=94, total_tokens=1251
2025-11-20T20:34:50.410688 | celebrity_interviews_329 | chunk 6 | prompt_tokens=857, candidates_tokens=93, total_tokens=950
2025-11-20T20:34:57.567459 | celebrity_interviews_329 | chunk 7 | prompt_tokens=557, candidates_tokens=58, total_tokens=615
2025-11-20T20:35:15.794169 | celebrity_interviews_329 | chunk 8 | prompt_tokens=1657, candidates_tokens=160, total_tokens=1817
2025-11-20T20:35:34.751759 | celebrity_interviews_329 | chunk 9 | prompt_tokens=1457, candidates_tokens=142, total_tokens=1599
2025-11-20T20:35:48.760359 | celebrity_interviews_329 | chunk 10 | prompt_tokens=1032, candidates_tokens=139, total_tokens=1171
2025-11-20T20:35:56.031159 | celebrity_interviews_329 | chunk 11 | prompt_tokens=457, candidates_tokens=82, total_tokens=539
2025-11-20T20:36:05.103211 | celebrity_interviews_329 | chunk 12 | prompt_tokens=707, candidates_tokens=76, total_tokens=783
2025-11-20T20:36:16.274474 | celebrity_interviews_329 | chunk 13 | prompt_tokens=1057, candidates_tokens=87, total_tokens=1144
2025-11-20T20:36:26.667154 | celebrity_interviews_329 | chunk 14 | prompt_tokens=832, candidates_tokens=51, total_tokens=883
2025-11-20T20:36:38.974541 | celebrity_interviews_329 | chunk 15 | prompt_tokens=1032, candidates_tokens=76, total_tokens=1108
2025-11-20T20:36:55.773821 | celebrity_interviews_329 | chunk 16 | prompt_tokens=1582, candidates_tokens=60, total_tokens=1642
2025-11-20T20:37:18.151064 | celebrity_interviews_201 | chunk 0 | prompt_tokens=1757, candidates_tokens=153, total_tokens=1910
2025-11-20T20:37:29.876143 | celebrity_interviews_201 | chunk 1 | prompt_tokens=1032, candidates_tokens=82, total_tokens=1114
2025-11-20T20:37:40.325629 | celebrity_interviews_201 | chunk 2 | prompt_tokens=982, candidates_tokens=97, total_tokens=1079
2025-11-20T20:38:00.168470 | celebrity_interviews_201 | chunk 3 | prompt_tokens=1682, candidates_tokens=91, total_tokens=1773
2025-11-20T20:38:09.993636 | celebrity_interviews_201 | chunk 4 | prompt_tokens=732, candidates_tokens=72, total_tokens=804
2025-11-20T20:38:35.502102 | celebrity_interviews_201 | chunk 5 | prompt_tokens=932, candidates_tokens=86, total_tokens=1018
2025-11-20T20:38:54.273547 | celebrity_interviews_201 | chunk 6 | prompt_tokens=1457, candidates_tokens=93, total_tokens=1550
2025-11-20T20:39:07.957975 | celebrity_interviews_201 | chunk 7 | prompt_tokens=1007, candidates_tokens=80, total_tokens=1087
