2025-11-21T01:20:55.212994 | film_trailers_351 | chunk 0 | prompt_tokens=1282, candidates_tokens=96, total_tokens=1378
2025-11-21T01:20:59.355781 | film_trailers_351 | chunk 1 | prompt_tokens=607, candidates_tokens=98, total_tokens=705
2025-11-21T01:21:05.830414 | film_trailers_351 | chunk 2 | prompt_tokens=1182, candidates_tokens=117, total_tokens=1299
2025-11-21T01:21:10.023693 | film_trailers_351 | chunk 3 | prompt_tokens=732, candidates_tokens=89, total_tokens=821
2025-11-21T01:21:19.827121 | film_trailers_351 | chunk 4 | prompt_tokens=2257, candidates_tokens=183, total_tokens=2440
2025-11-21T01:21:27.902047 | film_trailers_351 | chunk 5 | prompt_tokens=1832, candidates_tokens=179, total_tokens=2011
2025-11-21T01:21:33.331254 | film_trailers_351 | chunk 6 | prompt_tokens=707, candidates_tokens=107, total_tokens=814
2025-11-21T01:21:43.328929 | film_trailers_351 | chunk 7 | prompt_tokens=1757, candidates_tokens=104, total_tokens=1861
2025-11-21T01:21:49.703108 | film_trailers_351 | chunk 8 | prompt_tokens=1157, candidates_tokens=159, total_tokens=1316
2025-11-21T01:21:57.657692 | film_trailers_351 | chunk 9 | prompt_tokens=1757, candidates_tokens=159, total_tokens=1916
2025-11-21T01:22:05.625915 | film_trailers_351 | chunk 10 | prompt_tokens=1157, candidates_tokens=138, total_tokens=1295
2025-11-21T01:22:09.512557 | film_trailers_328 | chunk 0 | prompt_tokens=832, candidates_tokens=99, total_tokens=931
2025-11-21T01:22:12.775694 | film_trailers_328 | chunk 1 | prompt_tokens=382, candidates_tokens=43, total_tokens=425
2025-11-21T01:22:22.034750 | film_trailers_328 | chunk 2 | prompt_tokens=1582, candidates_tokens=157, total_tokens=1739
2025-11-21T01:22:30.437367 | film_trailers_328 | chunk 3 | prompt_tokens=1557, candidates_tokens=113, total_tokens=1670
2025-11-21T01:22:39.877174 | film_trailers_328 | chunk 4 | prompt_tokens=1407, candidates_tokens=71, total_tokens=1478
2025-11-21T01:22:47.562005 | film_trailers_328 | chunk 5 | prompt_tokens=1782, candidates_tokens=81, total_tokens=1863
2025-11-21T01:23:03.404391 | film_trailers_328 | chunk 6 | prompt_tokens=2157, candidates_tokens=137, total_tokens=2294
2025-11-21T01:23:07.736872 | film_trailers_328 | chunk 7 | prompt_tokens=657, candidates_tokens=37, total_tokens=694
2025-11-21T01:23:12.185968 | film_trailers_328 | chunk 8 | prompt_tokens=557, candidates_tokens=72, total_tokens=629
2025-11-21T01:23:22.188270 | film_trailers_328 | chunk 9 | prompt_tokens=1307, candidates_tokens=62, total_tokens=1369
2025-11-21T01:23:34.264082 | film_trailers_328 | chunk 10 | prompt_tokens=807, candidates_tokens=85, total_tokens=892
2025-11-21T01:23:41.192245 | film_trailers_328 | chunk 11 | prompt_tokens=907, candidates_tokens=69, total_tokens=976
2025-11-21T01:23:46.344379 | film_trailers_328 | chunk 12 | prompt_tokens=807, candidates_tokens=66, total_tokens=873
2025-11-21T01:23:50.578255 | film_trailers_328 | chunk 13 | prompt_tokens=832, candidates_tokens=55, total_tokens=887
2025-11-21T01:23:54.815735 | film_trailers_328 | chunk 14 | prompt_tokens=632, candidates_tokens=59, total_tokens=691
2025-11-21T01:24:05.441947 | film_trailers_328 | chunk 15 | prompt_tokens=1107, candidates_tokens=99, total_tokens=1206
2025-11-21T01:24:11.876230 | film_trailers_689 | chunk 0 | prompt_tokens=1732, candidates_tokens=81, total_tokens=1813
2025-11-21T01:24:19.849776 | film_trailers_689 | chunk 1 | prompt_tokens=982, candidates_tokens=69, total_tokens=1051
2025-11-21T01:24:25.267440 | film_trailers_689 | chunk 2 | prompt_tokens=732, candidates_tokens=72, total_tokens=804
2025-11-21T01:24:33.502865 | film_trailers_689 | chunk 3 | prompt_tokens=2257, candidates_tokens=176, total_tokens=2433
2025-11-21T01:24:36.763746 | film_trailers_689 | chunk 4 | prompt_tokens=357, candidates_tokens=37, total_tokens=394
2025-11-21T01:24:44.808257 | film_trailers_689 | chunk 5 | prompt_tokens=982, candidates_tokens=95, total_tokens=1077
2025-11-21T01:24:51.925137 | film_trailers_689 | chunk 6 | prompt_tokens=1682, candidates_tokens=102, total_tokens=1784
2025-11-21T01:25:01.731092 | film_trailers_689 | chunk 7 | prompt_tokens=2532, candidates_tokens=208, total_tokens=2740
2025-11-21T01:25:07.626584 | film_trailers_689 | chunk 8 | prompt_tokens=807, candidates_tokens=64, total_tokens=871
2025-11-21T01:25:22.343959 | film_trailers_689 | chunk 9 | prompt_tokens=607, candidates_tokens=67, total_tokens=674
2025-11-21T01:25:27.397535 | film_trailers_689 | chunk 10 | prompt_tokens=707, candidates_tokens=105, total_tokens=812
2025-11-21T01:25:32.219473 | film_trailers_689 | chunk 11 | prompt_tokens=807, candidates_tokens=78, total_tokens=885
2025-11-21T01:25:41.003835 | film_trailers_689 | chunk 12 | prompt_tokens=957, candidates_tokens=67, total_tokens=1024
2025-11-21T01:25:46.723314 | film_trailers_7 | chunk 0 | prompt_tokens=832, candidates_tokens=85, total_tokens=917
2025-11-21T01:25:54.037099 | film_trailers_7 | chunk 1 | prompt_tokens=1357, candidates_tokens=98, total_tokens=1455
2025-11-21T01:26:00.588000 | film_trailers_7 | chunk 2 | prompt_tokens=732, candidates_tokens=82, total_tokens=814
2025-11-21T01:26:07.961623 | film_trailers_7 | chunk 3 | prompt_tokens=807, candidates_tokens=88, total_tokens=895
2025-11-21T01:26:14.145478 | film_trailers_7 | chunk 4 | prompt_tokens=1082, candidates_tokens=103, total_tokens=1185
2025-11-21T01:26:20.259132 | film_trailers_7 | chunk 5 | prompt_tokens=1232, candidates_tokens=120, total_tokens=1352
2025-11-21T01:26:28.579612 | film_trailers_7 | chunk 6 | prompt_tokens=1857, candidates_tokens=64, total_tokens=1921
2025-11-21T01:26:35.979300 | film_trailers_7 | chunk 7 | prompt_tokens=1432, candidates_tokens=103, total_tokens=1535
2025-11-21T01:26:43.619524 | film_trailers_7 | chunk 8 | prompt_tokens=1357, candidates_tokens=73, total_tokens=1430
2025-11-21T01:26:53.319484 | film_trailers_7 | chunk 9 | prompt_tokens=2257, candidates_tokens=145, total_tokens=2402
2025-11-21T01:26:58.468120 | film_trailers_7 | chunk 10 | prompt_tokens=882, candidates_tokens=80, total_tokens=962
2025-11-21T01:27:06.077079 | film_trailers_7 | chunk 11 | prompt_tokens=1182, candidates_tokens=155, total_tokens=1337
2025-11-21T01:27:10.256549 | film_trailers_7 | chunk 12 | prompt_tokens=357, candidates_tokens=51, total_tokens=408
2025-11-21T01:27:16.014155 | film_trailers_7 | chunk 13 | prompt_tokens=682, candidates_tokens=76, total_tokens=758
2025-11-21T01:27:20.439872 | film_trailers_7 | chunk 14 | prompt_tokens=407, candidates_tokens=49, total_tokens=456
2025-11-21T01:27:25.993343 | film_trailers_327 | chunk 0 | prompt_tokens=907, candidates_tokens=64, total_tokens=971
2025-11-21T01:27:32.222676 | film_trailers_327 | chunk 1 | prompt_tokens=1382, candidates_tokens=88, total_tokens=1470
2025-11-21T01:27:37.372483 | film_trailers_327 | chunk 2 | prompt_tokens=1282, candidates_tokens=97, total_tokens=1379
2025-11-21T01:27:51.375552 | film_trailers_327 | chunk 3 | prompt_tokens=1782, candidates_tokens=46, total_tokens=1828
2025-11-21T01:27:56.070511 | film_trailers_327 | chunk 4 | prompt_tokens=982, candidates_tokens=85, total_tokens=1067
2025-11-21T01:27:59.841222 | film_trailers_327 | chunk 5 | prompt_tokens=907, candidates_tokens=84, total_tokens=991
2025-11-21T01:28:05.139363 | film_trailers_327 | chunk 6 | prompt_tokens=532, candidates_tokens=81, total_tokens=613
2025-11-21T01:28:09.242981 | film_trailers_327 | chunk 7 | prompt_tokens=882, candidates_tokens=83, total_tokens=965
2025-11-21T01:28:15.536350 | film_trailers_327 | chunk 8 | prompt_tokens=1407, candidates_tokens=94, total_tokens=1501
2025-11-21T01:28:22.484612 | film_trailers_327 | chunk 9 | prompt_tokens=1407, candidates_tokens=145, total_tokens=1552
2025-11-21T01:28:27.043975 | film_trailers_327 | chunk 10 | prompt_tokens=457, candidates_tokens=56, total_tokens=513
2025-11-21T01:28:32.739256 | film_trailers_327 | chunk 11 | prompt_tokens=657, candidates_tokens=112, total_tokens=769
2025-11-21T01:28:36.633918 | film_trailers_20 | chunk 0 | prompt_tokens=432, candidates_tokens=98, total_tokens=530
2025-11-21T01:28:44.261356 | film_trailers_20 | chunk 1 | prompt_tokens=2482, candidates_tokens=115, total_tokens=2597
2025-11-21T01:28:51.746739 | film_trailers_20 | chunk 2 | prompt_tokens=1657, candidates_tokens=130, total_tokens=1787
2025-11-21T01:28:56.531260 | film_trailers_20 | chunk 3 | prompt_tokens=582, candidates_tokens=123, total_tokens=705
2025-11-21T01:29:02.245828 | film_trailers_20 | chunk 4 | prompt_tokens=932, candidates_tokens=139, total_tokens=1071
2025-11-21T01:29:08.933854 | film_trailers_20 | chunk 5 | prompt_tokens=582, candidates_tokens=90, total_tokens=672
2025-11-21T01:29:13.322904 | film_trailers_20 | chunk 6 | prompt_tokens=682, candidates_tokens=116, total_tokens=798
2025-11-21T01:29:18.517910 | film_trailers_20 | chunk 7 | prompt_tokens=882, candidates_tokens=147, total_tokens=1029
2025-11-21T01:29:24.418631 | film_trailers_20 | chunk 8 | prompt_tokens=782, candidates_tokens=103, total_tokens=885
2025-11-21T01:29:28.232266 | film_trailers_20 | chunk 9 | prompt_tokens=332, candidates_tokens=80, total_tokens=412
2025-11-21T01:29:33.459815 | film_trailers_20 | chunk 10 | prompt_tokens=657, candidates_tokens=79, total_tokens=736
2025-11-21T01:29:41.195779 | film_trailers_20 | chunk 11 | prompt_tokens=1182, candidates_tokens=217, total_tokens=1399
2025-11-21T01:29:50.333269 | film_trailers_20 | chunk 12 | prompt_tokens=2082, candidates_tokens=82, total_tokens=2164
2025-11-21T01:29:57.027272 | film_trailers_73 | chunk 0 | prompt_tokens=1282, candidates_tokens=88, total_tokens=1370
2025-11-21T01:30:02.710210 | film_trailers_73 | chunk 1 | prompt_tokens=982, candidates_tokens=121, total_tokens=1103
2025-11-21T01:30:10.105273 | film_trailers_73 | chunk 2 | prompt_tokens=1307, candidates_tokens=139, total_tokens=1446
2025-11-21T01:30:15.195797 | film_trailers_73 | chunk 3 | prompt_tokens=957, candidates_tokens=91, total_tokens=1048
2025-11-21T01:30:21.032661 | film_trailers_73 | chunk 4 | prompt_tokens=857, candidates_tokens=60, total_tokens=917
2025-11-21T01:30:29.235807 | film_trailers_73 | chunk 5 | prompt_tokens=1682, candidates_tokens=157, total_tokens=1839
2025-11-21T01:30:35.128581 | film_trailers_73 | chunk 6 | prompt_tokens=1307, candidates_tokens=99, total_tokens=1406
2025-11-21T01:30:44.718946 | film_trailers_73 | chunk 7 | prompt_tokens=2857, candidates_tokens=189, total_tokens=3046
2025-11-21T01:30:53.735073 | film_trailers_73 | chunk 8 | prompt_tokens=1957, candidates_tokens=103, total_tokens=2060
2025-11-21T01:30:57.675620 | film_trailers_73 | chunk 9 | prompt_tokens=507, candidates_tokens=50, total_tokens=557
2025-11-21T01:31:01.806572 | film_trailers_73 | chunk 10 | prompt_tokens=457, candidates_tokens=60, total_tokens=517
2025-11-21T01:31:08.327605 | film_trailers_479 | chunk 0 | prompt_tokens=1382, candidates_tokens=141, total_tokens=1523
2025-11-21T01:31:16.704915 | film_trailers_479 | chunk 1 | prompt_tokens=2532, candidates_tokens=105, total_tokens=2637
2025-11-21T01:31:21.834344 | film_trailers_479 | chunk 2 | prompt_tokens=657, candidates_tokens=83, total_tokens=740
2025-11-21T01:31:37.260349 | film_trailers_479 | chunk 3 | prompt_tokens=1507, candidates_tokens=154, total_tokens=1661
2025-11-21T01:31:41.149576 | film_trailers_479 | chunk 4 | prompt_tokens=557, candidates_tokens=127, total_tokens=684
2025-11-21T01:31:44.665940 | film_trailers_479 | chunk 5 | prompt_tokens=682, candidates_tokens=85, total_tokens=767
2025-11-21T01:31:48.991900 | film_trailers_479 | chunk 6 | prompt_tokens=1132, candidates_tokens=129, total_tokens=1261
2025-11-21T01:31:52.988815 | film_trailers_479 | chunk 7 | prompt_tokens=607, candidates_tokens=87, total_tokens=694
2025-11-21T01:31:58.209707 | film_trailers_479 | chunk 8 | prompt_tokens=682, candidates_tokens=75, total_tokens=757
2025-11-21T01:32:02.713116 | film_trailers_479 | chunk 9 | prompt_tokens=632, candidates_tokens=76, total_tokens=708
2025-11-21T01:32:07.570636 | film_trailers_479 | chunk 10 | prompt_tokens=1257, candidates_tokens=130, total_tokens=1387
2025-11-21T01:32:15.085370 | film_trailers_479 | chunk 11 | prompt_tokens=1032, candidates_tokens=151, total_tokens=1183
