2025-11-20T17:42:13.483655 | hiking_115 | chunk 0 | prompt_tokens=632, candidates_tokens=81, total_tokens=713
2025-11-20T17:42:20.591820 | hiking_115 | chunk 1 | prompt_tokens=1332, candidates_tokens=100, total_tokens=1432
2025-11-20T17:42:24.755136 | hiking_115 | chunk 2 | prompt_tokens=1082, candidates_tokens=126, total_tokens=1208
2025-11-20T17:42:30.375591 | hiking_115 | chunk 3 | prompt_tokens=707, candidates_tokens=121, total_tokens=828
2025-11-20T17:42:33.878241 | hiking_115 | chunk 4 | prompt_tokens=557, candidates_tokens=102, total_tokens=659
2025-11-20T17:42:40.648651 | hiking_115 | chunk 5 | prompt_tokens=907, candidates_tokens=167, total_tokens=1074
2025-11-20T17:42:45.891804 | hiking_115 | chunk 6 | prompt_tokens=732, candidates_tokens=89, total_tokens=821
2025-11-20T17:42:51.752723 | hiking_115 | chunk 7 | prompt_tokens=657, candidates_tokens=75, total_tokens=732
2025-11-20T17:42:56.891429 | hiking_115 | chunk 8 | prompt_tokens=1157, candidates_tokens=131, total_tokens=1288
2025-11-20T17:43:02.241669 | hiking_115 | chunk 9 | prompt_tokens=1757, candidates_tokens=135, total_tokens=1892
2025-11-20T17:43:07.156929 | hiking_115 | chunk 10 | prompt_tokens=1057, candidates_tokens=145, total_tokens=1202
2025-11-20T17:43:12.872668 | hiking_115 | chunk 11 | prompt_tokens=532, candidates_tokens=147, total_tokens=679
2025-11-20T17:43:19.544928 | hiking_115 | chunk 12 | prompt_tokens=682, candidates_tokens=151, total_tokens=833
2025-11-20T17:43:25.398704 | hiking_115 | chunk 13 | prompt_tokens=1482, candidates_tokens=147, total_tokens=1629
2025-11-20T17:43:32.557270 | hiking_115 | chunk 14 | prompt_tokens=1207, candidates_tokens=127, total_tokens=1334
2025-11-20T17:43:39.426313 | hiking_115 | chunk 15 | prompt_tokens=957, candidates_tokens=99, total_tokens=1056
2025-11-20T17:43:46.508812 | hiking_115 | chunk 16 | prompt_tokens=1057, candidates_tokens=109, total_tokens=1166
2025-11-20T17:43:52.534297 | hiking_153 | chunk 0 | prompt_tokens=1007, candidates_tokens=75, total_tokens=1082
2025-11-20T17:43:58.743285 | hiking_153 | chunk 1 | prompt_tokens=882, candidates_tokens=79, total_tokens=961
2025-11-20T17:44:05.419757 | hiking_153 | chunk 2 | prompt_tokens=1307, candidates_tokens=174, total_tokens=1481
2025-11-20T17:44:09.068012 | hiking_153 | chunk 3 | prompt_tokens=807, candidates_tokens=59, total_tokens=866
2025-11-20T17:44:15.256630 | hiking_153 | chunk 4 | prompt_tokens=857, candidates_tokens=55, total_tokens=912
2025-11-20T17:44:20.547475 | hiking_153 | chunk 5 | prompt_tokens=1007, candidates_tokens=105, total_tokens=1112
2025-11-20T17:44:24.553890 | hiking_153 | chunk 6 | prompt_tokens=882, candidates_tokens=84, total_tokens=966
2025-11-20T17:44:35.121323 | hiking_153 | chunk 7 | prompt_tokens=2257, candidates_tokens=160, total_tokens=2417
2025-11-20T17:44:39.025427 | hiking_153 | chunk 8 | prompt_tokens=407, candidates_tokens=46, total_tokens=453
2025-11-20T17:44:44.910666 | hiking_153 | chunk 9 | prompt_tokens=682, candidates_tokens=94, total_tokens=776
2025-11-20T17:44:50.858380 | hiking_153 | chunk 10 | prompt_tokens=457, candidates_tokens=67, total_tokens=524
2025-11-20T17:44:56.020904 | hiking_153 | chunk 11 | prompt_tokens=732, candidates_tokens=97, total_tokens=829
2025-11-20T17:45:03.083951 | hiking_153 | chunk 12 | prompt_tokens=1132, candidates_tokens=164, total_tokens=1296
2025-11-20T17:45:07.410822 | hiking_153 | chunk 13 | prompt_tokens=907, candidates_tokens=103, total_tokens=1010
2025-11-20T17:45:12.030077 | hiking_153 | chunk 14 | prompt_tokens=532, candidates_tokens=65, total_tokens=597
2025-11-20T17:45:20.227811 | hiking_153 | chunk 15 | prompt_tokens=1407, candidates_tokens=50, total_tokens=1457
2025-11-20T17:45:27.619250 | hiking_153 | chunk 16 | prompt_tokens=982, candidates_tokens=77, total_tokens=1059
2025-11-20T17:45:32.918630 | hiking_153 | chunk 17 | prompt_tokens=1782, candidates_tokens=60, total_tokens=1842
2025-11-20T17:45:36.649852 | hiking_142 | chunk 0 | prompt_tokens=507, candidates_tokens=46, total_tokens=553
2025-11-20T17:45:45.685464 | hiking_142 | chunk 1 | prompt_tokens=2157, candidates_tokens=105, total_tokens=2262
2025-11-20T17:45:50.897068 | hiking_142 | chunk 2 | prompt_tokens=2007, candidates_tokens=102, total_tokens=2109
2025-11-20T17:45:54.082848 | hiking_142 | chunk 3 | prompt_tokens=507, candidates_tokens=67, total_tokens=574
2025-11-20T17:45:58.395854 | hiking_142 | chunk 4 | prompt_tokens=1107, candidates_tokens=93, total_tokens=1200
2025-11-20T17:46:03.756139 | hiking_142 | chunk 5 | prompt_tokens=682, candidates_tokens=62, total_tokens=744
2025-11-20T17:46:09.106017 | hiking_142 | chunk 6 | prompt_tokens=907, candidates_tokens=57, total_tokens=964
2025-11-20T17:46:13.179685 | hiking_142 | chunk 7 | prompt_tokens=1007, candidates_tokens=88, total_tokens=1095
2025-11-20T17:46:20.239971 | hiking_142 | chunk 8 | prompt_tokens=1307, candidates_tokens=87, total_tokens=1394
2025-11-20T17:46:25.154173 | hiking_142 | chunk 9 | prompt_tokens=1582, candidates_tokens=103, total_tokens=1685
2025-11-20T17:46:31.968338 | hiking_142 | chunk 10 | prompt_tokens=982, candidates_tokens=103, total_tokens=1085
2025-11-20T17:46:39.431267 | hiking_83 | chunk 0 | prompt_tokens=1282, candidates_tokens=85, total_tokens=1367
2025-11-20T17:46:44.197693 | hiking_83 | chunk 1 | prompt_tokens=1932, candidates_tokens=113, total_tokens=2045
2025-11-20T17:46:49.674771 | hiking_83 | chunk 2 | prompt_tokens=782, candidates_tokens=86, total_tokens=868
2025-11-20T17:46:53.631078 | hiking_83 | chunk 3 | prompt_tokens=1082, candidates_tokens=94, total_tokens=1176
2025-11-20T17:47:00.188865 | hiking_83 | chunk 4 | prompt_tokens=2332, candidates_tokens=102, total_tokens=2434
2025-11-20T17:47:04.372610 | hiking_83 | chunk 5 | prompt_tokens=807, candidates_tokens=77, total_tokens=884
2025-11-20T17:47:10.469017 | hiking_83 | chunk 6 | prompt_tokens=932, candidates_tokens=111, total_tokens=1043
2025-11-20T17:47:15.611692 | hiking_83 | chunk 7 | prompt_tokens=1532, candidates_tokens=78, total_tokens=1610
2025-11-20T17:47:22.281351 | hiking_83 | chunk 8 | prompt_tokens=2657, candidates_tokens=200, total_tokens=2857
2025-11-20T17:47:27.980564 | hiking_83 | chunk 9 | prompt_tokens=1732, candidates_tokens=137, total_tokens=1869
2025-11-20T17:47:33.068672 | hiking_30 | chunk 0 | prompt_tokens=1757, candidates_tokens=144, total_tokens=1901
2025-11-20T17:47:42.308064 | hiking_30 | chunk 1 | prompt_tokens=2382, candidates_tokens=254, total_tokens=2636
2025-11-20T17:47:46.618484 | hiking_30 | chunk 2 | prompt_tokens=457, candidates_tokens=68, total_tokens=525
2025-11-20T17:47:51.594222 | hiking_30 | chunk 3 | prompt_tokens=1107, candidates_tokens=80, total_tokens=1187
2025-11-20T17:47:54.362147 | hiking_30 | chunk 4 | prompt_tokens=232, candidates_tokens=65, total_tokens=297
2025-11-20T17:47:59.917358 | hiking_30 | chunk 5 | prompt_tokens=1307, candidates_tokens=191, total_tokens=1498
2025-11-20T17:48:07.648387 | hiking_30 | chunk 6 | prompt_tokens=1957, candidates_tokens=105, total_tokens=2062
2025-11-20T17:48:15.770487 | hiking_30 | chunk 7 | prompt_tokens=1307, candidates_tokens=90, total_tokens=1397
2025-11-20T17:48:20.962746 | hiking_30 | chunk 8 | prompt_tokens=407, candidates_tokens=73, total_tokens=480
2025-11-20T17:48:29.146870 | hiking_30 | chunk 9 | prompt_tokens=1782, candidates_tokens=121, total_tokens=1903
2025-11-20T17:48:34.307346 | hiking_61 | chunk 0 | prompt_tokens=1682, candidates_tokens=155, total_tokens=1837
2025-11-20T17:48:38.467230 | hiking_61 | chunk 1 | prompt_tokens=1207, candidates_tokens=123, total_tokens=1330
2025-11-20T17:48:42.606459 | hiking_61 | chunk 2 | prompt_tokens=1082, candidates_tokens=88, total_tokens=1170
2025-11-20T17:48:48.883888 | hiking_61 | chunk 3 | prompt_tokens=957, candidates_tokens=92, total_tokens=1049
