2025-11-21T00:47:40.095697 | political_interviews_314 | chunk 0 | prompt_tokens=1507, candidates_tokens=112, total_tokens=1619
2025-11-21T00:47:58.962319 | political_interviews_314 | chunk 1 | prompt_tokens=1782, candidates_tokens=124, total_tokens=1906
2025-11-21T00:48:06.974204 | political_interviews_314 | chunk 2 | prompt_tokens=1457, candidates_tokens=63, total_tokens=1520
2025-11-21T00:48:18.440327 | political_interviews_314 | chunk 3 | prompt_tokens=1832, candidates_tokens=107, total_tokens=1939
2025-11-21T00:48:30.575747 | political_interviews_314 | chunk 4 | prompt_tokens=1857, candidates_tokens=106, total_tokens=1963
2025-11-21T00:48:40.998807 | political_interviews_314 | chunk 5 | prompt_tokens=2057, candidates_tokens=113, total_tokens=2170
2025-11-21T00:48:50.439690 | political_interviews_314 | chunk 6 | prompt_tokens=2032, candidates_tokens=121, total_tokens=2153
2025-11-21T00:49:00.625907 | political_interviews_314 | chunk 7 | prompt_tokens=1732, candidates_tokens=87, total_tokens=1819
2025-11-21T00:49:03.935106 | political_interviews_314 | chunk 8 | prompt_tokens=207, candidates_tokens=39, total_tokens=246
2025-11-21T00:49:22.559708 | political_interviews_361 | chunk 0 | prompt_tokens=1557, candidates_tokens=102, total_tokens=1659
2025-11-21T00:49:38.224174 | political_interviews_361 | chunk 1 | prompt_tokens=2182, candidates_tokens=115, total_tokens=2297
2025-11-21T00:49:48.091266 | political_interviews_361 | chunk 2 | prompt_tokens=1582, candidates_tokens=91, total_tokens=1673
2025-11-21T00:49:53.662974 | political_interviews_361 | chunk 3 | prompt_tokens=1082, candidates_tokens=69, total_tokens=1151
2025-11-21T00:49:59.744176 | political_interviews_361 | chunk 4 | prompt_tokens=732, candidates_tokens=71, total_tokens=803
2025-11-21T00:50:06.804972 | political_interviews_361 | chunk 5 | prompt_tokens=907, candidates_tokens=71, total_tokens=978
2025-11-21T00:50:10.986958 | political_interviews_361 | chunk 6 | prompt_tokens=732, candidates_tokens=55, total_tokens=787
2025-11-21T00:50:24.042866 | political_interviews_361 | chunk 7 | prompt_tokens=1257, candidates_tokens=85, total_tokens=1342
2025-11-21T00:50:30.054988 | political_interviews_361 | chunk 8 | prompt_tokens=1107, candidates_tokens=74, total_tokens=1181
2025-11-21T00:50:38.692835 | political_interviews_361 | chunk 9 | prompt_tokens=1482, candidates_tokens=71, total_tokens=1553
2025-11-21T00:50:45.275328 | political_interviews_60 | chunk 0 | prompt_tokens=832, candidates_tokens=60, total_tokens=892
