2025-11-20T18:59:24.627470 | software_tutorials_81 | chunk 0 | prompt_tokens=782, candidates_tokens=74, total_tokens=856
2025-11-20T18:59:29.942929 | software_tutorials_81 | chunk 1 | prompt_tokens=657, candidates_tokens=97, total_tokens=754
2025-11-20T18:59:34.855422 | software_tutorials_81 | chunk 2 | prompt_tokens=807, candidates_tokens=85, total_tokens=892
2025-11-20T18:59:43.696935 | software_tutorials_81 | chunk 3 | prompt_tokens=1032, candidates_tokens=71, total_tokens=1103
2025-11-20T18:59:50.500547 | software_tutorials_81 | chunk 4 | prompt_tokens=732, candidates_tokens=85, total_tokens=817
2025-11-20T18:59:56.210035 | software_tutorials_81 | chunk 5 | prompt_tokens=457, candidates_tokens=74, total_tokens=531
2025-11-20T19:00:02.768215 | software_tutorials_81 | chunk 6 | prompt_tokens=1257, candidates_tokens=93, total_tokens=1350
2025-11-20T19:00:10.929555 | software_tutorials_81 | chunk 7 | prompt_tokens=982, candidates_tokens=55, total_tokens=1037
2025-11-20T19:00:21.257806 | software_tutorials_81 | chunk 8 | prompt_tokens=1082, candidates_tokens=101, total_tokens=1183
2025-11-20T19:00:28.502039 | software_tutorials_81 | chunk 9 | prompt_tokens=657, candidates_tokens=66, total_tokens=723
2025-11-20T19:00:33.193242 | software_tutorials_81 | chunk 10 | prompt_tokens=557, candidates_tokens=38, total_tokens=595
2025-11-20T19:00:45.178549 | software_tutorials_81 | chunk 11 | prompt_tokens=2057, candidates_tokens=112, total_tokens=2169
2025-11-20T19:00:55.089028 | software_tutorials_81 | chunk 12 | prompt_tokens=1132, candidates_tokens=76, total_tokens=1208
2025-11-20T19:01:02.046946 | software_tutorials_81 | chunk 13 | prompt_tokens=757, candidates_tokens=71, total_tokens=828
2025-11-20T19:01:13.277422 | software_tutorials_81 | chunk 14 | prompt_tokens=1732, candidates_tokens=111, total_tokens=1843
2025-11-20T19:01:24.264540 | software_tutorials_81 | chunk 15 | prompt_tokens=1182, candidates_tokens=108, total_tokens=1290
2025-11-20T19:01:31.156183 | software_tutorials_81 | chunk 16 | prompt_tokens=857, candidates_tokens=84, total_tokens=941
2025-11-20T19:01:39.716598 | software_tutorials_363 | chunk 0 | prompt_tokens=1082, candidates_tokens=88, total_tokens=1170
2025-11-20T19:01:50.019859 | software_tutorials_363 | chunk 1 | prompt_tokens=1057, candidates_tokens=163, total_tokens=1220
2025-11-20T19:01:55.301666 | software_tutorials_363 | chunk 2 | prompt_tokens=532, candidates_tokens=71, total_tokens=603
2025-11-20T19:01:58.404903 | software_tutorials_363 | chunk 3 | prompt_tokens=332, candidates_tokens=34, total_tokens=366
2025-11-20T19:02:13.104003 | software_tutorials_363 | chunk 4 | prompt_tokens=2082, candidates_tokens=99, total_tokens=2181
