2025-11-21T18:38:19.888675 | ai_concepts_58 | chunk 0 | prompt_tokens=10758, candidates_tokens=220, total_tokens=11604
2025-11-21T18:38:57.985672 | ai_concepts_58 | chunk 1 | prompt_tokens=7079, candidates_tokens=448, total_tokens=8417
2025-11-21T18:39:35.379644 | ai_concepts_58 | chunk 2 | prompt_tokens=7500, candidates_tokens=177, total_tokens=7963
2025-11-21T18:40:03.557049 | ai_concepts_58 | chunk 3 | prompt_tokens=7953, candidates_tokens=330, total_tokens=8994
2025-11-21T18:40:36.217323 | ai_concepts_58 | chunk 4 | prompt_tokens=11632, candidates_tokens=402, total_tokens=13043
2025-11-21T18:41:10.445132 | ai_concepts_58 | chunk 5 | prompt_tokens=13663, candidates_tokens=347, total_tokens=14529
2025-11-21T18:41:38.360656 | ai_concepts_58 | chunk 6 | prompt_tokens=12015, candidates_tokens=256, total_tokens=13184
2025-11-21T18:42:12.251699 | ai_concepts_58 | chunk 7 | prompt_tokens=13688, candidates_tokens=518, total_tokens=15101
2025-11-21T18:43:09.370678 | ai_concepts_58 | chunk 8 | prompt_tokens=21329, candidates_tokens=339, total_tokens=22630
2025-11-21T18:43:44.031506 | ai_concepts_58 | chunk 9 | prompt_tokens=8671, candidates_tokens=271, total_tokens=9731
2025-11-21T18:44:04.485704 | ai_concepts_58 | chunk 10 | prompt_tokens=5689, candidates_tokens=423, total_tokens=6676
2025-11-21T18:44:48.917412 | ai_concepts_58 | chunk 11 | prompt_tokens=22236, candidates_tokens=377, total_tokens=23390
2025-11-21T18:45:17.855898 | ai_concepts_58 | chunk 12 | prompt_tokens=11682, candidates_tokens=306, total_tokens=12556
2025-11-21T18:45:53.886921 | ai_concepts_58 | chunk 13 | prompt_tokens=12531, candidates_tokens=392, total_tokens=13787
2025-11-21T18:46:41.320933 | ai_concepts_58 | chunk 14 | prompt_tokens=14154, candidates_tokens=344, total_tokens=15099
2025-11-21T18:47:10.887477 | ai_concepts_198 | chunk 0 | prompt_tokens=11890, candidates_tokens=328, total_tokens=13084
2025-11-21T18:47:57.519453 | ai_concepts_198 | chunk 1 | prompt_tokens=26662, candidates_tokens=500, total_tokens=28374
2025-11-21T18:48:32.183212 | ai_concepts_198 | chunk 2 | prompt_tokens=13380, candidates_tokens=307, total_tokens=14534
2025-11-21T18:48:45.715435 | ai_concepts_198 | chunk 3 | prompt_tokens=3783, candidates_tokens=129, total_tokens=4202
2025-11-21T18:49:12.604276 | ai_concepts_198 | chunk 4 | prompt_tokens=9626, candidates_tokens=104, total_tokens=9879
2025-11-21T18:49:35.308227 | ai_concepts_198 | chunk 5 | prompt_tokens=10217, candidates_tokens=254, total_tokens=11326
2025-11-21T18:49:52.031025 | ai_concepts_198 | chunk 6 | prompt_tokens=9393, candidates_tokens=255, total_tokens=10034
2025-11-21T18:50:13.426130 | ai_concepts_198 | chunk 7 | prompt_tokens=5073, candidates_tokens=197, total_tokens=5982
2025-11-21T18:50:34.694750 | ai_concepts_198 | chunk 8 | prompt_tokens=5098, candidates_tokens=213, total_tokens=5990
2025-11-21T18:51:07.267500 | ai_concepts_198 | chunk 9 | prompt_tokens=11066, candidates_tokens=377, total_tokens=11965
2025-11-21T18:51:23.055357 | ai_concepts_198 | chunk 10 | prompt_tokens=6330, candidates_tokens=191, total_tokens=6824
2025-11-21T18:52:22.622440 | ai_concepts_198 | chunk 11 | prompt_tokens=22436, candidates_tokens=427, total_tokens=23746
2025-11-21T18:52:43.717877 | ai_concepts_70 | chunk 0 | prompt_tokens=11890, candidates_tokens=213, total_tokens=12644
2025-11-21T18:53:02.592864 | ai_concepts_70 | chunk 1 | prompt_tokens=9468, candidates_tokens=419, total_tokens=10785
2025-11-21T18:53:24.441154 | ai_concepts_70 | chunk 2 | prompt_tokens=8827, candidates_tokens=339, total_tokens=9732
2025-11-21T18:53:47.070144 | ai_concepts_70 | chunk 3 | prompt_tokens=9253, candidates_tokens=489, total_tokens=10671
