2025-11-21T18:40:13.225677 | astronomy_429 | chunk 0 | prompt_tokens=10167, candidates_tokens=544, total_tokens=11903
2025-11-21T18:40:36.144399 | astronomy_429 | chunk 1 | prompt_tokens=10720, candidates_tokens=371, total_tokens=11721
2025-11-21T18:40:55.933209 | astronomy_429 | chunk 2 | prompt_tokens=13896, candidates_tokens=156, total_tokens=14295
2025-11-21T18:41:16.479211 | astronomy_429 | chunk 3 | prompt_tokens=19556, candidates_tokens=178, total_tokens=20240
2025-11-21T18:41:33.363869 | astronomy_429 | chunk 4 | prompt_tokens=9626, candidates_tokens=369, total_tokens=10646
2025-11-21T18:41:48.068126 | astronomy_429 | chunk 5 | prompt_tokens=8261, candidates_tokens=523, total_tokens=9514
2025-11-21T18:42:06.585259 | astronomy_429 | chunk 6 | prompt_tokens=5972, candidates_tokens=315, total_tokens=6869
2025-11-21T18:42:18.218228 | astronomy_429 | chunk 7 | prompt_tokens=8311, candidates_tokens=197, total_tokens=9181
2025-11-21T18:42:32.114185 | astronomy_429 | chunk 8 | prompt_tokens=5431, candidates_tokens=309, total_tokens=6363
2025-11-21T18:43:07.234864 | astronomy_429 | chunk 9 | prompt_tokens=24134, candidates_tokens=722, total_tokens=26187
2025-11-21T18:43:24.813279 | astronomy_429 | chunk 10 | prompt_tokens=9601, candidates_tokens=334, total_tokens=10777
2025-11-21T18:43:35.881649 | astronomy_429 | chunk 11 | prompt_tokens=5406, candidates_tokens=83, total_tokens=5648
2025-11-21T18:43:46.196649 | astronomy_301 | chunk 0 | prompt_tokens=5073, candidates_tokens=96, total_tokens=5427
2025-11-21T18:44:02.536954 | astronomy_301 | chunk 1 | prompt_tokens=13355, candidates_tokens=214, total_tokens=14063
2025-11-21T18:44:17.132825 | astronomy_301 | chunk 2 | prompt_tokens=9135, candidates_tokens=176, total_tokens=9703
2025-11-21T18:44:33.974284 | astronomy_301 | chunk 3 | prompt_tokens=14720, candidates_tokens=317, total_tokens=15434
2025-11-21T18:44:47.921545 | astronomy_301 | chunk 4 | prompt_tokens=9160, candidates_tokens=87, total_tokens=9485
2025-11-21T18:44:58.993875 | astronomy_301 | chunk 5 | prompt_tokens=6488, candidates_tokens=155, total_tokens=6890
2025-11-21T18:45:21.095075 | astronomy_301 | chunk 6 | prompt_tokens=21046, candidates_tokens=154, total_tokens=21456
2025-11-21T18:45:32.471633 | astronomy_301 | chunk 7 | prompt_tokens=3991, candidates_tokens=88, total_tokens=4286
2025-11-21T18:45:48.892876 | astronomy_301 | chunk 8 | prompt_tokens=16751, candidates_tokens=236, total_tokens=17329
2025-11-21T18:45:58.801620 | astronomy_301 | chunk 9 | prompt_tokens=3375, candidates_tokens=247, total_tokens=3948
2025-11-21T18:46:18.017215 | astronomy_301 | chunk 10 | prompt_tokens=11141, candidates_tokens=194, total_tokens=11765
2025-11-21T18:46:43.554194 | astronomy_301 | chunk 11 | prompt_tokens=20147, candidates_tokens=134, total_tokens=20668
2025-11-21T18:46:59.344788 | astronomy_301 | chunk 12 | prompt_tokens=12764, candidates_tokens=225, total_tokens=13758
2025-11-21T18:47:09.032221 | astronomy_301 | chunk 13 | prompt_tokens=1752, candidates_tokens=81, total_tokens=2019
2025-11-21T18:47:34.555285 | astronomy_301 | chunk 14 | prompt_tokens=19814, candidates_tokens=375, total_tokens=20809
2025-11-21T18:47:50.567200 | astronomy_214 | chunk 0 | prompt_tokens=10432, candidates_tokens=241, total_tokens=11141
2025-11-21T18:48:13.372000 | astronomy_214 | chunk 1 | prompt_tokens=12814, candidates_tokens=243, total_tokens=14056
2025-11-21T18:48:26.269792 | astronomy_214 | chunk 2 | prompt_tokens=5123, candidates_tokens=209, total_tokens=5679
2025-11-21T18:48:49.596194 | astronomy_214 | chunk 3 | prompt_tokens=10600, candidates_tokens=347, total_tokens=11924
2025-11-21T18:49:07.946209 | astronomy_214 | chunk 4 | prompt_tokens=9563, candidates_tokens=259, total_tokens=10419
2025-11-21T18:49:32.943507 | astronomy_214 | chunk 5 | prompt_tokens=16443, candidates_tokens=341, total_tokens=17531
2025-11-21T18:49:43.716125 | astronomy_214 | chunk 6 | prompt_tokens=2859, candidates_tokens=143, total_tokens=3593
2025-11-21T18:50:07.206860 | astronomy_214 | chunk 7 | prompt_tokens=15952, candidates_tokens=325, total_tokens=17522
2025-11-21T18:50:52.407044 | astronomy_214 | chunk 8 | prompt_tokens=39058, candidates_tokens=379, total_tokens=40063
2025-11-21T18:51:26.539389 | astronomy_214 | chunk 9 | prompt_tokens=26373, candidates_tokens=378, total_tokens=28507
2025-11-21T18:51:48.492339 | astronomy_214 | chunk 10 | prompt_tokens=15594, candidates_tokens=354, total_tokens=16799
2025-11-21T18:52:03.267498 | astronomy_214 | chunk 11 | prompt_tokens=6588, candidates_tokens=181, total_tokens=7142
2025-11-21T18:52:20.172756 | astronomy_214 | chunk 12 | prompt_tokens=9651, candidates_tokens=272, total_tokens=10322
2025-11-21T18:52:37.051263 | astronomy_193 | chunk 0 | prompt_tokens=6771, candidates_tokens=320, total_tokens=7839
2025-11-21T18:52:54.357314 | astronomy_193 | chunk 1 | prompt_tokens=8659, candidates_tokens=248, total_tokens=9666
