2025-11-21T18:41:24.556378 | biology_39 | chunk 0 | prompt_tokens=7337, candidates_tokens=379, total_tokens=8350
2025-11-21T18:41:42.405820 | biology_39 | chunk 1 | prompt_tokens=22719, candidates_tokens=420, total_tokens=23753
2025-11-21T18:42:01.934752 | biology_39 | chunk 2 | prompt_tokens=22461, candidates_tokens=474, total_tokens=23619
2025-11-21T18:42:10.886063 | biology_39 | chunk 3 | prompt_tokens=4324, candidates_tokens=157, total_tokens=4952
2025-11-21T18:42:25.006557 | biology_39 | chunk 4 | prompt_tokens=14254, candidates_tokens=349, total_tokens=15208
2025-11-21T18:42:53.515272 | biology_39 | chunk 5 | prompt_tokens=35508, candidates_tokens=158, total_tokens=35928
2025-11-21T18:43:18.580107 | biology_39 | chunk 6 | prompt_tokens=18116, candidates_tokens=275, total_tokens=18878
2025-11-21T18:43:27.537984 | biology_39 | chunk 7 | prompt_tokens=3400, candidates_tokens=90, total_tokens=3642
2025-11-21T18:43:43.007173 | biology_91 | chunk 0 | prompt_tokens=9884, candidates_tokens=332, total_tokens=10879
2025-11-21T18:43:55.475965 | biology_91 | chunk 1 | prompt_tokens=5431, candidates_tokens=293, total_tokens=5969
2025-11-21T18:44:22.203815 | biology_91 | chunk 2 | prompt_tokens=10159, candidates_tokens=246, total_tokens=11235
2025-11-21T18:44:50.423282 | biology_91 | chunk 3 | prompt_tokens=15952, candidates_tokens=316, total_tokens=17058
2025-11-21T18:45:14.445100 | biology_91 | chunk 4 | prompt_tokens=14290, candidates_tokens=214, total_tokens=15452
2025-11-21T18:45:36.846591 | biology_91 | chunk 5 | prompt_tokens=20405, candidates_tokens=350, total_tokens=21722
2025-11-21T18:45:58.137683 | biology_91 | chunk 6 | prompt_tokens=19581, candidates_tokens=186, total_tokens=20024
2025-11-21T18:46:12.564052 | biology_91 | chunk 7 | prompt_tokens=2934, candidates_tokens=284, total_tokens=4186
2025-11-21T18:46:29.271333 | biology_91 | chunk 8 | prompt_tokens=7745, candidates_tokens=286, total_tokens=9095
2025-11-21T18:46:43.429534 | biology_91 | chunk 9 | prompt_tokens=3375, candidates_tokens=311, total_tokens=4130
2025-11-21T18:46:55.276725 | biology_91 | chunk 10 | prompt_tokens=6230, candidates_tokens=285, total_tokens=6765
2025-11-21T18:47:12.426207 | biology_91 | chunk 11 | prompt_tokens=11041, candidates_tokens=344, total_tokens=11847
2025-11-21T18:47:30.610107 | biology_91 | chunk 12 | prompt_tokens=12198, candidates_tokens=313, total_tokens=13255
2025-11-21T18:47:43.804126 | biology_91 | chunk 13 | prompt_tokens=8902, candidates_tokens=230, total_tokens=9394
