2025-11-21T19:51:12.859982 | chemistry_219 | chunk 0 | prompt_tokens=11424, candidates_tokens=289, total_tokens=12645
2025-11-21T19:52:08.807640 | chemistry_219 | chunk 1 | prompt_tokens=11707, candidates_tokens=154, total_tokens=12427
2025-11-21T19:53:28.098332 | chemistry_219 | chunk 2 | prompt_tokens=25183, candidates_tokens=431, total_tokens=26367
2025-11-21T19:53:59.632254 | chemistry_219 | chunk 3 | prompt_tokens=6588, candidates_tokens=242, total_tokens=7451
2025-11-21T19:54:12.478871 | chemistry_219 | chunk 4 | prompt_tokens=1469, candidates_tokens=67, total_tokens=1864
2025-11-21T19:54:48.871125 | chemistry_219 | chunk 5 | prompt_tokens=11316, candidates_tokens=240, total_tokens=12067
2025-11-21T19:55:28.335135 | chemistry_219 | chunk 6 | prompt_tokens=8236, candidates_tokens=220, total_tokens=9242
2025-11-21T19:56:26.250622 | chemistry_219 | chunk 7 | prompt_tokens=15669, candidates_tokens=199, total_tokens=16305
2025-11-21T19:57:41.471094 | chemistry_219 | chunk 8 | prompt_tokens=24442, candidates_tokens=267, total_tokens=25117
2025-11-21T19:58:33.987002 | chemistry_219 | chunk 9 | prompt_tokens=11026, candidates_tokens=174, total_tokens=11632
2025-11-21T19:59:12.858171 | chemistry_219 | chunk 10 | prompt_tokens=9035, candidates_tokens=179, total_tokens=9702
2025-11-21T19:59:49.325302 | chemistry_219 | chunk 11 | prompt_tokens=7362, candidates_tokens=185, total_tokens=7954
2025-11-21T20:00:05.164748 | chemistry_219 | chunk 12 | prompt_tokens=1985, candidates_tokens=129, total_tokens=2588
2025-11-21T20:00:36.659640 | chemistry_219 | chunk 13 | prompt_tokens=6255, candidates_tokens=189, total_tokens=6701
2025-11-21T20:01:09.578894 | chemistry_219 | chunk 14 | prompt_tokens=7720, candidates_tokens=189, total_tokens=8515
2025-11-21T20:01:44.914841 | chemistry_219 | chunk 15 | prompt_tokens=9160, candidates_tokens=135, total_tokens=9627
2025-11-21T20:02:17.020055 | chemistry_219 | chunk 16 | prompt_tokens=6821, candidates_tokens=267, total_tokens=7510
2025-11-21T20:02:40.605371 | chemistry_216 | chunk 0 | prompt_tokens=11865, candidates_tokens=278, total_tokens=12653
2025-11-21T20:03:03.360534 | chemistry_216 | chunk 1 | prompt_tokens=8569, candidates_tokens=273, total_tokens=9429
2025-11-21T20:03:26.737928 | chemistry_216 | chunk 2 | prompt_tokens=7412, candidates_tokens=334, total_tokens=8459
2025-11-21T20:04:15.975728 | chemistry_216 | chunk 3 | prompt_tokens=23027, candidates_tokens=266, total_tokens=24164
2025-11-21T20:04:53.977868 | chemistry_216 | chunk 4 | prompt_tokens=14280, candidates_tokens=253, total_tokens=15073
2025-11-21T20:05:18.867253 | chemistry_216 | chunk 5 | prompt_tokens=8777, candidates_tokens=555, total_tokens=9889
2025-11-21T20:05:55.592101 | chemistry_216 | chunk 6 | prompt_tokens=11322, candidates_tokens=328, total_tokens=12059
2025-11-21T20:06:10.233481 | chemistry_216 | chunk 7 | prompt_tokens=6047, candidates_tokens=211, total_tokens=6502
2025-11-21T20:06:29.659687 | chemistry_216 | chunk 8 | prompt_tokens=6613, candidates_tokens=242, total_tokens=7335
2025-11-21T20:06:43.940807 | chemistry_216 | chunk 9 | prompt_tokens=5123, candidates_tokens=195, total_tokens=5671
2025-11-21T20:06:58.049240 | chemistry_216 | chunk 10 | prompt_tokens=5406, candidates_tokens=314, total_tokens=6125
2025-11-21T20:07:21.862961 | chemistry_216 | chunk 11 | prompt_tokens=11657, candidates_tokens=340, total_tokens=12459
2025-11-21T20:07:42.166755 | chemistry_216 | chunk 12 | prompt_tokens=10550, candidates_tokens=287, total_tokens=11131
2025-11-21T20:08:06.178287 | chemistry_216 | chunk 13 | prompt_tokens=10009, candidates_tokens=349, total_tokens=10862
2025-11-21T20:08:37.721335 | chemistry_216 | chunk 14 | prompt_tokens=15336, candidates_tokens=277, total_tokens=16052
2025-11-21T20:09:04.814663 | chemistry_250 | chunk 0 | prompt_tokens=12813, candidates_tokens=235, total_tokens=13984
2025-11-21T20:09:22.421164 | chemistry_250 | chunk 1 | prompt_tokens=7154, candidates_tokens=227, total_tokens=7726
2025-11-21T20:09:50.713749 | chemistry_250 | chunk 2 | prompt_tokens=11026, candidates_tokens=387, total_tokens=12271
2025-11-21T20:10:11.434583 | chemistry_250 | chunk 3 | prompt_tokens=6599, candidates_tokens=200, total_tokens=7122
2025-11-21T20:10:39.912503 | chemistry_250 | chunk 4 | prompt_tokens=13122, candidates_tokens=473, total_tokens=14888
2025-11-21T20:11:04.618662 | chemistry_250 | chunk 5 | prompt_tokens=8075, candidates_tokens=265, total_tokens=8656
2025-11-21T20:11:30.074851 | chemistry_250 | chunk 6 | prompt_tokens=9909, candidates_tokens=283, total_tokens=11037
2025-11-21T20:11:50.739326 | chemistry_250 | chunk 7 | prompt_tokens=8802, candidates_tokens=349, total_tokens=9674
2025-11-21T20:12:04.661635 | chemistry_250 | chunk 8 | prompt_tokens=2343, candidates_tokens=262, total_tokens=3316
