2025-11-21T18:55:03.489035 | software_tutorials_363 | chunk 0 | prompt_tokens=9676, candidates_tokens=351, total_tokens=10714
2025-11-21T18:55:27.499483 | software_tutorials_363 | chunk 1 | prompt_tokens=9060, candidates_tokens=174, total_tokens=9558
2025-11-21T18:55:39.937288 | software_tutorials_363 | chunk 2 | prompt_tokens=2809, candidates_tokens=174, total_tokens=3272
2025-11-21T18:55:49.810663 | software_tutorials_363 | chunk 3 | prompt_tokens=645, candidates_tokens=212, total_tokens=1221
2025-11-21T18:56:28.481141 | software_tutorials_363 | chunk 4 | prompt_tokens=20971, candidates_tokens=308, total_tokens=21971
2025-11-21T18:56:45.367781 | software_tutorials_363 | chunk 5 | prompt_tokens=4507, candidates_tokens=342, total_tokens=6027
2025-11-21T18:56:55.640896 | software_tutorials_363 | chunk 6 | prompt_tokens=2268, candidates_tokens=166, total_tokens=2841
2025-11-21T18:57:04.944626 | software_tutorials_363 | chunk 7 | prompt_tokens=4299, candidates_tokens=66, total_tokens=4483
2025-11-21T18:57:25.613812 | software_tutorials_363 | chunk 8 | prompt_tokens=11141, candidates_tokens=277, total_tokens=12104
2025-11-21T18:57:43.836779 | software_tutorials_363 | chunk 9 | prompt_tokens=7670, candidates_tokens=227, total_tokens=8535
2025-11-21T18:58:16.499208 | software_tutorials_363 | chunk 10 | prompt_tokens=14695, candidates_tokens=538, total_tokens=16338
2025-11-21T18:58:43.261294 | software_tutorials_363 | chunk 11 | prompt_tokens=10858, candidates_tokens=399, total_tokens=12394
2025-11-21T18:59:22.367373 | software_tutorials_363 | chunk 13 | prompt_tokens=24008, candidates_tokens=394, total_tokens=25684
2025-11-21T18:59:56.629089 | software_tutorials_363 | chunk 14 | prompt_tokens=22744, candidates_tokens=305, total_tokens=23811
2025-11-21T19:00:16.827593 | software_tutorials_363 | chunk 15 | prompt_tokens=10726, candidates_tokens=295, total_tokens=11792
2025-11-21T19:00:34.818283 | software_tutorials_66 | chunk 0 | prompt_tokens=3941, candidates_tokens=215, total_tokens=4530
2025-11-21T19:01:22.580616 | software_tutorials_66 | chunk 1 | prompt_tokens=9959, candidates_tokens=368, total_tokens=11386
2025-11-21T19:01:47.219458 | software_tutorials_66 | chunk 2 | prompt_tokens=16235, candidates_tokens=323, total_tokens=18169
2025-11-21T19:02:19.011023 | software_tutorials_66 | chunk 3 | prompt_tokens=28021, candidates_tokens=369, total_tokens=29430
2025-11-21T19:02:31.506629 | software_tutorials_66 | chunk 4 | prompt_tokens=7387, candidates_tokens=236, total_tokens=8070
2025-11-21T19:02:45.973791 | software_tutorials_66 | chunk 5 | prompt_tokens=5481, candidates_tokens=337, total_tokens=6937
2025-11-21T19:03:03.635418 | software_tutorials_66 | chunk 6 | prompt_tokens=6014, candidates_tokens=256, total_tokens=6620
2025-11-21T19:03:22.858533 | software_tutorials_66 | chunk 7 | prompt_tokens=12209, candidates_tokens=277, total_tokens=12912
2025-11-21T19:03:36.775076 | software_tutorials_66 | chunk 8 | prompt_tokens=5764, candidates_tokens=396, total_tokens=6666
2025-11-21T19:03:58.638737 | software_tutorials_66 | chunk 9 | prompt_tokens=8569, candidates_tokens=250, total_tokens=9169
2025-11-21T19:04:12.337871 | software_tutorials_66 | chunk 10 | prompt_tokens=9110, candidates_tokens=326, total_tokens=9910
2025-11-21T19:04:41.071859 | software_tutorials_66 | chunk 11 | prompt_tokens=8594, candidates_tokens=716, total_tokens=11136
2025-11-21T19:04:59.887517 | software_tutorials_66 | chunk 12 | prompt_tokens=10242, candidates_tokens=317, total_tokens=11507
2025-11-21T19:05:17.598777 | software_tutorials_318 | chunk 0 | prompt_tokens=4815, candidates_tokens=243, total_tokens=5504
2025-11-21T19:05:45.546390 | software_tutorials_318 | chunk 1 | prompt_tokens=18707, candidates_tokens=148, total_tokens=19085
2025-11-21T19:05:59.607049 | software_tutorials_318 | chunk 2 | prompt_tokens=6330, candidates_tokens=142, total_tokens=6878
2025-11-21T19:06:09.358046 | software_tutorials_318 | chunk 3 | prompt_tokens=2293, candidates_tokens=123, total_tokens=2865
2025-11-21T19:06:35.812591 | software_tutorials_318 | chunk 4 | prompt_tokens=17034, candidates_tokens=146, total_tokens=17810
2025-11-21T19:06:49.738088 | software_tutorials_318 | chunk 5 | prompt_tokens=3475, candidates_tokens=151, total_tokens=4090
2025-11-21T19:07:06.677332 | software_tutorials_318 | chunk 6 | prompt_tokens=4532, candidates_tokens=149, total_tokens=4967
2025-11-21T19:07:23.469508 | software_tutorials_318 | chunk 7 | prompt_tokens=5664, candidates_tokens=249, total_tokens=6551
2025-11-21T19:07:43.534767 | software_tutorials_318 | chunk 8 | prompt_tokens=11424, candidates_tokens=294, total_tokens=12108
2025-11-21T19:07:54.598137 | software_tutorials_318 | chunk 9 | prompt_tokens=1677, candidates_tokens=156, total_tokens=2241
2025-11-21T19:08:12.321894 | software_tutorials_318 | chunk 10 | prompt_tokens=3117, candidates_tokens=183, total_tokens=3966
