2025-11-21T18:23:06.487469 | ted_talks_1 | chunk 0 | prompt_tokens=12864, candidates_tokens=474, total_tokens=14170
2025-11-21T18:23:26.305236 | ted_talks_1 | chunk 1 | prompt_tokens=14512, candidates_tokens=821, total_tokens=16902
2025-11-21T18:24:01.015901 | ted_talks_1 | chunk 2 | prompt_tokens=4840, candidates_tokens=391, total_tokens=5852
2025-11-21T18:24:23.002090 | ted_talks_1 | chunk 3 | prompt_tokens=9160, candidates_tokens=524, total_tokens=10889
2025-11-21T18:24:42.070763 | ted_talks_1 | chunk 4 | prompt_tokens=9060, candidates_tokens=279, total_tokens=10498
2025-11-21T18:25:09.303617 | ted_talks_1 | chunk 5 | prompt_tokens=10427, candidates_tokens=471, total_tokens=11481
2025-11-21T18:25:44.814995 | ted_talks_1 | chunk 6 | prompt_tokens=8968, candidates_tokens=691, total_tokens=10572
2025-11-21T18:26:00.105923 | ted_talks_1 | chunk 7 | prompt_tokens=8852, candidates_tokens=568, total_tokens=10170
2025-11-21T18:26:11.861851 | ted_talks_1 | chunk 8 | prompt_tokens=2268, candidates_tokens=314, total_tokens=3453
2025-11-21T18:26:26.470736 | ted_talks_1 | chunk 9 | prompt_tokens=5739, candidates_tokens=355, total_tokens=6754
2025-11-21T18:26:52.279500 | ted_talks_1 | chunk 10 | prompt_tokens=15386, candidates_tokens=777, total_tokens=17618
2025-11-21T18:27:21.330663 | ted_talks_1 | chunk 11 | prompt_tokens=17600, candidates_tokens=980, total_tokens=20340
2025-11-21T18:27:40.658473 | ted_talks_1 | chunk 12 | prompt_tokens=8211, candidates_tokens=528, total_tokens=9611
2025-11-21T18:28:15.833798 | ted_talks_1 | chunk 13 | prompt_tokens=10733, candidates_tokens=633, total_tokens=12352
2025-11-21T18:28:35.505656 | ted_talks_1 | chunk 14 | prompt_tokens=6280, candidates_tokens=443, total_tokens=8246
2025-11-21T18:29:13.174968 | ted_talks_1 | chunk 15 | prompt_tokens=21065, candidates_tokens=926, total_tokens=23416
2025-11-21T18:29:28.229664 | ted_talks_1 | chunk 16 | prompt_tokens=11324, candidates_tokens=194, total_tokens=11820
2025-11-21T18:30:02.942866 | ted_talks_251 | chunk 0 | prompt_tokens=11031, candidates_tokens=312, total_tokens=12062
2025-11-21T18:30:37.224699 | ted_talks_251 | chunk 1 | prompt_tokens=13993, candidates_tokens=261, total_tokens=15005
2025-11-21T18:30:57.525802 | ted_talks_251 | chunk 2 | prompt_tokens=19889, candidates_tokens=260, total_tokens=20932
2025-11-21T18:31:10.751270 | ted_talks_251 | chunk 3 | prompt_tokens=8569, candidates_tokens=190, total_tokens=9581
2025-11-21T18:31:22.922071 | ted_talks_251 | chunk 4 | prompt_tokens=6330, candidates_tokens=199, total_tokens=6938
2025-11-21T18:31:36.160562 | ted_talks_251 | chunk 5 | prompt_tokens=8311, candidates_tokens=223, total_tokens=8992
2025-11-21T18:31:46.278704 | ted_talks_251 | chunk 6 | prompt_tokens=3142, candidates_tokens=173, total_tokens=3670
2025-11-21T18:32:01.285845 | ted_talks_251 | chunk 7 | prompt_tokens=6846, candidates_tokens=239, total_tokens=7810
2025-11-21T18:32:16.039188 | ted_talks_251 | chunk 8 | prompt_tokens=8261, candidates_tokens=312, total_tokens=8969
2025-11-21T18:32:32.865963 | ted_talks_251 | chunk 9 | prompt_tokens=18116, candidates_tokens=213, total_tokens=18588
2025-11-21T18:33:07.849948 | ted_talks_251 | chunk 10 | prompt_tokens=7503, candidates_tokens=317, total_tokens=8933
2025-11-21T18:33:21.612420 | ted_talks_251 | chunk 11 | prompt_tokens=7179, candidates_tokens=153, total_tokens=7881
2025-11-21T18:33:35.994578 | ted_talks_251 | chunk 12 | prompt_tokens=7129, candidates_tokens=240, total_tokens=7952
2025-11-21T18:33:45.278168 | ted_talks_251 | chunk 13 | prompt_tokens=4865, candidates_tokens=106, total_tokens=5252
2025-11-21T18:33:57.023533 | ted_talks_251 | chunk 14 | prompt_tokens=3658, candidates_tokens=232, total_tokens=4492
2025-11-21T18:34:33.209715 | ted_talks_22 | chunk 0 | prompt_tokens=5710, candidates_tokens=247, total_tokens=6556
2025-11-21T18:35:10.692493 | ted_talks_22 | chunk 1 | prompt_tokens=9546, candidates_tokens=216, total_tokens=10356
2025-11-21T18:35:31.489293 | ted_talks_22 | chunk 2 | prompt_tokens=11399, candidates_tokens=402, total_tokens=12218
2025-11-21T18:35:40.852654 | ted_talks_22 | chunk 3 | prompt_tokens=2293, candidates_tokens=77, total_tokens=2703
2025-11-21T18:35:55.408707 | ted_talks_22 | chunk 4 | prompt_tokens=4374, candidates_tokens=311, total_tokens=5344
2025-11-21T18:36:12.445903 | ted_talks_22 | chunk 5 | prompt_tokens=4865, candidates_tokens=192, total_tokens=5952
2025-11-21T18:36:41.109584 | ted_talks_22 | chunk 6 | prompt_tokens=14204, candidates_tokens=312, total_tokens=16163
2025-11-21T18:37:04.953590 | ted_talks_22 | chunk 7 | prompt_tokens=8003, candidates_tokens=399, total_tokens=9894
2025-11-21T18:37:19.953593 | ted_talks_22 | chunk 8 | prompt_tokens=10475, candidates_tokens=286, total_tokens=11281
2025-11-21T18:37:37.734972 | ted_talks_22 | chunk 9 | prompt_tokens=5789, candidates_tokens=281, total_tokens=7051
2025-11-21T18:38:13.582566 | ted_talks_22 | chunk 10 | prompt_tokens=8685, candidates_tokens=212, total_tokens=9484
2025-11-21T18:38:24.685430 | ted_talks_22 | chunk 11 | prompt_tokens=4582, candidates_tokens=180, total_tokens=5049
2025-11-21T18:38:49.690961 | ted_talks_22 | chunk 12 | prompt_tokens=7720, candidates_tokens=247, total_tokens=8922
2025-11-21T18:39:27.070456 | ted_talks_22 | chunk 13 | prompt_tokens=19040, candidates_tokens=346, total_tokens=20204
2025-11-21T18:39:47.613245 | ted_talks_412 | chunk 0 | prompt_tokens=8311, candidates_tokens=281, total_tokens=9403
2025-11-21T18:40:19.479933 | ted_talks_412 | chunk 1 | prompt_tokens=8968, candidates_tokens=197, total_tokens=9938
2025-11-21T18:40:45.623922 | ted_talks_412 | chunk 2 | prompt_tokens=7487, candidates_tokens=202, total_tokens=7993
2025-11-21T18:41:02.274375 | ted_talks_412 | chunk 3 | prompt_tokens=3092, candidates_tokens=158, total_tokens=3916
2025-11-21T18:41:21.740417 | ted_talks_412 | chunk 4 | prompt_tokens=9160, candidates_tokens=220, total_tokens=10168
2025-11-21T18:41:42.406945 | ted_talks_412 | chunk 5 | prompt_tokens=10808, candidates_tokens=195, total_tokens=11762
2025-11-21T18:41:52.144012 | ted_talks_412 | chunk 6 | prompt_tokens=4016, candidates_tokens=109, total_tokens=4383
2025-11-21T18:42:20.581724 | ted_talks_412 | chunk 7 | prompt_tokens=20946, candidates_tokens=255, total_tokens=21856
2025-11-21T18:43:12.438825 | ted_talks_412 | chunk 8 | prompt_tokens=23801, candidates_tokens=252, total_tokens=25129
2025-11-21T18:43:47.737722 | ted_talks_412 | chunk 9 | prompt_tokens=14437, candidates_tokens=149, total_tokens=15240
2025-11-21T18:44:14.640988 | ted_talks_412 | chunk 10 | prompt_tokens=11374, candidates_tokens=190, total_tokens=11843
2025-11-21T18:44:46.364059 | ted_talks_412 | chunk 11 | prompt_tokens=14872, candidates_tokens=157, total_tokens=15321
2025-11-21T18:45:01.267685 | ted_talks_412 | chunk 12 | prompt_tokens=7154, candidates_tokens=152, total_tokens=7794
2025-11-21T18:45:24.208787 | ted_talks_412 | chunk 13 | prompt_tokens=10267, candidates_tokens=156, total_tokens=10816
2025-11-21T18:45:39.818778 | ted_talks_412 | chunk 14 | prompt_tokens=4507, candidates_tokens=149, total_tokens=4956
2025-11-21T18:46:02.762699 | ted_talks_412 | chunk 15 | prompt_tokens=12248, candidates_tokens=138, total_tokens=12836
2025-11-21T18:46:23.364622 | ted_talks_285 | chunk 0 | prompt_tokens=13430, candidates_tokens=208, total_tokens=14414
2025-11-21T18:46:43.528917 | ted_talks_285 | chunk 1 | prompt_tokens=10833, candidates_tokens=196, total_tokens=11314
2025-11-21T18:46:58.628843 | ted_talks_285 | chunk 2 | prompt_tokens=4532, candidates_tokens=228, total_tokens=5162
2025-11-21T18:47:08.525877 | ted_talks_285 | chunk 3 | prompt_tokens=4274, candidates_tokens=115, total_tokens=4667
2025-11-21T18:47:25.985084 | ted_talks_285 | chunk 4 | prompt_tokens=2601, candidates_tokens=391, total_tokens=4034
2025-11-21T18:47:34.284013 | ted_talks_285 | chunk 5 | prompt_tokens=2651, candidates_tokens=53, total_tokens=2891
2025-11-21T18:48:10.510208 | ted_talks_285 | chunk 6 | prompt_tokens=17059, candidates_tokens=395, total_tokens=18719
2025-11-21T18:48:29.242681 | ted_talks_285 | chunk 7 | prompt_tokens=8028, candidates_tokens=248, total_tokens=8860
2025-11-21T18:48:48.226763 | ted_talks_285 | chunk 8 | prompt_tokens=9934, candidates_tokens=283, total_tokens=10790
2025-11-21T18:49:10.394728 | ted_talks_285 | chunk 9 | prompt_tokens=11030, candidates_tokens=396, total_tokens=12014
2025-11-21T18:49:35.080061 | ted_talks_285 | chunk 10 | prompt_tokens=11990, candidates_tokens=200, total_tokens=12727
2025-11-21T18:49:49.893953 | ted_talks_285 | chunk 11 | prompt_tokens=6280, candidates_tokens=115, total_tokens=6796
2025-11-21T18:49:58.070976 | ted_talks_285 | chunk 12 | prompt_tokens=1777, candidates_tokens=115, total_tokens=2118
2025-11-21T18:50:16.245993 | ted_talks_285 | chunk 13 | prompt_tokens=8877, candidates_tokens=262, total_tokens=9834
2025-11-21T18:50:33.659693 | ted_talks_285 | chunk 14 | prompt_tokens=7695, candidates_tokens=171, total_tokens=8202
2025-11-21T18:50:45.030688 | ted_talks_285 | chunk 15 | prompt_tokens=9318, candidates_tokens=119, total_tokens=9721
2025-11-21T18:51:00.489540 | ted_talks_285 | chunk 16 | prompt_tokens=13305, candidates_tokens=198, total_tokens=13820
2025-11-21T18:51:16.172424 | ted_talks_332 | chunk 0 | prompt_tokens=7337, candidates_tokens=197, total_tokens=7885
2025-11-21T18:51:41.748893 | ted_talks_332 | chunk 1 | prompt_tokens=18191, candidates_tokens=168, total_tokens=18600
2025-11-21T18:52:20.246983 | ted_talks_332 | chunk 2 | prompt_tokens=24442, candidates_tokens=154, total_tokens=24977
2025-11-21T18:52:42.567679 | ted_talks_332 | chunk 3 | prompt_tokens=11915, candidates_tokens=211, total_tokens=12658
2025-11-21T18:52:59.752488 | ted_talks_332 | chunk 4 | prompt_tokens=8827, candidates_tokens=212, total_tokens=9490
2025-11-21T18:53:19.390687 | ted_talks_332 | chunk 5 | prompt_tokens=13097, candidates_tokens=327, total_tokens=14240
2025-11-21T18:53:45.813757 | ted_talks_332 | chunk 6 | prompt_tokens=11657, candidates_tokens=384, total_tokens=12681
2025-11-21T18:54:08.953882 | ted_talks_332 | chunk 7 | prompt_tokens=13946, candidates_tokens=273, total_tokens=14887
