2025-11-21T17:49:59.571560 | travel_vlogs_130 | chunk 0 | prompt_tokens=19065, candidates_tokens=144, total_tokens=19563
2025-11-21T17:50:20.524518 | travel_vlogs_130 | chunk 1 | prompt_tokens=22644, candidates_tokens=288, total_tokens=23770
2025-11-21T17:50:41.164643 | travel_vlogs_130 | chunk 2 | prompt_tokens=20713, candidates_tokens=313, total_tokens=21968
2025-11-21T17:51:13.533439 | travel_vlogs_130 | chunk 3 | prompt_tokens=8365, candidates_tokens=228, total_tokens=8868
2025-11-21T17:51:28.399441 | travel_vlogs_130 | chunk 4 | prompt_tokens=16801, candidates_tokens=273, total_tokens=17764
2025-11-21T17:51:52.244293 | travel_vlogs_130 | chunk 5 | prompt_tokens=12814, candidates_tokens=383, total_tokens=13977
2025-11-21T17:52:01.321549 | travel_vlogs_130 | chunk 6 | prompt_tokens=4865, candidates_tokens=193, total_tokens=5416
2025-11-21T17:52:13.439587 | travel_vlogs_130 | chunk 7 | prompt_tokens=10525, candidates_tokens=311, total_tokens=11546
2025-11-21T17:52:23.583037 | travel_vlogs_153 | chunk 0 | prompt_tokens=7079, candidates_tokens=180, total_tokens=7704
2025-11-21T17:52:41.582095 | travel_vlogs_153 | chunk 1 | prompt_tokens=6896, candidates_tokens=243, total_tokens=7956
2025-11-21T17:53:16.703736 | travel_vlogs_153 | chunk 2 | prompt_tokens=12498, candidates_tokens=231, total_tokens=13555
2025-11-21T17:53:54.286123 | travel_vlogs_153 | chunk 3 | prompt_tokens=12210, candidates_tokens=209, total_tokens=12971
2025-11-21T17:54:13.327443 | travel_vlogs_153 | chunk 4 | prompt_tokens=18349, candidates_tokens=276, total_tokens=19763
2025-11-21T17:54:50.288139 | travel_vlogs_153 | chunk 5 | prompt_tokens=10426, candidates_tokens=247, total_tokens=11516
2025-11-21T17:55:19.510515 | travel_vlogs_153 | chunk 6 | prompt_tokens=33964, candidates_tokens=248, total_tokens=35299
2025-11-21T17:55:52.537531 | travel_vlogs_153 | chunk 7 | prompt_tokens=43782, candidates_tokens=340, total_tokens=46035
2025-11-21T17:56:09.816252 | travel_vlogs_153 | chunk 8 | prompt_tokens=31800, candidates_tokens=313, total_tokens=32832
2025-11-21T17:56:21.544231 | travel_vlogs_56 | chunk 0 | prompt_tokens=4482, candidates_tokens=173, total_tokens=5001
2025-11-21T17:56:34.634732 | travel_vlogs_56 | chunk 1 | prompt_tokens=11091, candidates_tokens=172, total_tokens=11568
2025-11-21T17:56:47.491783 | travel_vlogs_56 | chunk 2 | prompt_tokens=6255, candidates_tokens=201, total_tokens=7268
2025-11-21T17:57:23.165435 | travel_vlogs_56 | chunk 3 | prompt_tokens=19914, candidates_tokens=266, total_tokens=21175
2025-11-21T17:57:42.008963 | travel_vlogs_56 | chunk 4 | prompt_tokens=18424, candidates_tokens=328, total_tokens=19425
2025-11-21T17:57:53.083530 | travel_vlogs_56 | chunk 5 | prompt_tokens=4016, candidates_tokens=208, total_tokens=4661
2025-11-21T17:58:07.382230 | travel_vlogs_56 | chunk 6 | prompt_tokens=6230, candidates_tokens=356, total_tokens=7420
2025-11-21T17:58:18.411431 | travel_vlogs_56 | chunk 7 | prompt_tokens=7154, candidates_tokens=217, total_tokens=7696
2025-11-21T17:58:46.669216 | travel_vlogs_56 | chunk 8 | prompt_tokens=12503, candidates_tokens=266, total_tokens=13502
2025-11-21T17:59:15.465266 | travel_vlogs_56 | chunk 9 | prompt_tokens=6619, candidates_tokens=172, total_tokens=7231
2025-11-21T17:59:40.812717 | travel_vlogs_56 | chunk 10 | prompt_tokens=6301, candidates_tokens=160, total_tokens=6920
2025-11-21T18:00:07.386844 | travel_vlogs_56 | chunk 11 | prompt_tokens=7501, candidates_tokens=212, total_tokens=8349
2025-11-21T18:00:22.960785 | travel_vlogs_56 | chunk 12 | prompt_tokens=10858, candidates_tokens=289, total_tokens=11721
2025-11-21T18:00:32.265870 | travel_vlogs_56 | chunk 13 | prompt_tokens=4016, candidates_tokens=183, total_tokens=4678
2025-11-21T18:00:50.685702 | travel_vlogs_64 | chunk 0 | prompt_tokens=8802, candidates_tokens=289, total_tokens=10452
2025-11-21T18:01:23.330491 | travel_vlogs_64 | chunk 1 | prompt_tokens=18109, candidates_tokens=255, total_tokens=19505
2025-11-21T18:01:35.331675 | travel_vlogs_64 | chunk 2 | prompt_tokens=9110, candidates_tokens=233, total_tokens=9717
2025-11-21T18:01:42.556371 | travel_vlogs_64 | chunk 3 | prompt_tokens=387, candidates_tokens=170, total_tokens=901
2025-11-21T18:01:59.015177 | travel_vlogs_64 | chunk 4 | prompt_tokens=9909, candidates_tokens=272, total_tokens=10808
2025-11-21T18:02:17.463197 | travel_vlogs_64 | chunk 5 | prompt_tokens=18374, candidates_tokens=122, total_tokens=18921
2025-11-21T18:02:26.901122 | travel_vlogs_64 | chunk 6 | prompt_tokens=2085, candidates_tokens=197, total_tokens=2825
2025-11-21T18:02:40.317102 | travel_vlogs_64 | chunk 7 | prompt_tokens=13355, candidates_tokens=137, total_tokens=13867
2025-11-21T18:03:16.126436 | travel_vlogs_64 | chunk 8 | prompt_tokens=21063, candidates_tokens=115, total_tokens=21607
2025-11-21T18:03:30.264766 | travel_vlogs_64 | chunk 9 | prompt_tokens=7437, candidates_tokens=156, total_tokens=8131
2025-11-21T18:03:49.482048 | travel_vlogs_64 | chunk 10 | prompt_tokens=17367, candidates_tokens=161, total_tokens=18278
2025-11-21T18:04:09.497025 | travel_vlogs_125 | chunk 0 | prompt_tokens=10500, candidates_tokens=279, total_tokens=11501
2025-11-21T18:04:33.636357 | travel_vlogs_125 | chunk 1 | prompt_tokens=18166, candidates_tokens=214, total_tokens=18705
