2025-11-21T00:08:32.277729 | academic_lectures_3 | chunk 0 | prompt_tokens=13971, candidates_tokens=141, total_tokens=14112
2025-11-21T00:08:49.240869 | academic_lectures_3 | chunk 1 | prompt_tokens=22386, candidates_tokens=205, total_tokens=22591
2025-11-21T00:09:02.086076 | academic_lectures_3 | chunk 2 | prompt_tokens=27247, candidates_tokens=210, total_tokens=27457
2025-11-21T00:09:16.447418 | academic_lectures_3 | chunk 3 | prompt_tokens=20480, candidates_tokens=161, total_tokens=20641
2025-11-21T00:09:32.324595 | academic_lectures_3 | chunk 4 | prompt_tokens=20405, candidates_tokens=144, total_tokens=20549
2025-11-21T00:09:48.569732 | academic_lectures_3 | chunk 5 | prompt_tokens=15644, candidates_tokens=135, total_tokens=15779
2025-11-21T00:09:57.708841 | academic_lectures_3 | chunk 6 | prompt_tokens=10758, candidates_tokens=156, total_tokens=10914
2025-11-21T00:10:04.948334 | academic_lectures_3 | chunk 7 | prompt_tokens=1985, candidates_tokens=180, total_tokens=2165
2025-11-21T00:10:14.160414 | academic_lectures_3 | chunk 8 | prompt_tokens=12481, candidates_tokens=145, total_tokens=12626
2025-11-21T00:10:20.647685 | academic_lectures_3 | chunk 9 | prompt_tokens=2010, candidates_tokens=168, total_tokens=2178
2025-11-21T00:10:30.088855 | academic_lectures_3 | chunk 10 | prompt_tokens=15952, candidates_tokens=293, total_tokens=16245
2025-11-21T00:10:38.675950 | academic_lectures_101 | chunk 0 | prompt_tokens=10450, candidates_tokens=220, total_tokens=10670
2025-11-21T00:10:48.537020 | academic_lectures_101 | chunk 1 | prompt_tokens=5198, candidates_tokens=232, total_tokens=5430
2025-11-21T00:10:59.767202 | academic_lectures_101 | chunk 2 | prompt_tokens=10808, candidates_tokens=250, total_tokens=11058
2025-11-21T00:11:06.548669 | academic_lectures_101 | chunk 3 | prompt_tokens=6513, candidates_tokens=129, total_tokens=6642
2025-11-21T00:11:16.830734 | academic_lectures_101 | chunk 4 | prompt_tokens=27455, candidates_tokens=277, total_tokens=27732
2025-11-21T00:11:26.337340 | academic_lectures_101 | chunk 5 | prompt_tokens=5098, candidates_tokens=174, total_tokens=5272
2025-11-21T00:11:32.503168 | academic_lectures_101 | chunk 6 | prompt_tokens=6538, candidates_tokens=185, total_tokens=6723
2025-11-21T00:11:51.914111 | academic_lectures_101 | chunk 7 | prompt_tokens=33423, candidates_tokens=295, total_tokens=33718
2025-11-21T00:12:02.599694 | academic_lectures_101 | chunk 8 | prompt_tokens=7054, candidates_tokens=208, total_tokens=7262
2025-11-21T00:12:09.504802 | academic_lectures_101 | chunk 9 | prompt_tokens=3733, candidates_tokens=161, total_tokens=3894
2025-11-21T00:12:22.048161 | academic_lectures_101 | chunk 10 | prompt_tokens=7953, candidates_tokens=250, total_tokens=8203
2025-11-21T00:12:34.559135 | academic_lectures_101 | chunk 11 | prompt_tokens=16418, candidates_tokens=205, total_tokens=16623
2025-11-21T00:12:44.273598 | academic_lectures_101 | chunk 12 | prompt_tokens=6896, candidates_tokens=238, total_tokens=7134
2025-11-21T00:12:51.589973 | academic_lectures_101 | chunk 13 | prompt_tokens=2601, candidates_tokens=162, total_tokens=2763
2025-11-21T00:13:05.413758 | academic_lectures_174 | chunk 0 | prompt_tokens=5922, candidates_tokens=278, total_tokens=6200
2025-11-21T00:13:19.314022 | academic_lectures_174 | chunk 1 | prompt_tokens=11141, candidates_tokens=258, total_tokens=11399
2025-11-21T00:13:28.726335 | academic_lectures_174 | chunk 2 | prompt_tokens=5098, candidates_tokens=237, total_tokens=5335
2025-11-21T00:13:46.106225 | academic_lectures_174 | chunk 3 | prompt_tokens=10500, candidates_tokens=360, total_tokens=10860
2025-11-21T00:14:04.387480 | academic_lectures_174 | chunk 4 | prompt_tokens=10575, candidates_tokens=215, total_tokens=10790
2025-11-21T00:14:19.090550 | academic_lectures_174 | chunk 5 | prompt_tokens=10009, candidates_tokens=205, total_tokens=10214
2025-11-21T00:14:30.218289 | academic_lectures_174 | chunk 6 | prompt_tokens=9676, candidates_tokens=353, total_tokens=10029
2025-11-21T00:14:41.027708 | academic_lectures_174 | chunk 7 | prompt_tokens=7953, candidates_tokens=285, total_tokens=8238
2025-11-21T00:15:01.111500 | academic_lectures_174 | chunk 8 | prompt_tokens=20097, candidates_tokens=343, total_tokens=20440
2025-11-21T00:15:52.399092 | academic_lectures_174 | chunk 9 | prompt_tokens=41064, candidates_tokens=229, total_tokens=41293
2025-11-21T00:16:07.067319 | academic_lectures_198 | chunk 0 | prompt_tokens=21637, candidates_tokens=220, total_tokens=21857
2025-11-21T00:16:18.315838 | academic_lectures_198 | chunk 1 | prompt_tokens=19764, candidates_tokens=221, total_tokens=19985
2025-11-21T00:16:30.688718 | academic_lectures_198 | chunk 2 | prompt_tokens=13946, candidates_tokens=209, total_tokens=14155
2025-11-21T00:16:39.617656 | academic_lectures_198 | chunk 3 | prompt_tokens=8444, candidates_tokens=172, total_tokens=8616
2025-11-21T00:16:47.446381 | academic_lectures_198 | chunk 4 | prompt_tokens=5639, candidates_tokens=138, total_tokens=5777
2025-11-21T00:17:19.112898 | academic_lectures_198 | chunk 5 | prompt_tokens=17650, candidates_tokens=202, total_tokens=17852
2025-11-21T00:17:37.861294 | academic_lectures_198 | chunk 6 | prompt_tokens=20713, candidates_tokens=220, total_tokens=20933
2025-11-21T00:17:49.559649 | academic_lectures_198 | chunk 7 | prompt_tokens=16443, candidates_tokens=276, total_tokens=16719
2025-11-21T00:17:58.657966 | academic_lectures_39 | chunk 0 | prompt_tokens=9035, candidates_tokens=204, total_tokens=9239
2025-11-21T00:18:05.031633 | academic_lectures_39 | chunk 1 | prompt_tokens=3966, candidates_tokens=186, total_tokens=4152
2025-11-21T00:18:13.037298 | academic_lectures_39 | chunk 2 | prompt_tokens=7437, candidates_tokens=187, total_tokens=7624
2025-11-21T00:18:21.527287 | academic_lectures_39 | chunk 3 | prompt_tokens=8211, candidates_tokens=254, total_tokens=8465
2025-11-21T00:18:29.731698 | academic_lectures_39 | chunk 4 | prompt_tokens=6280, candidates_tokens=187, total_tokens=6467
2025-11-21T00:18:36.800369 | academic_lectures_39 | chunk 5 | prompt_tokens=4557, candidates_tokens=226, total_tokens=4783
2025-11-21T00:18:46.648053 | academic_lectures_39 | chunk 6 | prompt_tokens=9934, candidates_tokens=247, total_tokens=10181
2025-11-21T00:18:53.588858 | academic_lectures_39 | chunk 7 | prompt_tokens=5764, candidates_tokens=218, total_tokens=5982
2025-11-21T00:19:01.431937 | academic_lectures_39 | chunk 8 | prompt_tokens=4915, candidates_tokens=184, total_tokens=5099
2025-11-21T00:19:14.348093 | academic_lectures_39 | chunk 9 | prompt_tokens=16160, candidates_tokens=238, total_tokens=16398
2025-11-21T00:19:26.766266 | academic_lectures_39 | chunk 10 | prompt_tokens=18399, candidates_tokens=238, total_tokens=18637
2025-11-21T00:19:40.152613 | academic_lectures_39 | chunk 11 | prompt_tokens=20763, candidates_tokens=285, total_tokens=21048
2025-11-21T00:19:48.364403 | academic_lectures_39 | chunk 12 | prompt_tokens=11632, candidates_tokens=309, total_tokens=11941
