2025-11-20T20:34:44.133634 | astronomy_524 | chunk 0 | prompt_tokens=7337, candidates_tokens=160, total_tokens=7497
2025-11-20T20:35:11.297857 | astronomy_524 | chunk 1 | prompt_tokens=18216, candidates_tokens=229, total_tokens=18445
2025-11-20T20:35:33.850753 | astronomy_524 | chunk 2 | prompt_tokens=8752, candidates_tokens=232, total_tokens=8984
2025-11-20T20:35:46.556150 | astronomy_524 | chunk 3 | prompt_tokens=5456, candidates_tokens=167, total_tokens=5623
2025-11-20T20:36:02.299419 | astronomy_524 | chunk 4 | prompt_tokens=9676, candidates_tokens=187, total_tokens=9863
2025-11-20T20:36:38.745021 | astronomy_524 | chunk 5 | prompt_tokens=15594, candidates_tokens=234, total_tokens=15828
2025-11-20T20:37:04.194990 | astronomy_524 | chunk 6 | prompt_tokens=10783, candidates_tokens=256, total_tokens=11039
2025-11-20T20:37:22.306813 | astronomy_524 | chunk 7 | prompt_tokens=9060, candidates_tokens=197, total_tokens=9257
2025-11-20T20:37:45.174808 | astronomy_524 | chunk 8 | prompt_tokens=9601, candidates_tokens=206, total_tokens=9807
2025-11-20T20:38:20.091118 | astronomy_524 | chunk 9 | prompt_tokens=16443, candidates_tokens=206, total_tokens=16649
2025-11-20T20:38:31.587523 | astronomy_524 | chunk 10 | prompt_tokens=3500, candidates_tokens=120, total_tokens=3620
2025-11-20T20:38:58.342487 | astronomy_524 | chunk 11 | prompt_tokens=6538, candidates_tokens=220, total_tokens=6758
2025-11-20T20:39:20.019783 | astronomy_524 | chunk 12 | prompt_tokens=6821, candidates_tokens=216, total_tokens=7037
2025-11-20T20:39:34.288865 | astronomy_524 | chunk 13 | prompt_tokens=9959, candidates_tokens=191, total_tokens=10150
2025-11-20T20:39:49.549325 | astronomy_524 | chunk 14 | prompt_tokens=8802, candidates_tokens=212, total_tokens=9014
2025-11-20T20:39:59.416518 | astronomy_524 | chunk 15 | prompt_tokens=5456, candidates_tokens=153, total_tokens=5609
2025-11-20T20:40:10.240625 | astronomy_524 | chunk 16 | prompt_tokens=4299, candidates_tokens=232, total_tokens=4531
2025-11-20T20:40:28.959823 | astronomy_524 | chunk 17 | prompt_tokens=7745, candidates_tokens=188, total_tokens=7933
2025-11-20T20:40:59.104015 | astronomy_177 | chunk 0 | prompt_tokens=17292, candidates_tokens=290, total_tokens=17582
2025-11-20T20:41:12.699951 | astronomy_177 | chunk 1 | prompt_tokens=8827, candidates_tokens=217, total_tokens=9044
2025-11-20T20:41:29.971476 | astronomy_177 | chunk 2 | prompt_tokens=11324, candidates_tokens=230, total_tokens=11554
2025-11-20T20:41:42.089588 | astronomy_177 | chunk 3 | prompt_tokens=4324, candidates_tokens=196, total_tokens=4520
2025-11-20T20:41:58.887965 | astronomy_177 | chunk 4 | prompt_tokens=7462, candidates_tokens=135, total_tokens=7597
2025-11-20T20:42:16.499810 | astronomy_177 | chunk 5 | prompt_tokens=7362, candidates_tokens=258, total_tokens=7620
2025-11-20T20:42:38.754815 | astronomy_177 | chunk 6 | prompt_tokens=9626, candidates_tokens=290, total_tokens=9916
2025-11-20T20:42:56.886205 | astronomy_177 | chunk 7 | prompt_tokens=9701, candidates_tokens=139, total_tokens=9840
2025-11-20T20:43:17.963397 | astronomy_177 | chunk 8 | prompt_tokens=12248, candidates_tokens=211, total_tokens=12459
2025-11-20T20:43:32.660110 | astronomy_177 | chunk 9 | prompt_tokens=7695, candidates_tokens=195, total_tokens=7890
2025-11-20T20:43:45.637312 | astronomy_177 | chunk 10 | prompt_tokens=5664, candidates_tokens=181, total_tokens=5845
2025-11-20T20:43:57.453623 | astronomy_177 | chunk 11 | prompt_tokens=4915, candidates_tokens=136, total_tokens=5051
2025-11-20T20:44:19.672501 | astronomy_177 | chunk 12 | prompt_tokens=15028, candidates_tokens=174, total_tokens=15202
2025-11-20T20:44:48.176093 | astronomy_177 | chunk 13 | prompt_tokens=14745, candidates_tokens=257, total_tokens=15002
2025-11-20T20:45:21.244994 | astronomy_177 | chunk 14 | prompt_tokens=9909, candidates_tokens=248, total_tokens=10157
2025-11-20T20:46:05.026764 | astronomy_177 | chunk 15 | prompt_tokens=27530, candidates_tokens=287, total_tokens=27817
2025-11-20T20:46:16.050229 | astronomy_405 | chunk 0 | prompt_tokens=4940, candidates_tokens=136, total_tokens=5076
2025-11-20T20:46:35.665843 | astronomy_405 | chunk 1 | prompt_tokens=14204, candidates_tokens=279, total_tokens=14483
2025-11-20T20:46:51.506064 | astronomy_405 | chunk 2 | prompt_tokens=9884, candidates_tokens=145, total_tokens=10029
2025-11-20T20:47:08.100881 | astronomy_405 | chunk 3 | prompt_tokens=10858, candidates_tokens=193, total_tokens=11051
2025-11-20T20:47:23.451408 | astronomy_405 | chunk 4 | prompt_tokens=9676, candidates_tokens=363, total_tokens=10039
2025-11-20T20:47:40.705862 | astronomy_405 | chunk 5 | prompt_tokens=11424, candidates_tokens=283, total_tokens=11707
2025-11-20T20:47:59.411513 | astronomy_405 | chunk 6 | prompt_tokens=14720, candidates_tokens=232, total_tokens=14952
2025-11-20T20:48:13.673200 | astronomy_405 | chunk 7 | prompt_tokens=9110, candidates_tokens=321, total_tokens=9431
2025-11-20T20:48:38.491155 | astronomy_405 | chunk 8 | prompt_tokens=22411, candidates_tokens=227, total_tokens=22638
2025-11-20T20:49:01.255332 | astronomy_405 | chunk 9 | prompt_tokens=25291, candidates_tokens=344, total_tokens=25635
2025-11-20T20:49:36.450720 | astronomy_405 | chunk 10 | prompt_tokens=25832, candidates_tokens=198, total_tokens=26030
2025-11-20T20:49:44.224411 | astronomy_224 | chunk 0 | prompt_tokens=1985, candidates_tokens=158, total_tokens=2143
2025-11-20T20:49:57.314155 | astronomy_224 | chunk 1 | prompt_tokens=6255, candidates_tokens=368, total_tokens=6623
2025-11-20T20:50:34.825329 | astronomy_224 | chunk 2 | prompt_tokens=23210, candidates_tokens=305, total_tokens=23515
2025-11-20T20:50:57.254675 | astronomy_224 | chunk 3 | prompt_tokens=10475, candidates_tokens=226, total_tokens=10701
2025-11-20T20:51:17.022853 | astronomy_224 | chunk 4 | prompt_tokens=3966, candidates_tokens=137, total_tokens=4103
2025-11-20T20:51:45.512872 | astronomy_224 | chunk 5 | prompt_tokens=12814, candidates_tokens=182, total_tokens=12996
