2025-11-20T23:17:07.486926 | biology_39 | chunk 0 | prompt_tokens=7337, candidates_tokens=159, total_tokens=7496
2025-11-20T23:17:38.326892 | biology_39 | chunk 1 | prompt_tokens=22719, candidates_tokens=272, total_tokens=22991
2025-11-20T23:17:58.324773 | biology_39 | chunk 2 | prompt_tokens=22461, candidates_tokens=498, total_tokens=22959
2025-11-20T23:18:07.428834 | biology_39 | chunk 3 | prompt_tokens=4324, candidates_tokens=184, total_tokens=4508
2025-11-20T23:18:19.180165 | biology_39 | chunk 4 | prompt_tokens=14254, candidates_tokens=166, total_tokens=14420
2025-11-20T23:18:36.519623 | biology_39 | chunk 5 | prompt_tokens=33140, candidates_tokens=425, total_tokens=33565
2025-11-20T23:18:48.598277 | biology_39 | chunk 6 | prompt_tokens=17059, candidates_tokens=175, total_tokens=17234
2025-11-20T23:18:53.806020 | biology_39 | chunk 7 | prompt_tokens=3400, candidates_tokens=117, total_tokens=3517
2025-11-20T23:19:06.990612 | biology_281 | chunk 0 | prompt_tokens=8469, candidates_tokens=204, total_tokens=8673
2025-11-20T23:19:25.166721 | biology_281 | chunk 1 | prompt_tokens=10525, candidates_tokens=244, total_tokens=10769
2025-11-20T23:19:32.512654 | biology_281 | chunk 2 | prompt_tokens=7179, candidates_tokens=176, total_tokens=7355
2025-11-20T23:19:43.105286 | biology_281 | chunk 3 | prompt_tokens=12248, candidates_tokens=244, total_tokens=12492
2025-11-20T23:19:53.221778 | biology_281 | chunk 4 | prompt_tokens=9035, candidates_tokens=224, total_tokens=9259
2025-11-20T23:19:59.714424 | biology_281 | chunk 5 | prompt_tokens=3242, candidates_tokens=188, total_tokens=3430
2025-11-20T23:20:34.350331 | biology_281 | chunk 6 | prompt_tokens=17267, candidates_tokens=239, total_tokens=17506
2025-11-20T23:20:45.597500 | biology_281 | chunk 7 | prompt_tokens=16185, candidates_tokens=247, total_tokens=16432
2025-11-20T23:20:57.758993 | biology_281 | chunk 8 | prompt_tokens=18191, candidates_tokens=242, total_tokens=18433
2025-11-20T23:21:11.754106 | biology_281 | chunk 9 | prompt_tokens=11424, candidates_tokens=186, total_tokens=11610
2025-11-20T23:21:27.992957 | biology_281 | chunk 10 | prompt_tokens=27222, candidates_tokens=223, total_tokens=27445
2025-11-20T23:21:37.665654 | biology_281 | chunk 11 | prompt_tokens=11582, candidates_tokens=182, total_tokens=11764
2025-11-20T23:21:54.919949 | biology_281 | chunk 12 | prompt_tokens=21587, candidates_tokens=178, total_tokens=21765
2025-11-20T23:22:25.284648 | biology_264 | chunk 0 | prompt_tokens=33656, candidates_tokens=166, total_tokens=33822
2025-11-20T23:22:33.273894 | biology_264 | chunk 1 | prompt_tokens=3117, candidates_tokens=117, total_tokens=3234
2025-11-20T23:22:40.426616 | biology_264 | chunk 2 | prompt_tokens=4224, candidates_tokens=87, total_tokens=4311
2025-11-20T23:22:59.687023 | biology_264 | chunk 3 | prompt_tokens=8852, candidates_tokens=139, total_tokens=8991
2025-11-20T23:23:14.337267 | biology_264 | chunk 4 | prompt_tokens=12814, candidates_tokens=183, total_tokens=12997
2025-11-20T23:23:22.158589 | biology_264 | chunk 5 | prompt_tokens=7412, candidates_tokens=102, total_tokens=7514
2025-11-20T23:23:34.346924 | biology_264 | chunk 6 | prompt_tokens=10292, candidates_tokens=116, total_tokens=10408
2025-11-20T23:23:44.784489 | biology_264 | chunk 7 | prompt_tokens=7154, candidates_tokens=198, total_tokens=7352
2025-11-20T23:23:57.395904 | biology_264 | chunk 8 | prompt_tokens=14512, candidates_tokens=164, total_tokens=14676
2025-11-20T23:24:06.430198 | biology_264 | chunk 9 | prompt_tokens=6280, candidates_tokens=142, total_tokens=6422
2025-11-20T23:24:16.248295 | biology_264 | chunk 10 | prompt_tokens=7928, candidates_tokens=166, total_tokens=8094
2025-11-20T23:24:31.079003 | biology_264 | chunk 11 | prompt_tokens=13588, candidates_tokens=212, total_tokens=13800
2025-11-20T23:24:51.250722 | biology_264 | chunk 12 | prompt_tokens=20763, candidates_tokens=205, total_tokens=20968
2025-11-20T23:25:10.762712 | biology_242 | chunk 0 | prompt_tokens=22053, candidates_tokens=237, total_tokens=22290
2025-11-20T23:25:30.364468 | biology_242 | chunk 1 | prompt_tokens=16185, candidates_tokens=164, total_tokens=16349
2025-11-20T23:25:36.841691 | biology_242 | chunk 2 | prompt_tokens=3192, candidates_tokens=95, total_tokens=3287
2025-11-20T23:25:51.224065 | biology_242 | chunk 3 | prompt_tokens=10242, candidates_tokens=183, total_tokens=10425
2025-11-20T23:26:05.953853 | biology_242 | chunk 4 | prompt_tokens=6821, candidates_tokens=183, total_tokens=7004
2025-11-20T23:26:24.533992 | biology_242 | chunk 5 | prompt_tokens=8802, candidates_tokens=191, total_tokens=8993
2025-11-20T23:26:39.220962 | biology_242 | chunk 6 | prompt_tokens=5173, candidates_tokens=161, total_tokens=5334
2025-11-20T23:26:50.732882 | biology_242 | chunk 7 | prompt_tokens=6255, candidates_tokens=248, total_tokens=6503
2025-11-20T23:26:59.771304 | biology_242 | chunk 8 | prompt_tokens=2884, candidates_tokens=124, total_tokens=3008
2025-11-20T23:27:10.304098 | biology_242 | chunk 9 | prompt_tokens=3733, candidates_tokens=119, total_tokens=3852
2025-11-20T23:27:28.320494 | biology_242 | chunk 10 | prompt_tokens=12198, candidates_tokens=193, total_tokens=12391
2025-11-20T23:27:56.288176 | biology_242 | chunk 11 | prompt_tokens=15952, candidates_tokens=238, total_tokens=16190
2025-11-20T23:28:21.601698 | biology_242 | chunk 12 | prompt_tokens=7129, candidates_tokens=161, total_tokens=7290
2025-11-20T23:28:30.921959 | biology_242 | chunk 13 | prompt_tokens=6305, candidates_tokens=147, total_tokens=6452
2025-11-20T23:28:43.362847 | biology_242 | chunk 14 | prompt_tokens=12714, candidates_tokens=183, total_tokens=12897
2025-11-20T23:28:51.817678 | biology_242 | chunk 15 | prompt_tokens=7129, candidates_tokens=131, total_tokens=7260
2025-11-20T23:29:18.220064 | biology_242 | chunk 16 | prompt_tokens=15361, candidates_tokens=292, total_tokens=15653
2025-11-20T23:29:27.419955 | biology_163 | chunk 0 | prompt_tokens=5689, candidates_tokens=221, total_tokens=5910
2025-11-20T23:29:40.974599 | biology_163 | chunk 1 | prompt_tokens=15028, candidates_tokens=248, total_tokens=15276
2025-11-20T23:29:56.980283 | biology_163 | chunk 2 | prompt_tokens=17084, candidates_tokens=285, total_tokens=17369
2025-11-20T23:30:05.273020 | biology_163 | chunk 3 | prompt_tokens=6538, candidates_tokens=237, total_tokens=6775
2025-11-20T23:30:13.638947 | biology_163 | chunk 4 | prompt_tokens=5689, candidates_tokens=222, total_tokens=5911
2025-11-20T23:30:23.333600 | biology_163 | chunk 5 | prompt_tokens=6022, candidates_tokens=191, total_tokens=6213
2025-11-20T23:30:34.332714 | biology_163 | chunk 6 | prompt_tokens=5506, candidates_tokens=266, total_tokens=5772
2025-11-20T23:30:45.485930 | biology_163 | chunk 7 | prompt_tokens=15361, candidates_tokens=231, total_tokens=15592
2025-11-20T23:30:56.938444 | biology_163 | chunk 8 | prompt_tokens=19248, candidates_tokens=204, total_tokens=19452
2025-11-20T23:31:05.060162 | biology_163 | chunk 9 | prompt_tokens=4324, candidates_tokens=182, total_tokens=4506
2025-11-20T23:31:13.253119 | biology_163 | chunk 10 | prompt_tokens=6896, candidates_tokens=174, total_tokens=7070
2025-11-20T23:31:23.791175 | biology_163 | chunk 11 | prompt_tokens=9959, candidates_tokens=189, total_tokens=10148
2025-11-20T23:31:33.518824 | biology_163 | chunk 12 | prompt_tokens=12789, candidates_tokens=220, total_tokens=13009
2025-11-20T23:31:42.337569 | biology_434 | chunk 0 | prompt_tokens=5664, candidates_tokens=206, total_tokens=5870
2025-11-20T23:31:57.288803 | biology_434 | chunk 1 | prompt_tokens=17059, candidates_tokens=237, total_tokens=17296
2025-11-20T23:32:08.827767 | biology_434 | chunk 2 | prompt_tokens=11915, candidates_tokens=245, total_tokens=12160
2025-11-20T23:32:27.256114 | biology_434 | chunk 3 | prompt_tokens=17933, candidates_tokens=410, total_tokens=18343
2025-11-20T23:32:32.847725 | biology_434 | chunk 4 | prompt_tokens=1519, candidates_tokens=122, total_tokens=1641
2025-11-20T23:32:51.480946 | biology_434 | chunk 5 | prompt_tokens=22053, candidates_tokens=310, total_tokens=22363
2025-11-20T23:33:03.253714 | biology_434 | chunk 6 | prompt_tokens=6563, candidates_tokens=225, total_tokens=6788
2025-11-20T23:33:16.555524 | biology_434 | chunk 7 | prompt_tokens=7953, candidates_tokens=205, total_tokens=8158
2025-11-20T23:33:27.287635 | biology_434 | chunk 8 | prompt_tokens=6255, candidates_tokens=167, total_tokens=6422
2025-11-20T23:33:39.512191 | biology_434 | chunk 9 | prompt_tokens=7387, candidates_tokens=243, total_tokens=7630
2025-11-20T23:34:02.913051 | biology_434 | chunk 10 | prompt_tokens=23260, candidates_tokens=303, total_tokens=23563
2025-11-20T23:34:17.750266 | biology_434 | chunk 11 | prompt_tokens=10783, candidates_tokens=242, total_tokens=11025
2025-11-20T23:34:40.673448 | biology_418 | chunk 0 | prompt_tokens=17525, candidates_tokens=160, total_tokens=17685
2025-11-20T23:35:06.553088 | biology_418 | chunk 1 | prompt_tokens=20455, candidates_tokens=165, total_tokens=20620
2025-11-20T23:35:21.989766 | biology_418 | chunk 2 | prompt_tokens=9110, candidates_tokens=97, total_tokens=9207
2025-11-20T23:35:33.382135 | biology_418 | chunk 3 | prompt_tokens=10733, candidates_tokens=122, total_tokens=10855
2025-11-20T23:35:40.596711 | biology_418 | chunk 4 | prompt_tokens=5073, candidates_tokens=194, total_tokens=5267
2025-11-20T23:35:49.425998 | biology_418 | chunk 5 | prompt_tokens=6538, candidates_tokens=146, total_tokens=6684
2025-11-20T23:36:07.774275 | biology_418 | chunk 6 | prompt_tokens=20688, candidates_tokens=125, total_tokens=20813
2025-11-20T23:36:20.057914 | biology_418 | chunk 7 | prompt_tokens=10242, candidates_tokens=132, total_tokens=10374
2025-11-20T23:36:33.175575 | biology_418 | chunk 8 | prompt_tokens=6305, candidates_tokens=139, total_tokens=6444
2025-11-20T23:36:43.697676 | biology_418 | chunk 9 | prompt_tokens=3966, candidates_tokens=149, total_tokens=4115
2025-11-20T23:36:49.382723 | biology_418 | chunk 10 | prompt_tokens=4016, candidates_tokens=104, total_tokens=4120
2025-11-20T23:37:03.379790 | biology_171 | chunk 0 | prompt_tokens=15544, candidates_tokens=181, total_tokens=15725
2025-11-20T23:37:12.180276 | biology_171 | chunk 1 | prompt_tokens=9060, candidates_tokens=201, total_tokens=9261
2025-11-20T23:37:35.111648 | biology_171 | chunk 2 | prompt_tokens=14254, candidates_tokens=323, total_tokens=14577
2025-11-20T23:37:44.732426 | biology_171 | chunk 3 | prompt_tokens=12739, candidates_tokens=264, total_tokens=13003
2025-11-20T23:38:15.394640 | biology_171 | chunk 4 | prompt_tokens=18707, candidates_tokens=248, total_tokens=18955
2025-11-20T23:38:51.692790 | biology_171 | chunk 5 | prompt_tokens=41630, candidates_tokens=204, total_tokens=41834
2025-11-20T23:39:05.480856 | biology_171 | chunk 6 | prompt_tokens=14204, candidates_tokens=218, total_tokens=14422
2025-11-20T23:39:13.842707 | biology_171 | chunk 7 | prompt_tokens=4840, candidates_tokens=271, total_tokens=5111
2025-11-20T23:39:23.998991 | biology_171 | chunk 8 | prompt_tokens=7104, candidates_tokens=194, total_tokens=7298
2025-11-20T23:39:34.375493 | biology_171 | chunk 9 | prompt_tokens=7437, candidates_tokens=225, total_tokens=7662
2025-11-20T23:39:45.338407 | biology_171 | chunk 10 | prompt_tokens=9726, candidates_tokens=195, total_tokens=9921
2025-11-20T23:40:06.386270 | biology_171 | chunk 11 | prompt_tokens=15028, candidates_tokens=346, total_tokens=15374
2025-11-20T23:40:21.229316 | biology_91 | chunk 0 | prompt_tokens=9884, candidates_tokens=221, total_tokens=10105
2025-11-20T23:40:29.695424 | biology_91 | chunk 1 | prompt_tokens=5431, candidates_tokens=192, total_tokens=5623
2025-11-20T23:40:39.322517 | biology_91 | chunk 2 | prompt_tokens=8827, candidates_tokens=188, total_tokens=9015
2025-11-20T23:40:49.748735 | biology_91 | chunk 3 | prompt_tokens=15952, candidates_tokens=208, total_tokens=16160
2025-11-20T23:41:03.112924 | biology_91 | chunk 4 | prompt_tokens=12789, candidates_tokens=206, total_tokens=12995
2025-11-20T23:41:17.222449 | biology_91 | chunk 5 | prompt_tokens=20405, candidates_tokens=274, total_tokens=20679
2025-11-20T23:41:27.456756 | biology_91 | chunk 6 | prompt_tokens=19581, candidates_tokens=198, total_tokens=19779
2025-11-20T23:41:35.114804 | biology_91 | chunk 7 | prompt_tokens=2934, candidates_tokens=294, total_tokens=3228
2025-11-20T23:41:42.992301 | biology_91 | chunk 8 | prompt_tokens=7745, candidates_tokens=155, total_tokens=7900
2025-11-20T23:41:50.787753 | biology_91 | chunk 9 | prompt_tokens=3375, candidates_tokens=268, total_tokens=3643
2025-11-20T23:42:00.800668 | biology_91 | chunk 10 | prompt_tokens=6230, candidates_tokens=212, total_tokens=6442
2025-11-20T23:42:12.353960 | biology_91 | chunk 11 | prompt_tokens=11041, candidates_tokens=284, total_tokens=11325
2025-11-20T23:42:23.355848 | biology_91 | chunk 12 | prompt_tokens=12198, candidates_tokens=215, total_tokens=12413
2025-11-20T23:42:33.364079 | biology_91 | chunk 13 | prompt_tokens=8902, candidates_tokens=143, total_tokens=9045
2025-11-20T23:42:43.718382 | biology_91 | chunk 14 | prompt_tokens=13122, candidates_tokens=151, total_tokens=13273
2025-11-20T23:42:52.840502 | biology_91 | chunk 15 | prompt_tokens=7720, candidates_tokens=209, total_tokens=7929
2025-11-20T23:43:06.250175 | biology_374 | chunk 0 | prompt_tokens=12739, candidates_tokens=260, total_tokens=12999
2025-11-20T23:43:13.353086 | biology_374 | chunk 1 | prompt_tokens=6613, candidates_tokens=171, total_tokens=6784
2025-11-20T23:43:23.709715 | biology_374 | chunk 2 | prompt_tokens=13921, candidates_tokens=265, total_tokens=14186
2025-11-20T23:43:33.358690 | biology_374 | chunk 3 | prompt_tokens=11374, candidates_tokens=216, total_tokens=11590
2025-11-20T23:43:44.028223 | biology_374 | chunk 4 | prompt_tokens=10292, candidates_tokens=201, total_tokens=10493
2025-11-20T23:43:53.937025 | biology_374 | chunk 5 | prompt_tokens=13022, candidates_tokens=256, total_tokens=13278
2025-11-20T23:44:05.501872 | biology_374 | chunk 6 | prompt_tokens=12739, candidates_tokens=276, total_tokens=13015
2025-11-20T23:44:12.996907 | biology_374 | chunk 7 | prompt_tokens=4349, candidates_tokens=174, total_tokens=4523
2025-11-20T23:44:21.339183 | biology_374 | chunk 8 | prompt_tokens=10034, candidates_tokens=234, total_tokens=10268
2025-11-20T23:44:28.760473 | biology_374 | chunk 9 | prompt_tokens=4632, candidates_tokens=245, total_tokens=4877
2025-11-20T23:44:36.633068 | biology_374 | chunk 10 | prompt_tokens=5073, candidates_tokens=184, total_tokens=5257
2025-11-20T23:44:48.451782 | biology_374 | chunk 11 | prompt_tokens=23801, candidates_tokens=188, total_tokens=23989
2025-11-20T23:44:57.962904 | biology_87 | chunk 0 | prompt_tokens=12556, candidates_tokens=137, total_tokens=12693
2025-11-20T23:45:05.164659 | biology_87 | chunk 1 | prompt_tokens=7978, candidates_tokens=175, total_tokens=8153
2025-11-20T23:45:14.566673 | biology_87 | chunk 2 | prompt_tokens=13896, candidates_tokens=211, total_tokens=14107
2025-11-20T23:45:23.636631 | biology_87 | chunk 3 | prompt_tokens=10242, candidates_tokens=309, total_tokens=10551
2025-11-20T23:45:33.090539 | biology_87 | chunk 4 | prompt_tokens=10858, candidates_tokens=162, total_tokens=11020
2025-11-20T23:45:43.825373 | biology_87 | chunk 5 | prompt_tokens=13072, candidates_tokens=255, total_tokens=13327
2025-11-20T23:46:01.129329 | biology_87 | chunk 6 | prompt_tokens=28562, candidates_tokens=260, total_tokens=28822
2025-11-20T23:46:10.792643 | biology_87 | chunk 7 | prompt_tokens=17317, candidates_tokens=275, total_tokens=17592
2025-11-20T23:46:22.919831 | biology_87 | chunk 8 | prompt_tokens=24467, candidates_tokens=320, total_tokens=24787
2025-11-20T23:46:41.994135 | biology_87 | chunk 9 | prompt_tokens=19606, candidates_tokens=473, total_tokens=20079
2025-11-20T23:46:51.063954 | biology_87 | chunk 10 | prompt_tokens=17600, candidates_tokens=225, total_tokens=17825
2025-11-20T23:47:02.855253 | biology_34 | chunk 0 | prompt_tokens=15569, candidates_tokens=184, total_tokens=15753
2025-11-20T23:47:15.647268 | biology_34 | chunk 1 | prompt_tokens=11349, candidates_tokens=172, total_tokens=11521
2025-11-20T23:47:22.800165 | biology_34 | chunk 2 | prompt_tokens=4299, candidates_tokens=202, total_tokens=4501
2025-11-20T23:47:32.150372 | biology_34 | chunk 3 | prompt_tokens=7154, candidates_tokens=230, total_tokens=7384
2025-11-20T23:47:39.018476 | biology_34 | chunk 4 | prompt_tokens=3192, candidates_tokens=204, total_tokens=3396
2025-11-20T23:47:48.738837 | biology_34 | chunk 5 | prompt_tokens=10450, candidates_tokens=266, total_tokens=10716
2025-11-20T23:47:55.559376 | biology_34 | chunk 6 | prompt_tokens=3783, candidates_tokens=140, total_tokens=3923
2025-11-20T23:48:09.081056 | biology_34 | chunk 7 | prompt_tokens=16726, candidates_tokens=241, total_tokens=16967
2025-11-20T23:48:15.946229 | biology_34 | chunk 8 | prompt_tokens=2243, candidates_tokens=171, total_tokens=2414
2025-11-20T23:48:28.823221 | biology_34 | chunk 9 | prompt_tokens=15877, candidates_tokens=214, total_tokens=16091
2025-11-20T23:48:37.739825 | biology_34 | chunk 10 | prompt_tokens=8236, candidates_tokens=121, total_tokens=8357
2025-11-20T23:48:44.659473 | biology_34 | chunk 11 | prompt_tokens=9934, candidates_tokens=216, total_tokens=10150
2025-11-20T23:48:51.446245 | biology_34 | chunk 12 | prompt_tokens=5431, candidates_tokens=209, total_tokens=5640
2025-11-20T23:49:08.644081 | biology_397 | chunk 0 | prompt_tokens=22927, candidates_tokens=202, total_tokens=23129
2025-11-20T23:49:15.552837 | biology_397 | chunk 1 | prompt_tokens=5739, candidates_tokens=173, total_tokens=5912
2025-11-20T23:49:22.813314 | biology_397 | chunk 2 | prompt_tokens=4557, candidates_tokens=302, total_tokens=4859
2025-11-20T23:49:29.374047 | biology_397 | chunk 3 | prompt_tokens=7179, candidates_tokens=132, total_tokens=7311
2025-11-20T23:49:37.573141 | biology_397 | chunk 4 | prompt_tokens=10267, candidates_tokens=200, total_tokens=10467
2025-11-20T23:49:54.928258 | biology_397 | chunk 5 | prompt_tokens=21895, candidates_tokens=279, total_tokens=22174
2025-11-20T23:50:05.572189 | biology_397 | chunk 6 | prompt_tokens=11632, candidates_tokens=286, total_tokens=11918
2025-11-20T23:50:11.016091 | biology_397 | chunk 7 | prompt_tokens=2601, candidates_tokens=186, total_tokens=2787
2025-11-20T23:50:24.496812 | biology_397 | chunk 8 | prompt_tokens=5456, candidates_tokens=209, total_tokens=5665
2025-11-20T23:50:34.346991 | biology_397 | chunk 9 | prompt_tokens=7129, candidates_tokens=203, total_tokens=7332
2025-11-20T23:50:52.058716 | biology_397 | chunk 10 | prompt_tokens=23002, candidates_tokens=184, total_tokens=23186
2025-11-20T23:50:58.845535 | biology_139 | chunk 0 | prompt_tokens=7462, candidates_tokens=128, total_tokens=7590
2025-11-20T23:51:07.421433 | biology_139 | chunk 1 | prompt_tokens=7720, candidates_tokens=218, total_tokens=7938
2025-11-20T23:51:15.051888 | biology_139 | chunk 2 | prompt_tokens=8519, candidates_tokens=185, total_tokens=8704
2025-11-20T23:51:26.084257 | biology_139 | chunk 3 | prompt_tokens=5148, candidates_tokens=179, total_tokens=5327
2025-11-20T23:51:33.436824 | biology_139 | chunk 4 | prompt_tokens=8827, candidates_tokens=209, total_tokens=9036
