2025-11-21T02:24:07.430054 | chemistry_372 | chunk 0 | prompt_tokens=6488, candidates_tokens=122, total_tokens=6610
2025-11-21T02:24:15.906925 | chemistry_372 | chunk 1 | prompt_tokens=8802, candidates_tokens=225, total_tokens=9027
2025-11-21T02:24:26.922199 | chemistry_372 | chunk 2 | prompt_tokens=20197, candidates_tokens=240, total_tokens=20437
2025-11-21T02:24:39.236681 | chemistry_372 | chunk 3 | prompt_tokens=20147, candidates_tokens=368, total_tokens=20515
2025-11-21T02:24:50.035229 | chemistry_372 | chunk 4 | prompt_tokens=17858, candidates_tokens=215, total_tokens=18073
2025-11-21T02:24:59.158401 | chemistry_372 | chunk 5 | prompt_tokens=20480, candidates_tokens=295, total_tokens=20775
2025-11-21T02:25:05.136806 | chemistry_372 | chunk 6 | prompt_tokens=4607, candidates_tokens=147, total_tokens=4754
2025-11-21T02:25:16.164928 | chemistry_372 | chunk 7 | prompt_tokens=15003, candidates_tokens=243, total_tokens=15246
2025-11-21T02:25:25.382343 | chemistry_372 | chunk 8 | prompt_tokens=13713, candidates_tokens=282, total_tokens=13995
2025-11-21T02:25:34.605646 | chemistry_372 | chunk 9 | prompt_tokens=13846, candidates_tokens=211, total_tokens=14057
2025-11-21T02:25:48.317419 | chemistry_372 | chunk 10 | prompt_tokens=22644, candidates_tokens=261, total_tokens=22905
2025-11-21T02:26:00.165452 | chemistry_452 | chunk 0 | prompt_tokens=19531, candidates_tokens=289, total_tokens=19820
2025-11-21T02:26:08.867056 | chemistry_452 | chunk 1 | prompt_tokens=12714, candidates_tokens=190, total_tokens=12904
2025-11-21T02:26:14.659246 | chemistry_452 | chunk 2 | prompt_tokens=5123, candidates_tokens=181, total_tokens=5304
2025-11-21T02:26:23.217362 | chemistry_452 | chunk 3 | prompt_tokens=11915, candidates_tokens=202, total_tokens=12117
2025-11-21T02:26:33.950977 | chemistry_452 | chunk 4 | prompt_tokens=16801, candidates_tokens=263, total_tokens=17064
2025-11-21T02:26:47.433196 | chemistry_452 | chunk 5 | prompt_tokens=24317, candidates_tokens=241, total_tokens=24558
2025-11-21T02:26:56.791937 | chemistry_452 | chunk 6 | prompt_tokens=13280, candidates_tokens=265, total_tokens=13545
2025-11-21T02:27:07.153194 | chemistry_452 | chunk 7 | prompt_tokens=11116, candidates_tokens=358, total_tokens=11474
2025-11-21T02:27:17.388316 | chemistry_452 | chunk 8 | prompt_tokens=9368, candidates_tokens=244, total_tokens=9612
2025-11-21T02:27:23.978748 | chemistry_452 | chunk 9 | prompt_tokens=1727, candidates_tokens=147, total_tokens=1874
2025-11-21T02:27:32.401469 | chemistry_452 | chunk 10 | prompt_tokens=5664, candidates_tokens=139, total_tokens=5803
2025-11-21T02:27:44.200854 | chemistry_452 | chunk 11 | prompt_tokens=19348, candidates_tokens=216, total_tokens=19564
2025-11-21T02:27:52.315089 | chemistry_452 | chunk 12 | prompt_tokens=8286, candidates_tokens=204, total_tokens=8490
2025-11-21T02:28:02.746699 | chemistry_388 | chunk 0 | prompt_tokens=11299, candidates_tokens=265, total_tokens=11564
2025-11-21T02:28:10.200803 | chemistry_388 | chunk 1 | prompt_tokens=7978, candidates_tokens=179, total_tokens=8157
2025-11-21T02:28:19.934804 | chemistry_388 | chunk 2 | prompt_tokens=7079, candidates_tokens=191, total_tokens=7270
2025-11-21T02:28:29.943687 | chemistry_388 | chunk 3 | prompt_tokens=13688, candidates_tokens=233, total_tokens=13921
2025-11-21T02:28:42.511301 | chemistry_388 | chunk 4 | prompt_tokens=19606, candidates_tokens=232, total_tokens=19838
2025-11-21T02:28:49.343847 | chemistry_388 | chunk 5 | prompt_tokens=3217, candidates_tokens=158, total_tokens=3375
2025-11-21T02:28:56.244008 | chemistry_388 | chunk 6 | prompt_tokens=6072, candidates_tokens=129, total_tokens=6201
2025-11-21T02:29:03.264964 | chemistry_388 | chunk 7 | prompt_tokens=8053, candidates_tokens=168, total_tokens=8221
2025-11-21T02:29:11.351442 | chemistry_388 | chunk 8 | prompt_tokens=11041, candidates_tokens=114, total_tokens=11155
2025-11-21T02:29:19.867743 | chemistry_388 | chunk 9 | prompt_tokens=22461, candidates_tokens=223, total_tokens=22684
2025-11-21T02:29:28.599973 | chemistry_388 | chunk 10 | prompt_tokens=9318, candidates_tokens=98, total_tokens=9416
2025-11-21T02:29:36.604755 | chemistry_388 | chunk 11 | prompt_tokens=9060, candidates_tokens=106, total_tokens=9166
2025-11-21T02:29:41.160986 | chemistry_388 | chunk 12 | prompt_tokens=4249, candidates_tokens=76, total_tokens=4325
2025-11-21T02:29:49.424670 | chemistry_388 | chunk 13 | prompt_tokens=8594, candidates_tokens=241, total_tokens=8835
2025-11-21T02:29:55.771207 | chemistry_443 | chunk 0 | prompt_tokens=9185, candidates_tokens=187, total_tokens=9372
2025-11-21T02:30:04.611276 | chemistry_443 | chunk 1 | prompt_tokens=10475, candidates_tokens=158, total_tokens=10633
2025-11-21T02:30:14.109184 | chemistry_443 | chunk 2 | prompt_tokens=9368, candidates_tokens=166, total_tokens=9534
2025-11-21T02:30:21.906901 | chemistry_443 | chunk 3 | prompt_tokens=8519, candidates_tokens=115, total_tokens=8634
2025-11-21T02:30:29.910475 | chemistry_443 | chunk 4 | prompt_tokens=6846, candidates_tokens=220, total_tokens=7066
2025-11-21T02:30:39.049992 | chemistry_443 | chunk 5 | prompt_tokens=9959, candidates_tokens=219, total_tokens=10178
2025-11-21T02:30:46.962733 | chemistry_443 | chunk 6 | prompt_tokens=10833, candidates_tokens=240, total_tokens=11073
2025-11-21T02:30:52.911062 | chemistry_443 | chunk 7 | prompt_tokens=3192, candidates_tokens=165, total_tokens=3357
2025-11-21T02:30:59.857602 | chemistry_443 | chunk 8 | prompt_tokens=4632, candidates_tokens=167, total_tokens=4799
2025-11-21T02:31:06.989200 | chemistry_443 | chunk 9 | prompt_tokens=5148, candidates_tokens=135, total_tokens=5283
2025-11-21T02:31:14.760089 | chemistry_443 | chunk 10 | prompt_tokens=13638, candidates_tokens=156, total_tokens=13794
2025-11-21T02:31:22.249797 | chemistry_443 | chunk 11 | prompt_tokens=4632, candidates_tokens=138, total_tokens=4770
2025-11-21T02:31:30.676609 | chemistry_443 | chunk 12 | prompt_tokens=9085, candidates_tokens=165, total_tokens=9250
2025-11-21T02:31:44.484358 | chemistry_443 | chunk 13 | prompt_tokens=33215, candidates_tokens=247, total_tokens=33462
2025-11-21T02:32:04.636699 | chemistry_443 | chunk 14 | prompt_tokens=36844, candidates_tokens=205, total_tokens=37049
2025-11-21T02:32:13.986304 | chemistry_213 | chunk 0 | prompt_tokens=10758, candidates_tokens=226, total_tokens=10984
2025-11-21T02:32:29.492201 | chemistry_213 | chunk 1 | prompt_tokens=21279, candidates_tokens=200, total_tokens=21479
2025-11-21T02:32:37.861095 | chemistry_213 | chunk 2 | prompt_tokens=5739, candidates_tokens=151, total_tokens=5890
2025-11-21T02:32:48.563302 | chemistry_213 | chunk 3 | prompt_tokens=11141, candidates_tokens=172, total_tokens=11313
2025-11-21T02:32:56.837079 | chemistry_213 | chunk 4 | prompt_tokens=6022, candidates_tokens=216, total_tokens=6238
2025-11-21T02:33:05.142935 | chemistry_213 | chunk 5 | prompt_tokens=4249, candidates_tokens=180, total_tokens=4429
2025-11-21T02:33:15.422696 | chemistry_213 | chunk 6 | prompt_tokens=11449, candidates_tokens=231, total_tokens=11680
2025-11-21T02:33:27.948625 | chemistry_213 | chunk 7 | prompt_tokens=15952, candidates_tokens=211, total_tokens=16163
2025-11-21T02:33:37.403939 | chemistry_213 | chunk 8 | prompt_tokens=7462, candidates_tokens=193, total_tokens=7655
2025-11-21T02:33:44.894157 | chemistry_213 | chunk 9 | prompt_tokens=5664, candidates_tokens=210, total_tokens=5874
2025-11-21T02:33:52.513680 | chemistry_213 | chunk 10 | prompt_tokens=3783, candidates_tokens=218, total_tokens=4001
2025-11-21T02:34:01.505942 | chemistry_213 | chunk 11 | prompt_tokens=8261, candidates_tokens=202, total_tokens=8463
2025-11-21T02:34:07.798608 | chemistry_213 | chunk 12 | prompt_tokens=4607, candidates_tokens=140, total_tokens=4747
2025-11-21T02:34:17.814214 | chemistry_213 | chunk 13 | prompt_tokens=7928, candidates_tokens=173, total_tokens=8101
2025-11-21T02:34:30.736574 | chemistry_219 | chunk 0 | prompt_tokens=11424, candidates_tokens=194, total_tokens=11618
2025-11-21T02:34:41.509793 | chemistry_219 | chunk 1 | prompt_tokens=11707, candidates_tokens=215, total_tokens=11922
2025-11-21T02:34:58.989081 | chemistry_219 | chunk 2 | prompt_tokens=22644, candidates_tokens=272, total_tokens=22916
2025-11-21T02:35:09.909985 | chemistry_219 | chunk 3 | prompt_tokens=6588, candidates_tokens=239, total_tokens=6827
2025-11-21T02:35:23.547610 | chemistry_219 | chunk 4 | prompt_tokens=1469, candidates_tokens=126, total_tokens=1595
2025-11-21T02:35:32.099181 | chemistry_219 | chunk 5 | prompt_tokens=10600, candidates_tokens=217, total_tokens=10817
2025-11-21T02:35:41.569189 | chemistry_219 | chunk 6 | prompt_tokens=8236, candidates_tokens=215, total_tokens=8451
2025-11-21T02:35:55.650204 | chemistry_219 | chunk 7 | prompt_tokens=15669, candidates_tokens=185, total_tokens=15854
2025-11-21T02:36:15.595079 | chemistry_219 | chunk 8 | prompt_tokens=24442, candidates_tokens=220, total_tokens=24662
