2025-11-20T23:57:40.396935 | physics_579 | chunk 0 | prompt_tokens=16701, candidates_tokens=308, total_tokens=17009
2025-11-20T23:57:58.321268 | physics_579 | chunk 1 | prompt_tokens=21770, candidates_tokens=252, total_tokens=22022
2025-11-20T23:58:07.382704 | physics_579 | chunk 2 | prompt_tokens=12764, candidates_tokens=195, total_tokens=12959
2025-11-20T23:58:15.868850 | physics_579 | chunk 3 | prompt_tokens=5997, candidates_tokens=169, total_tokens=6166
2025-11-20T23:58:27.733049 | physics_579 | chunk 4 | prompt_tokens=22902, candidates_tokens=188, total_tokens=23090
2025-11-20T23:58:40.299008 | physics_579 | chunk 5 | prompt_tokens=15569, candidates_tokens=303, total_tokens=15872
2025-11-20T23:58:52.702965 | physics_579 | chunk 6 | prompt_tokens=20122, candidates_tokens=263, total_tokens=20385
2025-11-20T23:59:01.004875 | physics_579 | chunk 7 | prompt_tokens=8802, candidates_tokens=169, total_tokens=8971
2025-11-20T23:59:11.598851 | physics_427 | chunk 0 | prompt_tokens=10192, candidates_tokens=295, total_tokens=10487
2025-11-20T23:59:24.554330 | physics_427 | chunk 1 | prompt_tokens=9726, candidates_tokens=293, total_tokens=10019
2025-11-20T23:59:34.731215 | physics_427 | chunk 2 | prompt_tokens=15053, candidates_tokens=350, total_tokens=15403
2025-11-20T23:59:50.719842 | physics_427 | chunk 3 | prompt_tokens=17267, candidates_tokens=340, total_tokens=17607
2025-11-21T00:00:03.675353 | physics_427 | chunk 4 | prompt_tokens=17600, candidates_tokens=276, total_tokens=17876
2025-11-21T00:00:11.546063 | physics_427 | chunk 5 | prompt_tokens=8877, candidates_tokens=254, total_tokens=9131
2025-11-21T00:00:22.786975 | physics_427 | chunk 6 | prompt_tokens=8877, candidates_tokens=331, total_tokens=9208
2025-11-21T00:01:14.059616 | physics_427 | chunk 7 | prompt_tokens=7462, candidates_tokens=223, total_tokens=7685
2025-11-21T00:01:25.470173 | physics_427 | chunk 8 | prompt_tokens=11141, candidates_tokens=347, total_tokens=11488
2025-11-21T00:01:42.101603 | physics_427 | chunk 9 | prompt_tokens=19298, candidates_tokens=421, total_tokens=19719
2025-11-21T00:01:48.333846 | physics_594 | chunk 0 | prompt_tokens=3400, candidates_tokens=137, total_tokens=3537
2025-11-21T00:01:56.351359 | physics_594 | chunk 1 | prompt_tokens=3142, candidates_tokens=190, total_tokens=3332
2025-11-21T00:02:04.354370 | physics_594 | chunk 2 | prompt_tokens=11166, candidates_tokens=124, total_tokens=11290
