2025-11-20T17:56:03.221967 | political_interviews_49 | chunk 0 | prompt_tokens=20921, candidates_tokens=304, total_tokens=21225
2025-11-20T17:56:13.695340 | political_interviews_49 | chunk 1 | prompt_tokens=11424, candidates_tokens=263, total_tokens=11687
2025-11-20T17:56:25.930684 | political_interviews_49 | chunk 2 | prompt_tokens=10242, candidates_tokens=217, total_tokens=10459
2025-11-20T17:56:36.072052 | political_interviews_49 | chunk 3 | prompt_tokens=7695, candidates_tokens=320, total_tokens=8015
2025-11-20T17:56:42.163502 | political_interviews_49 | chunk 4 | prompt_tokens=7745, candidates_tokens=224, total_tokens=7969
2025-11-20T17:56:48.206302 | political_interviews_49 | chunk 5 | prompt_tokens=6205, candidates_tokens=199, total_tokens=6404
2025-11-20T17:56:56.785230 | political_interviews_49 | chunk 6 | prompt_tokens=5381, candidates_tokens=164, total_tokens=5545
2025-11-20T17:57:05.050327 | political_interviews_49 | chunk 7 | prompt_tokens=7720, candidates_tokens=214, total_tokens=7934
2025-11-20T17:57:11.771749 | political_interviews_49 | chunk 8 | prompt_tokens=3658, candidates_tokens=162, total_tokens=3820
2025-11-20T17:57:20.564105 | political_interviews_49 | chunk 9 | prompt_tokens=7953, candidates_tokens=224, total_tokens=8177
2025-11-20T17:57:31.316987 | political_interviews_49 | chunk 10 | prompt_tokens=11041, candidates_tokens=213, total_tokens=11254
2025-11-20T17:57:37.412011 | political_interviews_49 | chunk 11 | prompt_tokens=6796, candidates_tokens=180, total_tokens=6976
2025-11-20T17:57:44.874913 | political_interviews_49 | chunk 12 | prompt_tokens=3733, candidates_tokens=230, total_tokens=3963
2025-11-20T17:57:50.672022 | political_interviews_49 | chunk 13 | prompt_tokens=5431, candidates_tokens=157, total_tokens=5588
2025-11-20T17:58:02.714563 | political_interviews_49 | chunk 14 | prompt_tokens=13072, candidates_tokens=216, total_tokens=13288
2025-11-20T17:58:09.261051 | political_interviews_49 | chunk 15 | prompt_tokens=2884, candidates_tokens=206, total_tokens=3090
2025-11-20T17:58:17.399893 | political_interviews_49 | chunk 16 | prompt_tokens=13971, candidates_tokens=293, total_tokens=14264
2025-11-20T17:58:24.546593 | political_interviews_83 | chunk 0 | prompt_tokens=12814, candidates_tokens=180, total_tokens=12994
2025-11-20T17:58:34.320146 | political_interviews_261 | chunk 0 | prompt_tokens=1677, candidates_tokens=165, total_tokens=1842
2025-11-20T17:58:46.052482 | political_interviews_261 | chunk 1 | prompt_tokens=8494, candidates_tokens=251, total_tokens=8745
2025-11-20T17:58:56.921556 | political_interviews_261 | chunk 2 | prompt_tokens=24159, candidates_tokens=298, total_tokens=24457
2025-11-20T17:59:05.939743 | political_interviews_261 | chunk 3 | prompt_tokens=9701, candidates_tokens=264, total_tokens=9965
2025-11-20T17:59:17.358208 | political_interviews_261 | chunk 4 | prompt_tokens=15619, candidates_tokens=255, total_tokens=15874
2025-11-20T17:59:28.821139 | political_interviews_261 | chunk 5 | prompt_tokens=9959, candidates_tokens=274, total_tokens=10233
2025-11-20T17:59:35.717635 | political_interviews_261 | chunk 6 | prompt_tokens=5739, candidates_tokens=222, total_tokens=5961
2025-11-20T17:59:42.784651 | political_interviews_261 | chunk 7 | prompt_tokens=10600, candidates_tokens=248, total_tokens=10848
2025-11-20T17:59:50.834423 | political_interviews_261 | chunk 8 | prompt_tokens=9085, candidates_tokens=228, total_tokens=9313
2025-11-20T17:59:56.873305 | political_interviews_261 | chunk 9 | prompt_tokens=6538, candidates_tokens=186, total_tokens=6724
2025-11-20T18:00:04.543119 | political_interviews_261 | chunk 10 | prompt_tokens=12789, candidates_tokens=220, total_tokens=13009
2025-11-20T18:00:15.550661 | political_interviews_282 | chunk 0 | prompt_tokens=10733, candidates_tokens=288, total_tokens=11021
2025-11-20T18:00:24.069814 | political_interviews_282 | chunk 1 | prompt_tokens=5381, candidates_tokens=147, total_tokens=5528
2025-11-20T18:00:34.269562 | political_interviews_282 | chunk 2 | prompt_tokens=13330, candidates_tokens=260, total_tokens=13590
2025-11-20T18:00:42.968106 | political_interviews_282 | chunk 3 | prompt_tokens=10550, candidates_tokens=161, total_tokens=10711
