2025-11-21T01:48:59.184281 | ted_talks_438 | chunk 0 | prompt_tokens=5381, candidates_tokens=178, total_tokens=5559
2025-11-21T01:49:12.012332 | ted_talks_438 | chunk 1 | prompt_tokens=19581, candidates_tokens=272, total_tokens=19853
2025-11-21T01:49:25.699567 | ted_talks_438 | chunk 2 | prompt_tokens=19065, candidates_tokens=214, total_tokens=19279
2025-11-21T01:49:32.992759 | ted_talks_438 | chunk 3 | prompt_tokens=7695, candidates_tokens=188, total_tokens=7883
2025-11-21T01:49:39.443148 | ted_talks_438 | chunk 4 | prompt_tokens=8752, candidates_tokens=167, total_tokens=8919
2025-11-21T01:49:46.378347 | ted_talks_438 | chunk 5 | prompt_tokens=8569, candidates_tokens=185, total_tokens=8754
2025-11-21T01:50:00.366227 | ted_talks_438 | chunk 6 | prompt_tokens=16235, candidates_tokens=212, total_tokens=16447
2025-11-21T01:50:09.310560 | ted_talks_438 | chunk 7 | prompt_tokens=10783, candidates_tokens=193, total_tokens=10976
2025-11-21T01:50:18.210606 | ted_talks_438 | chunk 8 | prompt_tokens=5972, candidates_tokens=194, total_tokens=6166
2025-11-21T01:50:28.490576 | ted_talks_438 | chunk 9 | prompt_tokens=7695, candidates_tokens=188, total_tokens=7883
2025-11-21T01:50:37.456924 | ted_talks_438 | chunk 10 | prompt_tokens=7362, candidates_tokens=209, total_tokens=7571
2025-11-21T01:50:44.142260 | ted_talks_438 | chunk 11 | prompt_tokens=2343, candidates_tokens=164, total_tokens=2507
2025-11-21T01:50:51.003063 | ted_talks_438 | chunk 12 | prompt_tokens=4865, candidates_tokens=171, total_tokens=5036
2025-11-21T01:51:00.981150 | ted_talks_251 | chunk 0 | prompt_tokens=9085, candidates_tokens=253, total_tokens=9338
2025-11-21T01:51:10.353657 | ted_talks_251 | chunk 1 | prompt_tokens=12506, candidates_tokens=203, total_tokens=12709
2025-11-21T01:51:27.990405 | ted_talks_251 | chunk 2 | prompt_tokens=19889, candidates_tokens=283, total_tokens=20172
2025-11-21T01:51:37.704997 | ted_talks_251 | chunk 3 | prompt_tokens=8569, candidates_tokens=253, total_tokens=8822
2025-11-21T01:51:46.075368 | ted_talks_251 | chunk 4 | prompt_tokens=6330, candidates_tokens=168, total_tokens=6498
2025-11-21T01:51:54.106017 | ted_talks_251 | chunk 5 | prompt_tokens=8311, candidates_tokens=232, total_tokens=8543
2025-11-21T01:52:01.038874 | ted_talks_251 | chunk 6 | prompt_tokens=3142, candidates_tokens=208, total_tokens=3350
2025-11-21T01:52:07.313379 | ted_talks_251 | chunk 7 | prompt_tokens=6846, candidates_tokens=180, total_tokens=7026
2025-11-21T01:52:15.209900 | ted_talks_251 | chunk 8 | prompt_tokens=8261, candidates_tokens=230, total_tokens=8491
2025-11-21T01:52:25.136021 | ted_talks_251 | chunk 9 | prompt_tokens=18116, candidates_tokens=244, total_tokens=18360
2025-11-21T01:52:34.860345 | ted_talks_251 | chunk 10 | prompt_tokens=6563, candidates_tokens=275, total_tokens=6838
2025-11-21T01:52:42.618974 | ted_talks_251 | chunk 11 | prompt_tokens=7179, candidates_tokens=191, total_tokens=7370
2025-11-21T01:52:51.781666 | ted_talks_251 | chunk 12 | prompt_tokens=7129, candidates_tokens=205, total_tokens=7334
2025-11-21T01:52:59.289499 | ted_talks_251 | chunk 13 | prompt_tokens=4865, candidates_tokens=172, total_tokens=5037
2025-11-21T01:53:06.000806 | ted_talks_251 | chunk 14 | prompt_tokens=3658, candidates_tokens=203, total_tokens=3861
2025-11-21T01:53:16.106620 | ted_talks_325 | chunk 0 | prompt_tokens=19531, candidates_tokens=295, total_tokens=19826
2025-11-21T01:53:26.314591 | ted_talks_325 | chunk 1 | prompt_tokens=12764, candidates_tokens=265, total_tokens=13029
2025-11-21T01:53:35.226742 | ted_talks_325 | chunk 2 | prompt_tokens=10500, candidates_tokens=165, total_tokens=10665
2025-11-21T01:53:42.054899 | ted_talks_325 | chunk 3 | prompt_tokens=4016, candidates_tokens=210, total_tokens=4226
2025-11-21T01:53:49.741483 | ted_talks_325 | chunk 4 | prompt_tokens=7179, candidates_tokens=199, total_tokens=7378
2025-11-21T01:53:56.755818 | ted_talks_325 | chunk 5 | prompt_tokens=8469, candidates_tokens=220, total_tokens=8689
2025-11-21T01:54:05.773756 | ted_talks_325 | chunk 6 | prompt_tokens=5381, candidates_tokens=192, total_tokens=5573
2025-11-21T01:54:14.689654 | ted_talks_325 | chunk 7 | prompt_tokens=6821, candidates_tokens=262, total_tokens=7083
2025-11-21T01:54:25.110455 | ted_talks_325 | chunk 8 | prompt_tokens=23776, candidates_tokens=275, total_tokens=24051
2025-11-21T01:54:31.859624 | ted_talks_325 | chunk 9 | prompt_tokens=1960, candidates_tokens=182, total_tokens=2142
2025-11-21T01:54:42.370769 | ted_talks_325 | chunk 10 | prompt_tokens=5997, candidates_tokens=245, total_tokens=6242
2025-11-21T01:54:49.389891 | ted_talks_325 | chunk 11 | prompt_tokens=10525, candidates_tokens=267, total_tokens=10792
2025-11-21T01:54:58.333473 | ted_talks_325 | chunk 12 | prompt_tokens=7462, candidates_tokens=215, total_tokens=7677
2025-11-21T01:55:04.086221 | ted_talks_325 | chunk 13 | prompt_tokens=2035, candidates_tokens=151, total_tokens=2186
2025-11-21T01:55:09.901194 | ted_talks_325 | chunk 14 | prompt_tokens=9676, candidates_tokens=174, total_tokens=9850
2025-11-21T01:55:18.061666 | ted_talks_325 | chunk 15 | prompt_tokens=7720, candidates_tokens=162, total_tokens=7882
2025-11-21T01:55:27.444977 | ted_talks_325 | chunk 16 | prompt_tokens=10525, candidates_tokens=201, total_tokens=10726
2025-11-21T01:55:38.814465 | ted_talks_368 | chunk 0 | prompt_tokens=11141, candidates_tokens=228, total_tokens=11369
2025-11-21T01:55:50.059424 | ted_talks_368 | chunk 1 | prompt_tokens=14770, candidates_tokens=280, total_tokens=15050
2025-11-21T01:56:02.088720 | ted_talks_368 | chunk 2 | prompt_tokens=19606, candidates_tokens=417, total_tokens=20023
2025-11-21T01:56:13.559591 | ted_talks_368 | chunk 3 | prompt_tokens=22744, candidates_tokens=259, total_tokens=23003
2025-11-21T01:56:26.148837 | ted_talks_368 | chunk 4 | prompt_tokens=20197, candidates_tokens=247, total_tokens=20444
2025-11-21T01:56:33.653322 | ted_talks_368 | chunk 5 | prompt_tokens=6513, candidates_tokens=212, total_tokens=6725
