2025-11-21T01:25:46.291398 | ai_concepts_291 | chunk 0 | prompt_tokens=1132, candidates_tokens=64, total_tokens=1196
2025-11-21T01:25:52.047794 | ai_concepts_291 | chunk 1 | prompt_tokens=632, candidates_tokens=92, total_tokens=724
2025-11-21T01:26:00.730333 | ai_concepts_291 | chunk 2 | prompt_tokens=1532, candidates_tokens=59, total_tokens=1591
2025-11-21T01:26:07.990915 | ai_concepts_291 | chunk 3 | prompt_tokens=957, candidates_tokens=68, total_tokens=1025
2025-11-21T01:26:15.809766 | ai_concepts_291 | chunk 4 | prompt_tokens=1132, candidates_tokens=102, total_tokens=1234
2025-11-21T01:26:22.313828 | ai_concepts_291 | chunk 5 | prompt_tokens=1507, candidates_tokens=67, total_tokens=1574
2025-11-21T01:26:34.634276 | ai_concepts_291 | chunk 6 | prompt_tokens=2032, candidates_tokens=91, total_tokens=2123
2025-11-21T01:26:39.711861 | ai_concepts_291 | chunk 7 | prompt_tokens=1632, candidates_tokens=81, total_tokens=1713
2025-11-21T01:26:43.396118 | ai_concepts_291 | chunk 8 | prompt_tokens=932, candidates_tokens=74, total_tokens=1006
2025-11-21T01:26:48.074623 | ai_concepts_291 | chunk 9 | prompt_tokens=1232, candidates_tokens=54, total_tokens=1286
2025-11-21T01:26:52.304800 | ai_concepts_291 | chunk 10 | prompt_tokens=1282, candidates_tokens=78, total_tokens=1360
2025-11-21T01:26:56.522336 | ai_concepts_58 | chunk 0 | prompt_tokens=1232, candidates_tokens=76, total_tokens=1308
2025-11-21T01:27:00.003628 | ai_concepts_58 | chunk 1 | prompt_tokens=882, candidates_tokens=67, total_tokens=949
2025-11-21T01:27:03.582542 | ai_concepts_58 | chunk 2 | prompt_tokens=757, candidates_tokens=88, total_tokens=845
2025-11-21T01:27:08.959522 | ai_concepts_58 | chunk 3 | prompt_tokens=957, candidates_tokens=86, total_tokens=1043
2025-11-21T01:27:15.589681 | ai_concepts_58 | chunk 4 | prompt_tokens=1257, candidates_tokens=77, total_tokens=1334
2025-11-21T01:27:23.401208 | ai_concepts_58 | chunk 5 | prompt_tokens=1382, candidates_tokens=70, total_tokens=1452
2025-11-21T01:27:28.690959 | ai_concepts_58 | chunk 6 | prompt_tokens=1207, candidates_tokens=94, total_tokens=1301
2025-11-21T01:27:34.311438 | ai_concepts_58 | chunk 7 | prompt_tokens=1332, candidates_tokens=69, total_tokens=1401
2025-11-21T01:27:49.500264 | ai_concepts_58 | chunk 8 | prompt_tokens=2032, candidates_tokens=91, total_tokens=2123
2025-11-21T01:27:54.780853 | ai_concepts_58 | chunk 9 | prompt_tokens=857, candidates_tokens=51, total_tokens=908
2025-11-21T01:27:59.518778 | ai_concepts_58 | chunk 10 | prompt_tokens=707, candidates_tokens=60, total_tokens=767
2025-11-21T01:28:07.992781 | ai_concepts_58 | chunk 11 | prompt_tokens=2007, candidates_tokens=128, total_tokens=2135
2025-11-21T01:28:12.876255 | ai_concepts_58 | chunk 12 | prompt_tokens=1232, candidates_tokens=93, total_tokens=1325
2025-11-21T01:28:17.556566 | ai_concepts_58 | chunk 13 | prompt_tokens=1257, candidates_tokens=79, total_tokens=1336
2025-11-21T01:28:22.293656 | ai_concepts_58 | chunk 14 | prompt_tokens=1507, candidates_tokens=104, total_tokens=1611
2025-11-21T01:28:28.015900 | ai_concepts_132 | chunk 0 | prompt_tokens=957, candidates_tokens=101, total_tokens=1058
2025-11-21T01:28:34.705840 | ai_concepts_132 | chunk 1 | prompt_tokens=932, candidates_tokens=77, total_tokens=1009
2025-11-21T01:28:39.878386 | ai_concepts_132 | chunk 2 | prompt_tokens=832, candidates_tokens=66, total_tokens=898
