2025-11-21T00:40:11.458869 | biology_281 | chunk 0 | prompt_tokens=1007, candidates_tokens=43, total_tokens=1050
2025-11-21T00:40:17.301620 | biology_281 | chunk 1 | prompt_tokens=1132, candidates_tokens=55, total_tokens=1187
2025-11-21T00:40:22.020292 | biology_281 | chunk 2 | prompt_tokens=782, candidates_tokens=57, total_tokens=839
2025-11-21T00:40:27.596456 | biology_281 | chunk 3 | prompt_tokens=1257, candidates_tokens=68, total_tokens=1325
2025-11-21T00:40:33.313620 | biology_281 | chunk 4 | prompt_tokens=1082, candidates_tokens=50, total_tokens=1132
2025-11-21T00:40:37.110475 | biology_281 | chunk 5 | prompt_tokens=432, candidates_tokens=51, total_tokens=483
2025-11-21T00:40:45.387217 | biology_281 | chunk 6 | prompt_tokens=1807, candidates_tokens=88, total_tokens=1895
2025-11-21T00:40:52.479088 | biology_281 | chunk 7 | prompt_tokens=1657, candidates_tokens=48, total_tokens=1705
2025-11-21T00:41:01.069031 | biology_281 | chunk 8 | prompt_tokens=1757, candidates_tokens=101, total_tokens=1858
2025-11-21T00:41:06.960889 | biology_281 | chunk 9 | prompt_tokens=1157, candidates_tokens=61, total_tokens=1218
2025-11-21T00:41:20.880956 | biology_281 | chunk 10 | prompt_tokens=2632, candidates_tokens=89, total_tokens=2721
2025-11-21T00:41:27.054861 | biology_281 | chunk 11 | prompt_tokens=1307, candidates_tokens=85, total_tokens=1392
2025-11-21T00:41:35.262910 | biology_281 | chunk 12 | prompt_tokens=2107, candidates_tokens=91, total_tokens=2198
2025-11-21T00:41:43.655068 | biology_242 | chunk 0 | prompt_tokens=2207, candidates_tokens=78, total_tokens=2285
2025-11-21T00:41:48.322900 | biology_242 | chunk 1 | prompt_tokens=1632, candidates_tokens=94, total_tokens=1726
2025-11-21T00:41:52.759032 | biology_242 | chunk 2 | prompt_tokens=457, candidates_tokens=57, total_tokens=514
2025-11-21T00:41:58.123506 | biology_242 | chunk 3 | prompt_tokens=1132, candidates_tokens=78, total_tokens=1210
2025-11-21T00:42:01.728357 | biology_242 | chunk 4 | prompt_tokens=807, candidates_tokens=56, total_tokens=863
2025-11-21T00:42:07.024729 | biology_242 | chunk 5 | prompt_tokens=982, candidates_tokens=57, total_tokens=1039
2025-11-21T00:42:13.752790 | biology_242 | chunk 6 | prompt_tokens=632, candidates_tokens=54, total_tokens=686
2025-11-21T00:42:21.267405 | biology_242 | chunk 7 | prompt_tokens=782, candidates_tokens=44, total_tokens=826
2025-11-21T00:42:26.099437 | biology_242 | chunk 8 | prompt_tokens=457, candidates_tokens=62, total_tokens=519
2025-11-21T00:42:30.828251 | biology_242 | chunk 9 | prompt_tokens=557, candidates_tokens=63, total_tokens=620
