2025-11-20T18:34:18.571224 | chemistry_443 | chunk 0 | prompt_tokens=957, candidates_tokens=106, total_tokens=1063
2025-11-20T18:34:22.865633 | chemistry_443 | chunk 1 | prompt_tokens=1157, candidates_tokens=40, total_tokens=1197
2025-11-20T18:34:29.709536 | chemistry_443 | chunk 2 | prompt_tokens=1032, candidates_tokens=70, total_tokens=1102
2025-11-20T18:34:36.779713 | chemistry_443 | chunk 3 | prompt_tokens=982, candidates_tokens=76, total_tokens=1058
2025-11-20T18:34:42.771261 | chemistry_443 | chunk 4 | prompt_tokens=807, candidates_tokens=49, total_tokens=856
2025-11-20T18:34:47.709886 | chemistry_443 | chunk 5 | prompt_tokens=1107, candidates_tokens=74, total_tokens=1181
2025-11-20T18:34:54.729866 | chemistry_443 | chunk 6 | prompt_tokens=1132, candidates_tokens=72, total_tokens=1204
2025-11-20T18:34:59.748630 | chemistry_443 | chunk 7 | prompt_tokens=457, candidates_tokens=47, total_tokens=504
2025-11-20T18:35:06.082267 | chemistry_443 | chunk 8 | prompt_tokens=582, candidates_tokens=61, total_tokens=643
2025-11-20T18:35:10.009483 | chemistry_443 | chunk 9 | prompt_tokens=657, candidates_tokens=90, total_tokens=747
2025-11-20T18:35:18.260222 | chemistry_443 | chunk 10 | prompt_tokens=1432, candidates_tokens=111, total_tokens=1543
2025-11-20T18:35:23.052865 | chemistry_443 | chunk 11 | prompt_tokens=532, candidates_tokens=58, total_tokens=590
2025-11-20T18:35:27.863807 | chemistry_443 | chunk 12 | prompt_tokens=1032, candidates_tokens=83, total_tokens=1115
2025-11-20T18:35:36.436311 | chemistry_443 | chunk 13 | prompt_tokens=3107, candidates_tokens=118, total_tokens=3225
2025-11-20T18:35:50.374626 | chemistry_443 | chunk 14 | prompt_tokens=3457, candidates_tokens=149, total_tokens=3606
2025-11-20T18:35:58.501544 | chemistry_452 | chunk 0 | prompt_tokens=2007, candidates_tokens=113, total_tokens=2120
2025-11-20T18:36:06.677438 | chemistry_452 | chunk 1 | prompt_tokens=1407, candidates_tokens=81, total_tokens=1488
2025-11-20T18:36:12.315924 | chemistry_452 | chunk 2 | prompt_tokens=682, candidates_tokens=55, total_tokens=737
2025-11-20T18:36:19.956465 | chemistry_452 | chunk 3 | prompt_tokens=1282, candidates_tokens=50, total_tokens=1332
2025-11-20T18:36:28.552745 | chemistry_452 | chunk 4 | prompt_tokens=1632, candidates_tokens=61, total_tokens=1693
2025-11-20T18:36:36.401351 | chemistry_452 | chunk 5 | prompt_tokens=2407, candidates_tokens=58, total_tokens=2465
2025-11-20T18:36:45.002953 | chemistry_452 | chunk 6 | prompt_tokens=1432, candidates_tokens=154, total_tokens=1586
2025-11-20T18:36:52.660923 | chemistry_452 | chunk 7 | prompt_tokens=1157, candidates_tokens=144, total_tokens=1301
2025-11-20T18:36:58.010738 | chemistry_452 | chunk 8 | prompt_tokens=1082, candidates_tokens=82, total_tokens=1164
2025-11-20T18:37:02.881470 | chemistry_452 | chunk 9 | prompt_tokens=382, candidates_tokens=57, total_tokens=439
2025-11-20T18:37:08.935592 | chemistry_452 | chunk 10 | prompt_tokens=757, candidates_tokens=72, total_tokens=829
2025-11-20T18:37:17.287124 | chemistry_452 | chunk 11 | prompt_tokens=1882, candidates_tokens=63, total_tokens=1945
2025-11-20T18:37:22.175581 | chemistry_452 | chunk 12 | prompt_tokens=907, candidates_tokens=73, total_tokens=980
2025-11-20T18:37:28.767962 | chemistry_313 | chunk 0 | prompt_tokens=1032, candidates_tokens=53, total_tokens=1085
2025-11-20T18:37:35.740870 | chemistry_313 | chunk 1 | prompt_tokens=1182, candidates_tokens=71, total_tokens=1253
2025-11-20T18:37:42.425948 | chemistry_313 | chunk 2 | prompt_tokens=1207, candidates_tokens=46, total_tokens=1253
2025-11-20T18:37:46.087820 | chemistry_313 | chunk 3 | prompt_tokens=932, candidates_tokens=73, total_tokens=1005
2025-11-20T18:37:49.525082 | chemistry_313 | chunk 4 | prompt_tokens=582, candidates_tokens=51, total_tokens=633
2025-11-20T18:37:56.097689 | chemistry_313 | chunk 5 | prompt_tokens=1057, candidates_tokens=72, total_tokens=1129
2025-11-20T18:38:00.665892 | chemistry_313 | chunk 6 | prompt_tokens=1257, candidates_tokens=107, total_tokens=1364
2025-11-20T18:38:10.059072 | chemistry_313 | chunk 7 | prompt_tokens=2282, candidates_tokens=57, total_tokens=2339
2025-11-20T18:38:18.872853 | chemistry_313 | chunk 8 | prompt_tokens=3507, candidates_tokens=207, total_tokens=3714
2025-11-20T18:38:28.405347 | chemistry_313 | chunk 9 | prompt_tokens=2257, candidates_tokens=78, total_tokens=2335
2025-11-20T18:38:34.091192 | chemistry_313 | chunk 10 | prompt_tokens=857, candidates_tokens=54, total_tokens=911
