2025-11-20T18:05:57.699338 | expert_interviews_9 | chunk 0 | prompt_tokens=1107, candidates_tokens=97, total_tokens=1204
2025-11-20T18:06:06.943223 | expert_interviews_9 | chunk 1 | prompt_tokens=1832, candidates_tokens=112, total_tokens=1944
2025-11-20T18:06:13.315624 | expert_interviews_9 | chunk 2 | prompt_tokens=1007, candidates_tokens=97, total_tokens=1104
2025-11-20T18:06:20.713233 | expert_interviews_9 | chunk 3 | prompt_tokens=1057, candidates_tokens=114, total_tokens=1171
2025-11-20T18:06:24.535693 | expert_interviews_9 | chunk 4 | prompt_tokens=707, candidates_tokens=70, total_tokens=777
2025-11-20T18:06:30.495955 | expert_interviews_9 | chunk 5 | prompt_tokens=832, candidates_tokens=67, total_tokens=899
2025-11-20T18:06:37.293858 | expert_interviews_9 | chunk 6 | prompt_tokens=1182, candidates_tokens=86, total_tokens=1268
2025-11-20T18:06:45.464475 | expert_interviews_9 | chunk 7 | prompt_tokens=2332, candidates_tokens=95, total_tokens=2427
2025-11-20T18:06:51.749489 | expert_interviews_9 | chunk 8 | prompt_tokens=1282, candidates_tokens=79, total_tokens=1361
2025-11-20T18:06:56.827501 | expert_interviews_9 | chunk 9 | prompt_tokens=682, candidates_tokens=110, total_tokens=792
2025-11-20T18:07:01.105085 | expert_interviews_9 | chunk 10 | prompt_tokens=807, candidates_tokens=96, total_tokens=903
2025-11-20T18:07:09.146084 | expert_interviews_9 | chunk 11 | prompt_tokens=1357, candidates_tokens=140, total_tokens=1497
2025-11-20T18:07:14.210970 | expert_interviews_9 | chunk 12 | prompt_tokens=1657, candidates_tokens=108, total_tokens=1765
2025-11-20T18:07:31.524796 | expert_interviews_9 | chunk 13 | prompt_tokens=2182, candidates_tokens=204, total_tokens=2386
2025-11-20T18:07:36.560055 | expert_interviews_9 | chunk 14 | prompt_tokens=382, candidates_tokens=74, total_tokens=456
2025-11-20T18:07:44.771138 | expert_interviews_11 | chunk 0 | prompt_tokens=2032, candidates_tokens=113, total_tokens=2145
2025-11-20T18:07:51.317166 | expert_interviews_11 | chunk 1 | prompt_tokens=932, candidates_tokens=109, total_tokens=1041
2025-11-20T18:07:56.375093 | expert_interviews_11 | chunk 2 | prompt_tokens=1757, candidates_tokens=69, total_tokens=1826
2025-11-20T18:08:02.129696 | expert_interviews_11 | chunk 3 | prompt_tokens=832, candidates_tokens=96, total_tokens=928
2025-11-20T18:08:06.865759 | expert_interviews_11 | chunk 4 | prompt_tokens=432, candidates_tokens=65, total_tokens=497
2025-11-20T18:08:10.779418 | expert_interviews_11 | chunk 5 | prompt_tokens=582, candidates_tokens=124, total_tokens=706
2025-11-20T18:08:16.469852 | expert_interviews_11 | chunk 6 | prompt_tokens=1132, candidates_tokens=111, total_tokens=1243
2025-11-20T18:08:21.581676 | expert_interviews_11 | chunk 7 | prompt_tokens=1407, candidates_tokens=123, total_tokens=1530
2025-11-20T18:08:26.938202 | expert_interviews_11 | chunk 8 | prompt_tokens=1607, candidates_tokens=139, total_tokens=1746
2025-11-20T18:08:34.521228 | expert_interviews_11 | chunk 9 | prompt_tokens=1732, candidates_tokens=170, total_tokens=1902
2025-11-20T18:08:42.080066 | expert_interviews_11 | chunk 10 | prompt_tokens=1257, candidates_tokens=153, total_tokens=1410
2025-11-20T18:08:47.774052 | expert_interviews_11 | chunk 11 | prompt_tokens=657, candidates_tokens=86, total_tokens=743
2025-11-20T18:08:52.123116 | expert_interviews_11 | chunk 12 | prompt_tokens=1007, candidates_tokens=87, total_tokens=1094
2025-11-20T18:08:59.259661 | expert_interviews_11 | chunk 13 | prompt_tokens=1232, candidates_tokens=82, total_tokens=1314
2025-11-20T18:09:03.810014 | expert_interviews_11 | chunk 14 | prompt_tokens=1107, candidates_tokens=71, total_tokens=1178
2025-11-20T18:09:08.408851 | expert_interviews_447 | chunk 0 | prompt_tokens=1807, candidates_tokens=137, total_tokens=1944
2025-11-20T18:09:13.500070 | expert_interviews_447 | chunk 1 | prompt_tokens=632, candidates_tokens=80, total_tokens=712
2025-11-20T18:09:20.318815 | expert_interviews_447 | chunk 2 | prompt_tokens=1007, candidates_tokens=82, total_tokens=1089
2025-11-20T18:09:26.969325 | expert_interviews_447 | chunk 3 | prompt_tokens=1282, candidates_tokens=118, total_tokens=1400
2025-11-20T18:09:32.530173 | expert_interviews_447 | chunk 4 | prompt_tokens=807, candidates_tokens=84, total_tokens=891
2025-11-20T18:09:37.674365 | expert_interviews_447 | chunk 5 | prompt_tokens=607, candidates_tokens=77, total_tokens=684
2025-11-20T18:09:44.697267 | expert_interviews_447 | chunk 6 | prompt_tokens=1132, candidates_tokens=121, total_tokens=1253
2025-11-20T18:09:50.004549 | expert_interviews_447 | chunk 7 | prompt_tokens=1857, candidates_tokens=74, total_tokens=1931
2025-11-20T18:09:53.767198 | expert_interviews_447 | chunk 8 | prompt_tokens=457, candidates_tokens=71, total_tokens=528
2025-11-20T18:10:00.371416 | expert_interviews_447 | chunk 9 | prompt_tokens=1057, candidates_tokens=84, total_tokens=1141
2025-11-20T18:10:09.067196 | expert_interviews_447 | chunk 10 | prompt_tokens=1732, candidates_tokens=156, total_tokens=1888
2025-11-20T18:10:16.590483 | expert_interviews_447 | chunk 11 | prompt_tokens=932, candidates_tokens=142, total_tokens=1074
2025-11-20T18:10:24.122367 | expert_interviews_447 | chunk 12 | prompt_tokens=1032, candidates_tokens=141, total_tokens=1173
2025-11-20T18:10:30.572858 | expert_interviews_447 | chunk 13 | prompt_tokens=1007, candidates_tokens=92, total_tokens=1099
2025-11-20T18:10:38.182667 | expert_interviews_447 | chunk 14 | prompt_tokens=1282, candidates_tokens=129, total_tokens=1411
2025-11-20T18:10:44.720072 | expert_interviews_447 | chunk 15 | prompt_tokens=2032, candidates_tokens=259, total_tokens=2291
2025-11-20T18:10:54.831949 | expert_interviews_509 | chunk 0 | prompt_tokens=2307, candidates_tokens=121, total_tokens=2428
2025-11-20T18:11:01.159534 | expert_interviews_509 | chunk 1 | prompt_tokens=1032, candidates_tokens=39, total_tokens=1071
2025-11-20T18:11:07.991963 | expert_interviews_509 | chunk 2 | prompt_tokens=957, candidates_tokens=92, total_tokens=1049
2025-11-20T18:11:12.782619 | expert_interviews_509 | chunk 3 | prompt_tokens=1132, candidates_tokens=85, total_tokens=1217
2025-11-20T18:11:19.922696 | expert_interviews_509 | chunk 4 | prompt_tokens=1082, candidates_tokens=119, total_tokens=1201
2025-11-20T18:11:25.754768 | expert_interviews_509 | chunk 5 | prompt_tokens=707, candidates_tokens=54, total_tokens=761
2025-11-20T18:11:32.097038 | expert_interviews_509 | chunk 6 | prompt_tokens=1732, candidates_tokens=88, total_tokens=1820
2025-11-20T18:11:39.224779 | expert_interviews_509 | chunk 7 | prompt_tokens=1082, candidates_tokens=81, total_tokens=1163
2025-11-20T18:11:47.994365 | expert_interviews_509 | chunk 8 | prompt_tokens=1557, candidates_tokens=93, total_tokens=1650
2025-11-20T18:11:54.103337 | expert_interviews_509 | chunk 9 | prompt_tokens=882, candidates_tokens=51, total_tokens=933
