2025-11-21T00:46:44.076266 | physics_496 | chunk 0 | prompt_tokens=1807, candidates_tokens=119, total_tokens=1926
2025-11-21T00:46:58.521007 | physics_496 | chunk 1 | prompt_tokens=2082, candidates_tokens=194, total_tokens=2276
2025-11-21T00:47:03.644753 | physics_496 | chunk 2 | prompt_tokens=607, candidates_tokens=62, total_tokens=669
2025-11-21T00:47:06.723841 | physics_496 | chunk 3 | prompt_tokens=857, candidates_tokens=72, total_tokens=929
2025-11-21T00:47:14.464496 | physics_496 | chunk 4 | prompt_tokens=1657, candidates_tokens=76, total_tokens=1733
2025-11-21T00:47:20.527103 | physics_496 | chunk 5 | prompt_tokens=1057, candidates_tokens=133, total_tokens=1190
2025-11-21T00:47:25.330954 | physics_496 | chunk 6 | prompt_tokens=957, candidates_tokens=122, total_tokens=1079
2025-11-21T00:47:34.998599 | physics_496 | chunk 7 | prompt_tokens=1357, candidates_tokens=121, total_tokens=1478
2025-11-21T00:47:39.681903 | physics_496 | chunk 8 | prompt_tokens=907, candidates_tokens=74, total_tokens=981
2025-11-21T00:48:01.773818 | physics_496 | chunk 9 | prompt_tokens=1832, candidates_tokens=117, total_tokens=1949
2025-11-21T00:48:10.363806 | physics_496 | chunk 10 | prompt_tokens=557, candidates_tokens=45, total_tokens=602
2025-11-21T00:48:20.313720 | physics_156 | chunk 0 | prompt_tokens=1907, candidates_tokens=97, total_tokens=2004
2025-11-21T00:48:25.388161 | physics_156 | chunk 1 | prompt_tokens=1107, candidates_tokens=90, total_tokens=1197
2025-11-21T00:48:31.306374 | physics_156 | chunk 2 | prompt_tokens=657, candidates_tokens=75, total_tokens=732
2025-11-21T00:48:36.203597 | physics_156 | chunk 3 | prompt_tokens=432, candidates_tokens=57, total_tokens=489
2025-11-21T00:48:42.481032 | physics_156 | chunk 4 | prompt_tokens=1132, candidates_tokens=61, total_tokens=1193
2025-11-21T00:48:45.981726 | physics_156 | chunk 5 | prompt_tokens=657, candidates_tokens=57, total_tokens=714
2025-11-21T00:48:51.963515 | physics_156 | chunk 6 | prompt_tokens=1057, candidates_tokens=84, total_tokens=1141
2025-11-21T00:49:00.805450 | physics_156 | chunk 7 | prompt_tokens=1282, candidates_tokens=82, total_tokens=1364
2025-11-21T00:49:06.320466 | physics_156 | chunk 8 | prompt_tokens=932, candidates_tokens=66, total_tokens=998
2025-11-21T00:49:27.126107 | physics_156 | chunk 9 | prompt_tokens=1882, candidates_tokens=67, total_tokens=1949
2025-11-21T00:49:42.227883 | physics_156 | chunk 10 | prompt_tokens=1832, candidates_tokens=78, total_tokens=1910
2025-11-21T00:49:47.161599 | physics_156 | chunk 11 | prompt_tokens=632, candidates_tokens=63, total_tokens=695
2025-11-21T00:49:52.643306 | physics_564 | chunk 0 | prompt_tokens=1032, candidates_tokens=116, total_tokens=1148
2025-11-21T00:50:01.460599 | physics_564 | chunk 1 | prompt_tokens=1757, candidates_tokens=105, total_tokens=1862
2025-11-21T00:50:23.826794 | physics_564 | chunk 2 | prompt_tokens=2182, candidates_tokens=106, total_tokens=2288
2025-11-21T00:50:28.259342 | physics_564 | chunk 3 | prompt_tokens=732, candidates_tokens=82, total_tokens=814
