2025-11-21T00:48:20.307646 | ted_talks_433 | chunk 0 | prompt_tokens=2107, candidates_tokens=147, total_tokens=2254
2025-11-21T00:48:28.419199 | ted_talks_433 | chunk 1 | prompt_tokens=857, candidates_tokens=71, total_tokens=928
2025-11-21T00:48:33.638161 | ted_talks_433 | chunk 2 | prompt_tokens=507, candidates_tokens=104, total_tokens=611
2025-11-21T00:48:41.568514 | ted_talks_433 | chunk 3 | prompt_tokens=757, candidates_tokens=94, total_tokens=851
2025-11-21T00:48:46.765791 | ted_talks_433 | chunk 4 | prompt_tokens=857, candidates_tokens=77, total_tokens=934
2025-11-21T00:48:53.360139 | ted_talks_433 | chunk 5 | prompt_tokens=1007, candidates_tokens=102, total_tokens=1109
2025-11-21T00:48:57.618597 | ted_talks_433 | chunk 6 | prompt_tokens=532, candidates_tokens=66, total_tokens=598
2025-11-21T00:49:02.948731 | ted_talks_433 | chunk 7 | prompt_tokens=657, candidates_tokens=64, total_tokens=721
2025-11-21T00:49:14.879148 | ted_talks_433 | chunk 8 | prompt_tokens=932, candidates_tokens=101, total_tokens=1033
2025-11-21T00:49:24.728581 | ted_talks_433 | chunk 9 | prompt_tokens=1057, candidates_tokens=50, total_tokens=1107
2025-11-21T00:49:31.326299 | ted_talks_433 | chunk 10 | prompt_tokens=1332, candidates_tokens=43, total_tokens=1375
2025-11-21T00:49:37.158396 | ted_talks_433 | chunk 11 | prompt_tokens=682, candidates_tokens=59, total_tokens=741
2025-11-21T00:49:48.799750 | ted_talks_433 | chunk 12 | prompt_tokens=1582, candidates_tokens=126, total_tokens=1708
2025-11-21T00:49:52.605559 | ted_talks_433 | chunk 13 | prompt_tokens=682, candidates_tokens=54, total_tokens=736
2025-11-21T00:49:58.847107 | ted_talks_433 | chunk 14 | prompt_tokens=782, candidates_tokens=104, total_tokens=886
2025-11-21T00:50:04.236770 | ted_talks_433 | chunk 15 | prompt_tokens=807, candidates_tokens=74, total_tokens=881
2025-11-21T00:50:11.050939 | ted_talks_433 | chunk 16 | prompt_tokens=682, candidates_tokens=72, total_tokens=754
2025-11-21T00:50:18.045899 | ted_talks_250 | chunk 0 | prompt_tokens=557, candidates_tokens=84, total_tokens=641
2025-11-21T00:50:27.321140 | ted_talks_250 | chunk 1 | prompt_tokens=1682, candidates_tokens=94, total_tokens=1776
2025-11-21T00:50:31.550490 | ted_talks_250 | chunk 2 | prompt_tokens=782, candidates_tokens=74, total_tokens=856
2025-11-21T00:50:42.737912 | ted_talks_250 | chunk 3 | prompt_tokens=1357, candidates_tokens=66, total_tokens=1423
2025-11-21T00:50:48.950021 | ted_talks_250 | chunk 4 | prompt_tokens=982, candidates_tokens=94, total_tokens=1076
2025-11-21T00:50:59.731748 | ted_talks_250 | chunk 5 | prompt_tokens=1307, candidates_tokens=109, total_tokens=1416
2025-11-21T00:51:14.870590 | ted_talks_250 | chunk 6 | prompt_tokens=1482, candidates_tokens=60, total_tokens=1542
2025-11-21T00:51:22.229549 | ted_talks_250 | chunk 7 | prompt_tokens=1032, candidates_tokens=92, total_tokens=1124
2025-11-21T00:51:27.994213 | ted_talks_250 | chunk 8 | prompt_tokens=1157, candidates_tokens=97, total_tokens=1254
2025-11-21T00:51:31.726762 | ted_talks_250 | chunk 9 | prompt_tokens=857, candidates_tokens=88, total_tokens=945
2025-11-21T00:51:47.300216 | ted_talks_250 | chunk 10 | prompt_tokens=1482, candidates_tokens=66, total_tokens=1548
2025-11-21T00:51:57.708623 | ted_talks_250 | chunk 11 | prompt_tokens=1482, candidates_tokens=53, total_tokens=1535
2025-11-21T00:52:03.718414 | ted_talks_250 | chunk 12 | prompt_tokens=1207, candidates_tokens=72, total_tokens=1279
2025-11-21T00:52:12.997196 | ted_talks_250 | chunk 13 | prompt_tokens=1282, candidates_tokens=85, total_tokens=1367
2025-11-21T00:52:24.362848 | ted_talks_250 | chunk 14 | prompt_tokens=1982, candidates_tokens=172, total_tokens=2154
2025-11-21T00:52:28.932869 | ted_talks_94 | chunk 0 | prompt_tokens=1157, candidates_tokens=76, total_tokens=1233
2025-11-21T00:52:39.351580 | ted_talks_94 | chunk 1 | prompt_tokens=1207, candidates_tokens=83, total_tokens=1290
2025-11-21T00:52:50.002443 | ted_talks_94 | chunk 2 | prompt_tokens=1932, candidates_tokens=126, total_tokens=2058
2025-11-21T00:53:03.461024 | ted_talks_94 | chunk 3 | prompt_tokens=1807, candidates_tokens=115, total_tokens=1922
2025-11-21T00:53:09.787061 | ted_talks_94 | chunk 4 | prompt_tokens=1457, candidates_tokens=75, total_tokens=1532
2025-11-21T00:53:25.000469 | ted_talks_94 | chunk 5 | prompt_tokens=2007, candidates_tokens=90, total_tokens=2097
2025-11-21T00:53:39.960363 | ted_talks_94 | chunk 6 | prompt_tokens=2007, candidates_tokens=108, total_tokens=2115
2025-11-21T00:53:47.387264 | ted_talks_438 | chunk 0 | prompt_tokens=757, candidates_tokens=65, total_tokens=822
2025-11-21T00:54:12.045912 | ted_talks_438 | chunk 1 | prompt_tokens=1907, candidates_tokens=157, total_tokens=2064
2025-11-21T00:54:25.793556 | ted_talks_438 | chunk 2 | prompt_tokens=1857, candidates_tokens=142, total_tokens=1999
2025-11-21T00:54:29.323107 | ted_talks_438 | chunk 3 | prompt_tokens=857, candidates_tokens=103, total_tokens=960
2025-11-21T00:54:43.049410 | ted_talks_438 | chunk 4 | prompt_tokens=1057, candidates_tokens=114, total_tokens=1171
2025-11-21T00:54:52.409485 | ted_talks_438 | chunk 5 | prompt_tokens=932, candidates_tokens=73, total_tokens=1005
2025-11-21T00:55:07.549342 | ted_talks_438 | chunk 6 | prompt_tokens=1582, candidates_tokens=160, total_tokens=1742
2025-11-21T00:55:18.891415 | ted_talks_438 | chunk 7 | prompt_tokens=1157, candidates_tokens=77, total_tokens=1234
2025-11-21T00:55:23.615080 | ted_talks_438 | chunk 8 | prompt_tokens=757, candidates_tokens=82, total_tokens=839
2025-11-21T00:55:32.687187 | ted_talks_438 | chunk 9 | prompt_tokens=857, candidates_tokens=76, total_tokens=933
2025-11-21T00:55:48.967844 | ted_talks_438 | chunk 10 | prompt_tokens=907, candidates_tokens=92, total_tokens=999
2025-11-21T00:55:55.467298 | ted_talks_438 | chunk 11 | prompt_tokens=382, candidates_tokens=51, total_tokens=433
2025-11-21T00:56:06.009453 | ted_talks_438 | chunk 12 | prompt_tokens=632, candidates_tokens=80, total_tokens=712
2025-11-21T00:56:14.090867 | ted_talks_375 | chunk 0 | prompt_tokens=1782, candidates_tokens=115, total_tokens=1897
2025-11-21T00:56:24.387053 | ted_talks_375 | chunk 1 | prompt_tokens=1032, candidates_tokens=80, total_tokens=1112
2025-11-21T00:56:34.361006 | ted_talks_375 | chunk 2 | prompt_tokens=1582, candidates_tokens=121, total_tokens=1703
2025-11-21T00:56:44.330995 | ted_talks_375 | chunk 3 | prompt_tokens=1307, candidates_tokens=99, total_tokens=1406
2025-11-21T00:56:54.788671 | ted_talks_375 | chunk 4 | prompt_tokens=1482, candidates_tokens=81, total_tokens=1563
2025-11-21T00:57:06.706663 | ted_talks_375 | chunk 5 | prompt_tokens=2082, candidates_tokens=94, total_tokens=2176
2025-11-21T00:57:12.779484 | ted_talks_375 | chunk 6 | prompt_tokens=732, candidates_tokens=72, total_tokens=804
2025-11-21T00:57:18.403036 | ted_talks_375 | chunk 7 | prompt_tokens=907, candidates_tokens=72, total_tokens=979
2025-11-21T00:57:28.247965 | ted_talks_375 | chunk 8 | prompt_tokens=1132, candidates_tokens=115, total_tokens=1247
2025-11-21T00:57:32.700861 | ted_talks_375 | chunk 9 | prompt_tokens=657, candidates_tokens=63, total_tokens=720
2025-11-21T00:57:37.987554 | ted_talks_375 | chunk 10 | prompt_tokens=1357, candidates_tokens=97, total_tokens=1454
2025-11-21T00:57:42.957971 | ted_talks_10 | chunk 0 | prompt_tokens=907, candidates_tokens=75, total_tokens=982
2025-11-21T00:57:45.780652 | ted_talks_10 | chunk 1 | prompt_tokens=532, candidates_tokens=64, total_tokens=596
2025-11-21T00:57:50.246729 | ted_talks_10 | chunk 2 | prompt_tokens=807, candidates_tokens=71, total_tokens=878
2025-11-21T00:57:57.915386 | ted_talks_10 | chunk 3 | prompt_tokens=1482, candidates_tokens=114, total_tokens=1596
2025-11-21T00:58:02.136933 | ted_talks_10 | chunk 4 | prompt_tokens=957, candidates_tokens=76, total_tokens=1033
2025-11-21T00:58:07.830593 | ted_talks_10 | chunk 5 | prompt_tokens=732, candidates_tokens=82, total_tokens=814
