2025-11-20T21:48:46.049719 | travel_vlogs_157 | chunk 0 | prompt_tokens=1307, candidates_tokens=114, total_tokens=1421
2025-11-20T21:49:13.804526 | travel_vlogs_157 | chunk 1 | prompt_tokens=1732, candidates_tokens=155, total_tokens=1887
2025-11-20T21:49:25.144783 | travel_vlogs_157 | chunk 2 | prompt_tokens=582, candidates_tokens=101, total_tokens=683
2025-11-20T21:50:34.433678 | travel_vlogs_157 | chunk 3 | prompt_tokens=4157, candidates_tokens=152, total_tokens=4309
2025-11-20T21:50:59.322248 | travel_vlogs_157 | chunk 4 | prompt_tokens=832, candidates_tokens=137, total_tokens=969
2025-11-20T21:51:13.712631 | travel_vlogs_157 | chunk 5 | prompt_tokens=457, candidates_tokens=92, total_tokens=549
2025-11-20T21:51:50.706490 | travel_vlogs_157 | chunk 6 | prompt_tokens=1132, candidates_tokens=90, total_tokens=1222
2025-11-20T21:52:15.444318 | travel_vlogs_157 | chunk 7 | prompt_tokens=1307, candidates_tokens=107, total_tokens=1414
2025-11-20T21:52:47.579596 | travel_vlogs_157 | chunk 8 | prompt_tokens=2732, candidates_tokens=161, total_tokens=2893
2025-11-20T21:52:56.370180 | travel_vlogs_157 | chunk 9 | prompt_tokens=507, candidates_tokens=89, total_tokens=596
2025-11-20T21:53:10.975447 | travel_vlogs_157 | chunk 10 | prompt_tokens=807, candidates_tokens=85, total_tokens=892
2025-11-20T21:53:40.015330 | travel_vlogs_157 | chunk 11 | prompt_tokens=1457, candidates_tokens=97, total_tokens=1554
2025-11-20T21:53:47.994686 | travel_vlogs_107 | chunk 0 | prompt_tokens=532, candidates_tokens=113, total_tokens=645
2025-11-20T21:54:05.094947 | travel_vlogs_107 | chunk 1 | prompt_tokens=1982, candidates_tokens=197, total_tokens=2179
2025-11-20T21:54:13.647025 | travel_vlogs_107 | chunk 2 | prompt_tokens=782, candidates_tokens=64, total_tokens=846
2025-11-20T21:54:30.717937 | travel_vlogs_107 | chunk 3 | prompt_tokens=857, candidates_tokens=91, total_tokens=948
2025-11-20T21:54:37.109646 | travel_vlogs_107 | chunk 4 | prompt_tokens=482, candidates_tokens=65, total_tokens=547
2025-11-20T21:54:50.209271 | travel_vlogs_107 | chunk 5 | prompt_tokens=1407, candidates_tokens=170, total_tokens=1577
2025-11-20T21:55:00.453066 | travel_vlogs_107 | chunk 6 | prompt_tokens=1457, candidates_tokens=145, total_tokens=1602
2025-11-20T21:55:13.035306 | travel_vlogs_107 | chunk 7 | prompt_tokens=1957, candidates_tokens=117, total_tokens=2074
2025-11-20T21:55:24.414020 | travel_vlogs_107 | chunk 8 | prompt_tokens=1157, candidates_tokens=99, total_tokens=1256
2025-11-20T21:55:33.182571 | travel_vlogs_107 | chunk 9 | prompt_tokens=857, candidates_tokens=101, total_tokens=958
2025-11-20T21:55:44.690804 | travel_vlogs_107 | chunk 10 | prompt_tokens=1982, candidates_tokens=142, total_tokens=2124
2025-11-20T21:55:56.866700 | travel_vlogs_107 | chunk 11 | prompt_tokens=1307, candidates_tokens=137, total_tokens=1444
2025-11-20T21:56:09.811633 | travel_vlogs_107 | chunk 12 | prompt_tokens=557, candidates_tokens=98, total_tokens=655
2025-11-20T21:56:15.079897 | travel_vlogs_107 | chunk 13 | prompt_tokens=582, candidates_tokens=84, total_tokens=666
2025-11-20T21:56:23.352800 | travel_vlogs_155 | chunk 0 | prompt_tokens=507, candidates_tokens=131, total_tokens=638
2025-11-20T21:56:31.163577 | travel_vlogs_155 | chunk 1 | prompt_tokens=307, candidates_tokens=56, total_tokens=363
2025-11-20T21:56:37.068004 | travel_vlogs_155 | chunk 2 | prompt_tokens=507, candidates_tokens=96, total_tokens=603
2025-11-20T21:56:50.679690 | travel_vlogs_155 | chunk 3 | prompt_tokens=507, candidates_tokens=115, total_tokens=622
2025-11-20T21:57:03.881256 | travel_vlogs_155 | chunk 4 | prompt_tokens=1907, candidates_tokens=203, total_tokens=2110
2025-11-20T21:57:13.375923 | travel_vlogs_155 | chunk 5 | prompt_tokens=1107, candidates_tokens=106, total_tokens=1213
2025-11-20T21:57:24.187532 | travel_vlogs_155 | chunk 6 | prompt_tokens=1032, candidates_tokens=115, total_tokens=1147
2025-11-20T21:57:37.428467 | travel_vlogs_155 | chunk 7 | prompt_tokens=1182, candidates_tokens=128, total_tokens=1310
2025-11-20T21:57:57.338946 | travel_vlogs_155 | chunk 8 | prompt_tokens=1657, candidates_tokens=156, total_tokens=1813
2025-11-20T21:58:11.550806 | travel_vlogs_155 | chunk 9 | prompt_tokens=1657, candidates_tokens=259, total_tokens=1916
2025-11-20T21:58:25.056394 | travel_vlogs_155 | chunk 10 | prompt_tokens=1582, candidates_tokens=100, total_tokens=1682
2025-11-20T21:58:32.684419 | travel_vlogs_155 | chunk 11 | prompt_tokens=1232, candidates_tokens=129, total_tokens=1361
2025-11-20T21:58:38.896400 | travel_vlogs_155 | chunk 12 | prompt_tokens=582, candidates_tokens=67, total_tokens=649
2025-11-20T21:58:43.494067 | travel_vlogs_155 | chunk 13 | prompt_tokens=582, candidates_tokens=49, total_tokens=631
2025-11-20T21:58:52.800187 | travel_vlogs_201 | chunk 0 | prompt_tokens=1557, candidates_tokens=197, total_tokens=1754
2025-11-20T21:58:58.953373 | travel_vlogs_201 | chunk 1 | prompt_tokens=507, candidates_tokens=102, total_tokens=609
