2025-11-21T17:42:50.516781 | academic_lectures_198 | chunk 0 | prompt_tokens=21637, candidates_tokens=344, total_tokens=22402
2025-11-21T17:43:03.951387 | academic_lectures_198 | chunk 1 | prompt_tokens=19764, candidates_tokens=74, total_tokens=19961
2025-11-21T17:43:19.849823 | academic_lectures_198 | chunk 2 | prompt_tokens=13946, candidates_tokens=222, total_tokens=14823
2025-11-21T17:43:31.722858 | academic_lectures_198 | chunk 3 | prompt_tokens=8444, candidates_tokens=221, total_tokens=9258
2025-11-21T17:43:45.654984 | academic_lectures_198 | chunk 4 | prompt_tokens=5639, candidates_tokens=196, total_tokens=6595
2025-11-21T17:44:00.688019 | academic_lectures_198 | chunk 5 | prompt_tokens=17650, candidates_tokens=306, total_tokens=18709
2025-11-21T17:44:29.804887 | academic_lectures_198 | chunk 6 | prompt_tokens=22253, candidates_tokens=366, total_tokens=24143
2025-11-21T17:44:50.940865 | academic_lectures_198 | chunk 7 | prompt_tokens=16443, candidates_tokens=316, total_tokens=17798
2025-11-21T17:45:05.267462 | academic_lectures_306 | chunk 0 | prompt_tokens=11299, candidates_tokens=275, total_tokens=12366
2025-11-21T17:45:21.881513 | academic_lectures_306 | chunk 1 | prompt_tokens=14487, candidates_tokens=274, total_tokens=15507
2025-11-21T17:45:40.609901 | academic_lectures_306 | chunk 2 | prompt_tokens=11732, candidates_tokens=402, total_tokens=13016
2025-11-21T17:46:13.110092 | academic_lectures_306 | chunk 3 | prompt_tokens=25195, candidates_tokens=442, total_tokens=26753
2025-11-21T17:46:45.482019 | academic_lectures_306 | chunk 4 | prompt_tokens=8673, candidates_tokens=255, total_tokens=10001
2025-11-21T17:47:19.124909 | academic_lectures_306 | chunk 5 | prompt_tokens=11037, candidates_tokens=397, total_tokens=12276
2025-11-21T17:47:31.785082 | academic_lectures_306 | chunk 6 | prompt_tokens=8236, candidates_tokens=283, total_tokens=9160
2025-11-21T17:48:02.809193 | academic_lectures_306 | chunk 7 | prompt_tokens=8381, candidates_tokens=239, total_tokens=9602
2025-11-21T17:48:32.903404 | academic_lectures_306 | chunk 8 | prompt_tokens=8384, candidates_tokens=190, total_tokens=9244
2025-11-21T17:48:45.128832 | academic_lectures_306 | chunk 9 | prompt_tokens=7054, candidates_tokens=335, total_tokens=7889
2025-11-21T17:49:16.314327 | academic_lectures_306 | chunk 10 | prompt_tokens=10442, candidates_tokens=266, total_tokens=11231
2025-11-21T17:49:26.839870 | academic_lectures_306 | chunk 11 | prompt_tokens=6205, candidates_tokens=334, total_tokens=6819
2025-11-21T17:49:37.159258 | academic_lectures_306 | chunk 12 | prompt_tokens=11066, candidates_tokens=185, total_tokens=11587
2025-11-21T17:49:51.198627 | academic_lectures_130 | chunk 0 | prompt_tokens=6072, candidates_tokens=376, total_tokens=7597
2025-11-21T17:50:27.541291 | academic_lectures_130 | chunk 1 | prompt_tokens=12786, candidates_tokens=231, total_tokens=13916
2025-11-21T17:50:39.256773 | academic_lectures_130 | chunk 2 | prompt_tokens=8594, candidates_tokens=373, total_tokens=9370
2025-11-21T17:50:54.917225 | academic_lectures_130 | chunk 3 | prompt_tokens=15336, candidates_tokens=761, total_tokens=16950
2025-11-21T17:51:08.631951 | academic_lectures_130 | chunk 4 | prompt_tokens=15827, candidates_tokens=472, total_tokens=17027
2025-11-21T17:51:30.778117 | academic_lectures_130 | chunk 5 | prompt_tokens=20405, candidates_tokens=501, total_tokens=22169
2025-11-21T17:51:43.913142 | academic_lectures_130 | chunk 6 | prompt_tokens=4940, candidates_tokens=577, total_tokens=6223
2025-11-21T17:51:57.264495 | academic_lectures_130 | chunk 7 | prompt_tokens=5739, candidates_tokens=373, total_tokens=7350
2025-11-21T17:52:10.917811 | academic_lectures_130 | chunk 8 | prompt_tokens=13688, candidates_tokens=348, total_tokens=15124
2025-11-21T17:52:23.498222 | academic_lectures_130 | chunk 9 | prompt_tokens=2085, candidates_tokens=292, total_tokens=3379
2025-11-21T17:52:48.997948 | academic_lectures_130 | chunk 10 | prompt_tokens=23543, candidates_tokens=787, total_tokens=25648
2025-11-21T17:52:59.097166 | academic_lectures_130 | chunk 11 | prompt_tokens=9418, candidates_tokens=195, total_tokens=10064
2025-11-21T17:53:12.874494 | academic_lectures_261 | chunk 0 | prompt_tokens=8752, candidates_tokens=312, total_tokens=9770
2025-11-21T17:53:47.184988 | academic_lectures_261 | chunk 1 | prompt_tokens=3375, candidates_tokens=225, total_tokens=3833
2025-11-21T17:53:58.034409 | academic_lectures_261 | chunk 2 | prompt_tokens=4066, candidates_tokens=212, total_tokens=4841
