2025-11-21T17:45:41.208216 | expert_interviews_482 | chunk 0 | prompt_tokens=3375, candidates_tokens=130, total_tokens=3820
2025-11-21T17:46:10.460580 | expert_interviews_396 | chunk 0 | prompt_tokens=4539, candidates_tokens=150, total_tokens=4974
2025-11-21T17:46:24.159655 | expert_interviews_396 | chunk 1 | prompt_tokens=12764, candidates_tokens=195, total_tokens=13722
2025-11-21T17:46:32.247116 | expert_interviews_396 | chunk 2 | prompt_tokens=4349, candidates_tokens=137, total_tokens=4695
2025-11-21T17:46:41.256329 | expert_interviews_396 | chunk 3 | prompt_tokens=4915, candidates_tokens=176, total_tokens=5486
2025-11-21T17:46:57.737019 | expert_interviews_396 | chunk 4 | prompt_tokens=20455, candidates_tokens=190, total_tokens=21407
2025-11-21T17:47:12.433797 | expert_interviews_396 | chunk 5 | prompt_tokens=20480, candidates_tokens=245, total_tokens=21331
2025-11-21T17:47:26.486263 | expert_interviews_396 | chunk 6 | prompt_tokens=18499, candidates_tokens=188, total_tokens=19315
2025-11-21T17:47:41.017186 | expert_interviews_396 | chunk 7 | prompt_tokens=18191, candidates_tokens=178, total_tokens=18730
2025-11-21T17:47:50.602163 | expert_interviews_396 | chunk 8 | prompt_tokens=6280, candidates_tokens=149, total_tokens=6643
2025-11-21T17:48:07.192080 | expert_interviews_396 | chunk 9 | prompt_tokens=22694, candidates_tokens=200, total_tokens=23694
2025-11-21T17:48:23.291282 | expert_interviews_396 | chunk 10 | prompt_tokens=18424, candidates_tokens=192, total_tokens=19127
2025-11-21T17:48:56.232975 | expert_interviews_396 | chunk 11 | prompt_tokens=8951, candidates_tokens=245, total_tokens=9761
2025-11-21T17:49:06.623596 | expert_interviews_288 | chunk 0 | prompt_tokens=8877, candidates_tokens=316, total_tokens=9657
2025-11-21T17:49:41.660373 | expert_interviews_288 | chunk 1 | prompt_tokens=15737, candidates_tokens=414, total_tokens=16936
2025-11-21T17:50:16.015129 | expert_interviews_288 | chunk 2 | prompt_tokens=7197, candidates_tokens=190, total_tokens=7868
2025-11-21T17:50:30.699391 | expert_interviews_288 | chunk 3 | prompt_tokens=17933, candidates_tokens=473, total_tokens=18934
2025-11-21T17:50:45.867620 | expert_interviews_288 | chunk 4 | prompt_tokens=17342, candidates_tokens=265, total_tokens=18363
2025-11-21T17:51:01.096209 | expert_interviews_288 | chunk 5 | prompt_tokens=13613, candidates_tokens=422, total_tokens=14820
2025-11-21T17:51:10.246621 | expert_interviews_288 | chunk 6 | prompt_tokens=2393, candidates_tokens=197, total_tokens=3041
2025-11-21T17:51:23.043328 | expert_interviews_288 | chunk 7 | prompt_tokens=11374, candidates_tokens=405, total_tokens=12461
2025-11-21T17:51:40.453670 | expert_interviews_288 | chunk 8 | prompt_tokens=12764, candidates_tokens=195, total_tokens=13986
2025-11-21T17:51:54.134876 | expert_interviews_288 | chunk 9 | prompt_tokens=15877, candidates_tokens=161, total_tokens=16582
2025-11-21T17:52:09.868456 | expert_interviews_288 | chunk 10 | prompt_tokens=16443, candidates_tokens=554, total_tokens=17876
2025-11-21T17:52:22.180737 | expert_interviews_288 | chunk 11 | prompt_tokens=8852, candidates_tokens=318, total_tokens=10172
2025-11-21T17:52:41.459897 | expert_interviews_288 | chunk 12 | prompt_tokens=14512, candidates_tokens=273, total_tokens=15620
2025-11-21T17:53:18.469507 | expert_interviews_288 | chunk 13 | prompt_tokens=10435, candidates_tokens=199, total_tokens=10950
2025-11-21T17:53:31.139444 | expert_interviews_288 | chunk 14 | prompt_tokens=7745, candidates_tokens=342, total_tokens=8656
2025-11-21T17:53:38.530306 | expert_interviews_498 | chunk 0 | prompt_tokens=3941, candidates_tokens=117, total_tokens=4304
2025-11-21T17:53:49.172030 | expert_interviews_498 | chunk 1 | prompt_tokens=6588, candidates_tokens=143, total_tokens=7187
2025-11-21T17:53:56.899291 | expert_interviews_498 | chunk 2 | prompt_tokens=5123, candidates_tokens=115, total_tokens=5395
