2025-11-21T19:43:23.755969 | film_trailers_327 | chunk 0 | prompt_tokens=7054, candidates_tokens=270, total_tokens=7920
2025-11-21T19:43:58.122017 | film_trailers_327 | chunk 1 | prompt_tokens=13380, candidates_tokens=226, total_tokens=14149
2025-11-21T19:44:43.489615 | film_trailers_327 | chunk 2 | prompt_tokens=11299, candidates_tokens=415, total_tokens=12506
2025-11-21T19:45:33.142013 | film_trailers_327 | chunk 3 | prompt_tokens=17883, candidates_tokens=354, total_tokens=18850
2025-11-21T19:45:57.828944 | film_trailers_327 | chunk 4 | prompt_tokens=7903, candidates_tokens=172, total_tokens=8518
2025-11-21T19:46:22.990880 | film_trailers_327 | chunk 5 | prompt_tokens=7387, candidates_tokens=238, total_tokens=8079
2025-11-21T19:46:39.294284 | film_trailers_327 | chunk 6 | prompt_tokens=2834, candidates_tokens=217, total_tokens=3342
2025-11-21T19:47:00.050522 | film_trailers_327 | chunk 7 | prompt_tokens=8311, candidates_tokens=330, total_tokens=9325
2025-11-21T19:47:37.252756 | film_trailers_327 | chunk 8 | prompt_tokens=13613, candidates_tokens=211, total_tokens=16152
2025-11-21T19:48:07.714753 | film_trailers_327 | chunk 9 | prompt_tokens=15159, candidates_tokens=310, total_tokens=16576
2025-11-21T19:48:23.239559 | film_trailers_327 | chunk 10 | prompt_tokens=3783, candidates_tokens=125, total_tokens=4218
2025-11-21T19:48:48.483378 | film_trailers_327 | chunk 11 | prompt_tokens=5764, candidates_tokens=230, total_tokens=6386
2025-11-21T19:49:25.812646 | film_trailers_351 | chunk 0 | prompt_tokens=13674, candidates_tokens=208, total_tokens=16372
2025-11-21T19:49:43.269241 | film_trailers_351 | chunk 1 | prompt_tokens=4299, candidates_tokens=145, total_tokens=4733
2025-11-21T19:50:11.630727 | film_trailers_351 | chunk 2 | prompt_tokens=11682, candidates_tokens=191, total_tokens=12517
2025-11-21T19:50:34.975400 | film_trailers_351 | chunk 3 | prompt_tokens=6280, candidates_tokens=265, total_tokens=7585
2025-11-21T19:51:20.169463 | film_trailers_351 | chunk 4 | prompt_tokens=22361, candidates_tokens=214, total_tokens=23346
2025-11-21T19:52:01.757643 | film_trailers_351 | chunk 5 | prompt_tokens=19065, candidates_tokens=198, total_tokens=20013
2025-11-21T19:52:22.493060 | film_trailers_351 | chunk 6 | prompt_tokens=5714, candidates_tokens=213, total_tokens=6575
2025-11-21T19:53:04.574498 | film_trailers_351 | chunk 7 | prompt_tokens=19277, candidates_tokens=304, total_tokens=20279
2025-11-21T19:53:51.112239 | film_trailers_351 | chunk 8 | prompt_tokens=12216, candidates_tokens=256, total_tokens=13512
2025-11-21T19:54:30.545010 | film_trailers_351 | chunk 9 | prompt_tokens=17292, candidates_tokens=242, total_tokens=18315
2025-11-21T19:54:58.674918 | film_trailers_351 | chunk 10 | prompt_tokens=11141, candidates_tokens=176, total_tokens=11687
2025-11-21T19:55:54.493666 | film_trailers_689 | chunk 0 | prompt_tokens=16701, candidates_tokens=387, total_tokens=17776
2025-11-21T19:56:21.298874 | film_trailers_689 | chunk 1 | prompt_tokens=9443, candidates_tokens=331, total_tokens=10344
2025-11-21T19:56:48.646620 | film_trailers_689 | chunk 2 | prompt_tokens=6305, candidates_tokens=266, total_tokens=7211
2025-11-21T19:58:11.210024 | film_trailers_689 | chunk 3 | prompt_tokens=23260, candidates_tokens=281, total_tokens=25103
2025-11-21T19:58:41.848019 | film_trailers_689 | chunk 4 | prompt_tokens=2763, candidates_tokens=155, total_tokens=3409
2025-11-21T19:59:28.341824 | film_trailers_689 | chunk 5 | prompt_tokens=8544, candidates_tokens=379, total_tokens=11187
2025-11-21T20:00:35.127526 | film_trailers_689 | chunk 6 | prompt_tokens=17084, candidates_tokens=530, total_tokens=18240
2025-11-21T20:02:06.200850 | film_trailers_689 | chunk 7 | prompt_tokens=26090, candidates_tokens=373, total_tokens=27227
2025-11-21T20:02:31.181630 | film_trailers_689 | chunk 8 | prompt_tokens=6563, candidates_tokens=283, total_tokens=7788
2025-11-21T20:02:49.457719 | film_trailers_689 | chunk 9 | prompt_tokens=4890, candidates_tokens=274, total_tokens=5723
2025-11-21T20:03:14.191437 | film_trailers_689 | chunk 10 | prompt_tokens=5431, candidates_tokens=388, total_tokens=7067
2025-11-21T20:03:41.127063 | film_trailers_689 | chunk 11 | prompt_tokens=7462, candidates_tokens=270, total_tokens=8131
