2025-11-21T17:47:21.753677 | hiking_227 | chunk 0 | prompt_tokens=16726, candidates_tokens=129, total_tokens=17090
2025-11-21T17:47:33.439122 | hiking_227 | chunk 1 | prompt_tokens=8261, candidates_tokens=172, total_tokens=8685
2025-11-21T17:47:42.860491 | hiking_227 | chunk 2 | prompt_tokens=2859, candidates_tokens=251, total_tokens=3686
2025-11-21T17:47:53.154329 | hiking_227 | chunk 3 | prompt_tokens=6871, candidates_tokens=178, total_tokens=7460
2025-11-21T17:48:23.913084 | hiking_227 | chunk 4 | prompt_tokens=8085, candidates_tokens=213, total_tokens=8888
2025-11-21T17:48:45.000864 | hiking_227 | chunk 5 | prompt_tokens=24109, candidates_tokens=341, total_tokens=25582
2025-11-21T17:49:03.483914 | hiking_227 | chunk 6 | prompt_tokens=18241, candidates_tokens=264, total_tokens=19241
2025-11-21T17:49:38.649736 | hiking_227 | chunk 7 | prompt_tokens=13110, candidates_tokens=298, total_tokens=13940
2025-11-21T17:50:11.709784 | hiking_227 | chunk 8 | prompt_tokens=5116, candidates_tokens=228, total_tokens=5721
2025-11-21T17:50:22.975619 | hiking_227 | chunk 9 | prompt_tokens=9934, candidates_tokens=213, total_tokens=10618
2025-11-21T17:50:38.313716 | hiking_227 | chunk 10 | prompt_tokens=12248, candidates_tokens=301, total_tokens=13440
2025-11-21T17:50:49.034654 | hiking_227 | chunk 11 | prompt_tokens=6588, candidates_tokens=236, total_tokens=7189
2025-11-21T17:51:24.180085 | hiking_227 | chunk 12 | prompt_tokens=14559, candidates_tokens=298, total_tokens=15392
2025-11-21T17:51:39.314464 | hiking_153 | chunk 0 | prompt_tokens=8186, candidates_tokens=279, total_tokens=9190
2025-11-21T17:51:51.356828 | hiking_153 | chunk 1 | prompt_tokens=7412, candidates_tokens=100, total_tokens=7870
2025-11-21T17:52:05.668602 | hiking_153 | chunk 2 | prompt_tokens=13122, candidates_tokens=232, total_tokens=13826
2025-11-21T17:52:19.678536 | hiking_153 | chunk 3 | prompt_tokens=7129, candidates_tokens=200, total_tokens=7922
2025-11-21T17:52:29.758314 | hiking_153 | chunk 4 | prompt_tokens=7437, candidates_tokens=144, total_tokens=7748
2025-11-21T17:52:48.610572 | hiking_153 | chunk 5 | prompt_tokens=9726, candidates_tokens=174, total_tokens=10419
2025-11-21T17:53:01.114599 | hiking_153 | chunk 6 | prompt_tokens=7362, candidates_tokens=157, total_tokens=7932
2025-11-21T17:53:21.284256 | hiking_153 | chunk 7 | prompt_tokens=23851, candidates_tokens=214, total_tokens=24508
2025-11-21T17:53:31.965712 | hiking_153 | chunk 8 | prompt_tokens=2626, candidates_tokens=234, total_tokens=3378
2025-11-21T17:53:44.780795 | hiking_153 | chunk 9 | prompt_tokens=5739, candidates_tokens=269, total_tokens=6791
2025-11-21T17:54:17.482149 | hiking_153 | chunk 10 | prompt_tokens=3958, candidates_tokens=123, total_tokens=4334
2025-11-21T17:54:38.799962 | hiking_153 | chunk 11 | prompt_tokens=7181, candidates_tokens=156, total_tokens=7678
2025-11-21T17:54:55.195781 | hiking_153 | chunk 12 | prompt_tokens=10217, candidates_tokens=348, total_tokens=11218
2025-11-21T17:55:14.009069 | hiking_153 | chunk 13 | prompt_tokens=8569, candidates_tokens=125, total_tokens=9244
2025-11-21T17:55:29.480518 | hiking_153 | chunk 14 | prompt_tokens=4041, candidates_tokens=149, total_tokens=4997
2025-11-21T17:56:00.253213 | hiking_153 | chunk 15 | prompt_tokens=15155, candidates_tokens=354, total_tokens=16118
2025-11-21T17:56:14.887774 | hiking_153 | chunk 16 | prompt_tokens=9443, candidates_tokens=298, total_tokens=10427
2025-11-21T17:56:47.254801 | hiking_153 | chunk 17 | prompt_tokens=19580, candidates_tokens=329, total_tokens=20665
2025-11-21T17:57:20.478960 | hiking_202 | chunk 0 | prompt_tokens=14978, candidates_tokens=211, total_tokens=15956
2025-11-21T17:57:29.925289 | hiking_202 | chunk 1 | prompt_tokens=8311, candidates_tokens=124, total_tokens=8645
2025-11-21T17:58:04.007792 | hiking_202 | chunk 2 | prompt_tokens=29536, candidates_tokens=338, total_tokens=30642
2025-11-21T17:58:18.014369 | hiking_202 | chunk 3 | prompt_tokens=11066, candidates_tokens=213, total_tokens=11608
2025-11-21T17:58:46.615650 | hiking_202 | chunk 4 | prompt_tokens=8077, candidates_tokens=143, total_tokens=8586
2025-11-21T17:59:11.157633 | hiking_202 | chunk 5 | prompt_tokens=5128, candidates_tokens=116, total_tokens=5637
2025-11-21T17:59:36.122274 | hiking_202 | chunk 6 | prompt_tokens=11927, candidates_tokens=144, total_tokens=12272
2025-11-21T18:00:02.286309 | hiking_202 | chunk 7 | prompt_tokens=8090, candidates_tokens=328, total_tokens=8806
2025-11-21T18:00:25.966095 | hiking_202 | chunk 8 | prompt_tokens=7772, candidates_tokens=239, total_tokens=8517
2025-11-21T18:00:45.924926 | hiking_202 | chunk 9 | prompt_tokens=15361, candidates_tokens=227, total_tokens=16201
2025-11-21T18:01:03.116923 | hiking_202 | chunk 10 | prompt_tokens=10833, candidates_tokens=329, total_tokens=11718
