2025-11-21T18:24:19.561377 | physics_410 | chunk 0 | prompt_tokens=11166, candidates_tokens=139, total_tokens=11515
2025-11-21T18:24:25.750525 | physics_410 | chunk 1 | prompt_tokens=5714, candidates_tokens=82, total_tokens=5950
2025-11-21T18:24:33.994723 | physics_410 | chunk 2 | prompt_tokens=9726, candidates_tokens=86, total_tokens=9973
2025-11-21T18:24:48.103227 | physics_410 | chunk 3 | prompt_tokens=18141, candidates_tokens=203, total_tokens=18634
2025-11-21T18:25:26.336094 | physics_410 | chunk 4 | prompt_tokens=16329, candidates_tokens=305, total_tokens=17155
2025-11-21T18:25:42.351634 | physics_410 | chunk 5 | prompt_tokens=23185, candidates_tokens=133, total_tokens=23684
2025-11-21T18:25:55.246762 | physics_410 | chunk 6 | prompt_tokens=19814, candidates_tokens=273, total_tokens=20481
2025-11-21T18:26:03.559389 | physics_410 | chunk 7 | prompt_tokens=3400, candidates_tokens=198, total_tokens=3936
2025-11-21T18:26:17.620495 | physics_410 | chunk 8 | prompt_tokens=13896, candidates_tokens=291, total_tokens=14669
2025-11-21T18:26:26.691547 | physics_410 | chunk 9 | prompt_tokens=2293, candidates_tokens=268, total_tokens=2855
2025-11-21T18:26:38.427281 | physics_532 | chunk 0 | prompt_tokens=3217, candidates_tokens=318, total_tokens=4183
2025-11-21T18:26:50.278479 | physics_532 | chunk 1 | prompt_tokens=5664, candidates_tokens=372, total_tokens=6548
2025-11-21T18:27:07.786832 | physics_532 | chunk 2 | prompt_tokens=16235, candidates_tokens=413, total_tokens=17497
2025-11-21T18:27:17.088616 | physics_532 | chunk 3 | prompt_tokens=3683, candidates_tokens=317, total_tokens=4231
2025-11-21T18:27:30.083982 | physics_532 | chunk 4 | prompt_tokens=14795, candidates_tokens=172, total_tokens=15151
2025-11-21T18:27:44.188332 | physics_532 | chunk 5 | prompt_tokens=3425, candidates_tokens=520, total_tokens=4740
2025-11-21T18:28:00.407864 | physics_532 | chunk 6 | prompt_tokens=9934, candidates_tokens=252, total_tokens=11016
2025-11-21T18:28:14.552629 | physics_532 | chunk 7 | prompt_tokens=10550, candidates_tokens=382, total_tokens=11436
2025-11-21T18:28:33.771003 | physics_532 | chunk 8 | prompt_tokens=17267, candidates_tokens=386, total_tokens=18816
2025-11-21T18:29:06.899426 | physics_532 | chunk 9 | prompt_tokens=23706, candidates_tokens=281, total_tokens=24969
2025-11-21T18:29:39.030122 | physics_532 | chunk 10 | prompt_tokens=41698, candidates_tokens=489, total_tokens=43981
2025-11-21T18:29:57.497530 | physics_532 | chunk 11 | prompt_tokens=11965, candidates_tokens=688, total_tokens=13875
2025-11-21T18:30:11.605569 | physics_532 | chunk 12 | prompt_tokens=11632, candidates_tokens=174, total_tokens=12268
2025-11-21T18:30:20.730313 | physics_594 | chunk 0 | prompt_tokens=3400, candidates_tokens=133, total_tokens=3849
2025-11-21T18:30:32.172106 | physics_594 | chunk 1 | prompt_tokens=3142, candidates_tokens=245, total_tokens=3701
2025-11-21T18:31:08.504912 | physics_594 | chunk 2 | prompt_tokens=11907, candidates_tokens=193, total_tokens=12432
2025-11-21T18:31:24.146523 | physics_594 | chunk 3 | prompt_tokens=11632, candidates_tokens=213, total_tokens=12356
2025-11-21T18:31:44.270984 | physics_594 | chunk 4 | prompt_tokens=7129, candidates_tokens=131, total_tokens=7759
2025-11-21T18:31:58.651090 | physics_594 | chunk 5 | prompt_tokens=3733, candidates_tokens=223, total_tokens=4664
2025-11-21T18:32:16.787205 | physics_594 | chunk 6 | prompt_tokens=6280, candidates_tokens=208, total_tokens=6850
2025-11-21T18:32:25.558739 | physics_594 | chunk 7 | prompt_tokens=5123, candidates_tokens=136, total_tokens=5490
2025-11-21T18:32:58.107594 | physics_594 | chunk 8 | prompt_tokens=21820, candidates_tokens=264, total_tokens=22513
2025-11-21T18:33:26.668872 | physics_594 | chunk 9 | prompt_tokens=11632, candidates_tokens=243, total_tokens=12417
2025-11-21T18:34:03.195844 | physics_594 | chunk 10 | prompt_tokens=7496, candidates_tokens=232, total_tokens=8067
2025-11-21T18:34:25.182223 | physics_594 | chunk 11 | prompt_tokens=15594, candidates_tokens=251, total_tokens=16141
2025-11-21T18:34:46.752418 | physics_594 | chunk 12 | prompt_tokens=10500, candidates_tokens=212, total_tokens=11163
2025-11-21T18:35:28.164736 | physics_594 | chunk 13 | prompt_tokens=22236, candidates_tokens=189, total_tokens=22693
2025-11-21T18:35:38.074053 | physics_140 | chunk 0 | prompt_tokens=9318, candidates_tokens=114, total_tokens=9602
2025-11-21T18:35:56.165726 | physics_140 | chunk 1 | prompt_tokens=11299, candidates_tokens=349, total_tokens=12586
2025-11-21T18:36:33.555468 | physics_140 | chunk 2 | prompt_tokens=15594, candidates_tokens=417, total_tokens=17286
2025-11-21T18:36:53.247583 | physics_140 | chunk 3 | prompt_tokens=7953, candidates_tokens=394, total_tokens=9869
2025-11-21T18:37:13.017702 | physics_140 | chunk 4 | prompt_tokens=16726, candidates_tokens=322, total_tokens=18034
2025-11-21T18:37:27.182881 | physics_140 | chunk 5 | prompt_tokens=14154, candidates_tokens=323, total_tokens=14997
2025-11-21T18:37:41.682544 | physics_140 | chunk 6 | prompt_tokens=8261, candidates_tokens=136, total_tokens=9116
2025-11-21T18:38:01.231337 | physics_140 | chunk 7 | prompt_tokens=22411, candidates_tokens=276, total_tokens=23247
2025-11-21T18:38:25.077042 | physics_140 | chunk 8 | prompt_tokens=11424, candidates_tokens=442, total_tokens=13594
2025-11-21T18:38:45.997704 | physics_140 | chunk 9 | prompt_tokens=12764, candidates_tokens=514, total_tokens=14506
2025-11-21T18:39:19.097977 | physics_140 | chunk 10 | prompt_tokens=5123, candidates_tokens=262, total_tokens=5667
2025-11-21T18:39:29.245478 | physics_140 | chunk 11 | prompt_tokens=2010, candidates_tokens=221, total_tokens=2713
2025-11-21T18:39:49.737781 | physics_140 | chunk 12 | prompt_tokens=7801, candidates_tokens=298, total_tokens=8799
2025-11-21T18:40:10.163859 | physics_140 | chunk 13 | prompt_tokens=12739, candidates_tokens=778, total_tokens=14721
2025-11-21T18:40:35.170534 | physics_457 | chunk 0 | prompt_tokens=10433, candidates_tokens=133, total_tokens=10902
2025-11-21T18:41:00.849075 | physics_457 | chunk 1 | prompt_tokens=21870, candidates_tokens=566, total_tokens=23282
2025-11-21T18:41:16.037284 | physics_457 | chunk 2 | prompt_tokens=5506, candidates_tokens=554, total_tokens=7408
2025-11-21T18:41:30.665820 | physics_457 | chunk 3 | prompt_tokens=9701, candidates_tokens=323, total_tokens=10498
2025-11-21T18:41:50.318901 | physics_457 | chunk 4 | prompt_tokens=14512, candidates_tokens=414, total_tokens=16300
2025-11-21T18:42:00.481804 | physics_457 | chunk 5 | prompt_tokens=5356, candidates_tokens=273, total_tokens=6270
2025-11-21T18:42:13.300500 | physics_457 | chunk 6 | prompt_tokens=11116, candidates_tokens=231, total_tokens=11774
2025-11-21T18:42:33.870635 | physics_457 | chunk 7 | prompt_tokens=22977, candidates_tokens=316, total_tokens=23663
2025-11-21T18:43:00.892019 | physics_457 | chunk 8 | prompt_tokens=20172, candidates_tokens=403, total_tokens=21214
2025-11-21T18:43:12.579624 | physics_457 | chunk 9 | prompt_tokens=8877, candidates_tokens=189, total_tokens=9624
2025-11-21T18:43:31.227195 | physics_457 | chunk 10 | prompt_tokens=12456, candidates_tokens=181, total_tokens=13104
2025-11-21T18:44:00.973762 | physics_564 | chunk 0 | prompt_tokens=10736, candidates_tokens=244, total_tokens=11339
2025-11-21T18:44:21.810752 | physics_564 | chunk 1 | prompt_tokens=17908, candidates_tokens=258, total_tokens=18699
2025-11-21T18:44:52.952896 | physics_564 | chunk 2 | prompt_tokens=23002, candidates_tokens=464, total_tokens=23938
2025-11-21T18:45:08.589735 | physics_564 | chunk 3 | prompt_tokens=5356, candidates_tokens=210, total_tokens=5987
2025-11-21T18:45:30.897601 | physics_564 | chunk 4 | prompt_tokens=3142, candidates_tokens=163, total_tokens=3693
2025-11-21T18:45:49.947022 | physics_564 | chunk 5 | prompt_tokens=11707, candidates_tokens=296, total_tokens=12843
2025-11-21T18:46:05.044877 | physics_564 | chunk 6 | prompt_tokens=3192, candidates_tokens=249, total_tokens=4280
2025-11-21T18:46:18.721843 | physics_564 | chunk 7 | prompt_tokens=3966, candidates_tokens=219, total_tokens=4879
2025-11-21T18:46:33.096395 | physics_564 | chunk 8 | prompt_tokens=5739, candidates_tokens=228, total_tokens=6732
2025-11-21T18:47:14.883032 | physics_564 | chunk 9 | prompt_tokens=21021, candidates_tokens=163, total_tokens=21453
2025-11-21T18:47:34.016663 | physics_564 | chunk 10 | prompt_tokens=9418, candidates_tokens=245, total_tokens=10024
2025-11-21T18:47:57.098068 | physics_564 | chunk 11 | prompt_tokens=17550, candidates_tokens=174, total_tokens=18002
2025-11-21T18:48:16.660101 | physics_564 | chunk 12 | prompt_tokens=14869, candidates_tokens=387, total_tokens=16188
2025-11-21T18:48:32.267683 | physics_326 | chunk 0 | prompt_tokens=16393, candidates_tokens=78, total_tokens=16680
2025-11-21T18:48:54.833290 | physics_326 | chunk 1 | prompt_tokens=18782, candidates_tokens=805, total_tokens=20269
2025-11-21T18:49:14.729920 | physics_326 | chunk 2 | prompt_tokens=15739, candidates_tokens=156, total_tokens=16083
2025-11-21T18:49:35.836330 | physics_326 | chunk 3 | prompt_tokens=10758, candidates_tokens=738, total_tokens=12791
2025-11-21T18:50:04.194695 | physics_326 | chunk 4 | prompt_tokens=30851, candidates_tokens=1297, total_tokens=32868
2025-11-21T18:50:31.955192 | physics_326 | chunk 5 | prompt_tokens=16185, candidates_tokens=671, total_tokens=17533
2025-11-21T18:51:07.915929 | physics_326 | chunk 6 | prompt_tokens=23285, candidates_tokens=614, total_tokens=25420
2025-11-21T18:51:28.892465 | physics_326 | chunk 7 | prompt_tokens=7079, candidates_tokens=318, total_tokens=8040
2025-11-21T18:51:47.312880 | physics_326 | chunk 8 | prompt_tokens=12814, candidates_tokens=374, total_tokens=13740
2025-11-21T18:52:09.267766 | physics_326 | chunk 9 | prompt_tokens=7953, candidates_tokens=384, total_tokens=8847
2025-11-21T18:52:43.485043 | physics_326 | chunk 10 | prompt_tokens=16443, candidates_tokens=416, total_tokens=17860
2025-11-21T18:53:01.460061 | physics_427 | chunk 0 | prompt_tokens=10192, candidates_tokens=295, total_tokens=10982
2025-11-21T18:53:16.511080 | physics_427 | chunk 1 | prompt_tokens=9726, candidates_tokens=174, total_tokens=10323
2025-11-21T18:53:35.548464 | physics_427 | chunk 2 | prompt_tokens=15053, candidates_tokens=222, total_tokens=15631
2025-11-21T18:54:10.595841 | physics_427 | chunk 3 | prompt_tokens=17267, candidates_tokens=234, total_tokens=18035
2025-11-21T18:54:31.374509 | physics_427 | chunk 4 | prompt_tokens=17600, candidates_tokens=232, total_tokens=18156
2025-11-21T18:54:52.027587 | physics_427 | chunk 5 | prompt_tokens=8877, candidates_tokens=348, total_tokens=9707
