2025-11-21T00:10:31.029709 | ai_concepts_257 | chunk 0 | prompt_tokens=1161, candidates_tokens=175, total_tokens=1336
2025-11-21T00:10:44.631704 | ai_concepts_257 | chunk 1 | prompt_tokens=13097, candidates_tokens=178, total_tokens=13275
2025-11-21T00:10:58.156663 | ai_concepts_257 | chunk 2 | prompt_tokens=23568, candidates_tokens=221, total_tokens=23789
2025-11-21T00:11:14.150772 | ai_concepts_257 | chunk 3 | prompt_tokens=18732, candidates_tokens=218, total_tokens=18950
2025-11-21T00:11:27.468680 | ai_concepts_257 | chunk 4 | prompt_tokens=15877, candidates_tokens=262, total_tokens=16139
2025-11-21T00:11:40.737016 | ai_concepts_257 | chunk 5 | prompt_tokens=14487, candidates_tokens=205, total_tokens=14692
2025-11-21T00:11:46.605496 | ai_concepts_257 | chunk 6 | prompt_tokens=2035, candidates_tokens=157, total_tokens=2192
2025-11-21T00:11:57.572331 | ai_concepts_257 | chunk 7 | prompt_tokens=7104, candidates_tokens=181, total_tokens=7285
2025-11-21T00:12:14.736584 | ai_concepts_257 | chunk 8 | prompt_tokens=15902, candidates_tokens=251, total_tokens=16153
2025-11-21T00:12:29.212849 | ai_concepts_257 | chunk 9 | prompt_tokens=6821, candidates_tokens=219, total_tokens=7040
2025-11-21T00:12:46.314714 | ai_concepts_257 | chunk 10 | prompt_tokens=11066, candidates_tokens=229, total_tokens=11295
2025-11-21T00:12:57.014306 | ai_concepts_257 | chunk 11 | prompt_tokens=15877, candidates_tokens=204, total_tokens=16081
2025-11-21T00:13:05.691095 | ai_concepts_257 | chunk 12 | prompt_tokens=9393, candidates_tokens=226, total_tokens=9619
2025-11-21T00:13:18.800911 | ai_concepts_257 | chunk 13 | prompt_tokens=10758, candidates_tokens=159, total_tokens=10917
2025-11-21T00:13:29.661898 | ai_concepts_257 | chunk 14 | prompt_tokens=6513, candidates_tokens=151, total_tokens=6664
2025-11-21T00:13:46.488891 | ai_concepts_198 | chunk 0 | prompt_tokens=11890, candidates_tokens=417, total_tokens=12307
2025-11-21T00:14:11.506214 | ai_concepts_198 | chunk 1 | prompt_tokens=25316, candidates_tokens=210, total_tokens=25526
2025-11-21T00:14:22.603390 | ai_concepts_198 | chunk 2 | prompt_tokens=13380, candidates_tokens=234, total_tokens=13614
2025-11-21T00:14:32.435823 | ai_concepts_198 | chunk 3 | prompt_tokens=3783, candidates_tokens=219, total_tokens=4002
2025-11-21T00:14:55.578430 | ai_concepts_198 | chunk 4 | prompt_tokens=9626, candidates_tokens=279, total_tokens=9905
2025-11-21T00:15:08.749826 | ai_concepts_198 | chunk 5 | prompt_tokens=10217, candidates_tokens=273, total_tokens=10490
2025-11-21T00:15:19.407257 | ai_concepts_198 | chunk 6 | prompt_tokens=9393, candidates_tokens=199, total_tokens=9592
2025-11-21T00:15:27.128810 | ai_concepts_198 | chunk 7 | prompt_tokens=5073, candidates_tokens=203, total_tokens=5276
2025-11-21T00:15:35.773966 | ai_concepts_198 | chunk 8 | prompt_tokens=5098, candidates_tokens=151, total_tokens=5249
2025-11-21T00:15:50.565326 | ai_concepts_198 | chunk 9 | prompt_tokens=11066, candidates_tokens=181, total_tokens=11247
2025-11-21T00:16:00.881650 | ai_concepts_198 | chunk 10 | prompt_tokens=6330, candidates_tokens=179, total_tokens=6509
2025-11-21T00:16:25.948511 | ai_concepts_198 | chunk 11 | prompt_tokens=22436, candidates_tokens=266, total_tokens=22702
2025-11-21T00:16:37.961058 | ai_concepts_132 | chunk 0 | prompt_tokens=7645, candidates_tokens=235, total_tokens=7880
2025-11-21T00:16:49.722386 | ai_concepts_132 | chunk 1 | prompt_tokens=7953, candidates_tokens=167, total_tokens=8120
2025-11-21T00:17:01.305541 | ai_concepts_132 | chunk 2 | prompt_tokens=7129, candidates_tokens=217, total_tokens=7346
2025-11-21T00:17:17.235917 | ai_concepts_132 | chunk 3 | prompt_tokens=14562, candidates_tokens=192, total_tokens=14754
2025-11-21T00:17:28.606314 | ai_concepts_132 | chunk 4 | prompt_tokens=6230, candidates_tokens=196, total_tokens=6426
2025-11-21T00:17:38.035878 | ai_concepts_132 | chunk 5 | prompt_tokens=3425, candidates_tokens=176, total_tokens=3601
2025-11-21T00:17:50.598896 | ai_concepts_132 | chunk 6 | prompt_tokens=9651, candidates_tokens=221, total_tokens=9872
2025-11-21T00:18:04.557771 | ai_concepts_132 | chunk 7 | prompt_tokens=13380, candidates_tokens=200, total_tokens=13580
2025-11-21T00:18:15.161249 | ai_concepts_132 | chunk 8 | prompt_tokens=11607, candidates_tokens=206, total_tokens=11813
2025-11-21T00:18:28.095548 | ai_concepts_132 | chunk 9 | prompt_tokens=19789, candidates_tokens=266, total_tokens=20055
2025-11-21T00:18:39.386483 | ai_concepts_132 | chunk 10 | prompt_tokens=16801, candidates_tokens=230, total_tokens=17031
2025-11-21T00:18:54.369774 | ai_concepts_132 | chunk 11 | prompt_tokens=15927, candidates_tokens=188, total_tokens=16115
2025-11-21T00:19:01.438482 | ai_concepts_132 | chunk 12 | prompt_tokens=3400, candidates_tokens=189, total_tokens=3589
2025-11-21T00:19:08.558147 | ai_concepts_132 | chunk 13 | prompt_tokens=645, candidates_tokens=139, total_tokens=784
2025-11-21T00:19:16.778371 | ai_concepts_258 | chunk 0 | prompt_tokens=12714, candidates_tokens=231, total_tokens=12945
2025-11-21T00:19:28.954376 | ai_concepts_258 | chunk 1 | prompt_tokens=19631, candidates_tokens=185, total_tokens=19816
2025-11-21T00:19:39.787085 | ai_concepts_258 | chunk 2 | prompt_tokens=13946, candidates_tokens=260, total_tokens=14206
2025-11-21T00:19:49.861399 | ai_concepts_258 | chunk 3 | prompt_tokens=9135, candidates_tokens=220, total_tokens=9355
2025-11-21T00:19:58.561115 | ai_concepts_258 | chunk 4 | prompt_tokens=12198, candidates_tokens=216, total_tokens=12414
2025-11-21T00:20:08.013325 | ai_concepts_258 | chunk 5 | prompt_tokens=7129, candidates_tokens=258, total_tokens=7387
2025-11-21T00:20:17.358402 | ai_concepts_258 | chunk 6 | prompt_tokens=13405, candidates_tokens=229, total_tokens=13634
2025-11-21T00:20:24.821108 | ai_concepts_258 | chunk 7 | prompt_tokens=4815, candidates_tokens=161, total_tokens=4976
2025-11-21T00:20:34.342277 | ai_concepts_258 | chunk 8 | prompt_tokens=8777, candidates_tokens=251, total_tokens=9028
2025-11-21T00:20:45.502129 | ai_concepts_258 | chunk 9 | prompt_tokens=15003, candidates_tokens=271, total_tokens=15274
