2025-11-21T01:36:30.347661 | expert_interviews_466 | chunk 0 | prompt_tokens=8802, candidates_tokens=214, total_tokens=9016
2025-11-21T01:36:38.348573 | expert_interviews_466 | chunk 1 | prompt_tokens=8003, candidates_tokens=186, total_tokens=8189
2025-11-21T01:38:14.430288 | expert_interviews_466 | chunk 2 | prompt_tokens=5098, candidates_tokens=175, total_tokens=5273
2025-11-21T01:38:28.928813 | expert_interviews_466 | chunk 3 | prompt_tokens=10475, candidates_tokens=218, total_tokens=10693
2025-11-21T01:38:37.581040 | expert_interviews_466 | chunk 4 | prompt_tokens=2060, candidates_tokens=164, total_tokens=2224
2025-11-21T01:39:07.200617 | expert_interviews_466 | chunk 5 | prompt_tokens=21279, candidates_tokens=171, total_tokens=21450
2025-11-21T01:39:13.956346 | expert_interviews_466 | chunk 6 | prompt_tokens=9701, candidates_tokens=120, total_tokens=9821
2025-11-21T01:39:22.812988 | expert_interviews_466 | chunk 7 | prompt_tokens=14462, candidates_tokens=210, total_tokens=14672
2025-11-21T01:39:33.162578 | expert_interviews_466 | chunk 8 | prompt_tokens=17317, candidates_tokens=302, total_tokens=17619
2025-11-21T01:39:38.798630 | expert_interviews_466 | chunk 9 | prompt_tokens=3450, candidates_tokens=110, total_tokens=3560
2025-11-21T01:39:45.543320 | expert_interviews_466 | chunk 10 | prompt_tokens=5406, candidates_tokens=126, total_tokens=5532
2025-11-21T01:39:52.462686 | expert_interviews_466 | chunk 11 | prompt_tokens=5714, candidates_tokens=191, total_tokens=5905
2025-11-21T01:40:00.169725 | expert_interviews_466 | chunk 12 | prompt_tokens=9135, candidates_tokens=194, total_tokens=9329
2025-11-21T01:40:11.289565 | expert_interviews_466 | chunk 13 | prompt_tokens=19864, candidates_tokens=288, total_tokens=20152
2025-11-21T01:40:41.563928 | expert_interviews_449 | chunk 0 | prompt_tokens=17084, candidates_tokens=220, total_tokens=17304
2025-11-21T01:40:50.184759 | expert_interviews_449 | chunk 1 | prompt_tokens=11324, candidates_tokens=112, total_tokens=11436
2025-11-21T01:40:56.841823 | expert_interviews_449 | chunk 2 | prompt_tokens=6538, candidates_tokens=146, total_tokens=6684
2025-11-21T01:41:22.253620 | expert_interviews_449 | chunk 3 | prompt_tokens=5406, candidates_tokens=106, total_tokens=5512
2025-11-21T01:41:29.383620 | expert_interviews_449 | chunk 4 | prompt_tokens=2343, candidates_tokens=131, total_tokens=2474
