2025-11-20T22:44:35.167080 | film_trailers_73 | chunk 0 | prompt_tokens=11582, candidates_tokens=236, total_tokens=11818
2025-11-20T22:44:46.995356 | film_trailers_73 | chunk 1 | prompt_tokens=8827, candidates_tokens=169, total_tokens=8996
2025-11-20T22:45:04.112100 | film_trailers_73 | chunk 2 | prompt_tokens=12839, candidates_tokens=190, total_tokens=13029
2025-11-20T22:45:13.672328 | film_trailers_73 | chunk 3 | prompt_tokens=9160, candidates_tokens=142, total_tokens=9302
2025-11-20T22:45:24.605089 | film_trailers_73 | chunk 4 | prompt_tokens=7129, candidates_tokens=130, total_tokens=7259
2025-11-20T22:45:51.224719 | film_trailers_73 | chunk 5 | prompt_tokens=17059, candidates_tokens=212, total_tokens=17271
2025-11-20T22:46:08.223251 | film_trailers_73 | chunk 6 | prompt_tokens=12481, candidates_tokens=204, total_tokens=12685
2025-11-20T22:46:34.033884 | film_trailers_73 | chunk 7 | prompt_tokens=30668, candidates_tokens=274, total_tokens=30942
2025-11-20T22:47:01.964467 | film_trailers_73 | chunk 8 | prompt_tokens=19839, candidates_tokens=218, total_tokens=20057
2025-11-20T22:47:08.893074 | film_trailers_73 | chunk 9 | prompt_tokens=4066, candidates_tokens=175, total_tokens=4241
2025-11-20T22:47:16.095095 | film_trailers_73 | chunk 10 | prompt_tokens=2884, candidates_tokens=165, total_tokens=3049
2025-11-20T22:47:23.887636 | film_trailers_20 | chunk 0 | prompt_tokens=3192, candidates_tokens=172, total_tokens=3364
2025-11-20T22:47:45.231489 | film_trailers_20 | chunk 1 | prompt_tokens=25191, candidates_tokens=156, total_tokens=25347
2025-11-20T22:47:57.247736 | film_trailers_20 | chunk 2 | prompt_tokens=17367, candidates_tokens=268, total_tokens=17635
2025-11-20T22:48:08.501737 | film_trailers_20 | chunk 3 | prompt_tokens=3683, candidates_tokens=346, total_tokens=4029
2025-11-20T22:48:17.197097 | film_trailers_20 | chunk 4 | prompt_tokens=8261, candidates_tokens=183, total_tokens=8444
2025-11-20T22:48:25.618030 | film_trailers_20 | chunk 5 | prompt_tokens=3708, candidates_tokens=239, total_tokens=3947
2025-11-20T22:48:33.276207 | film_trailers_20 | chunk 6 | prompt_tokens=5431, candidates_tokens=218, total_tokens=5649
2025-11-20T22:48:46.213576 | film_trailers_20 | chunk 7 | prompt_tokens=7695, candidates_tokens=200, total_tokens=7895
2025-11-20T22:48:55.412919 | film_trailers_20 | chunk 8 | prompt_tokens=6871, candidates_tokens=163, total_tokens=7034
2025-11-20T22:49:02.528776 | film_trailers_20 | chunk 9 | prompt_tokens=1777, candidates_tokens=160, total_tokens=1937
2025-11-20T22:49:22.012457 | film_trailers_20 | chunk 10 | prompt_tokens=5456, candidates_tokens=244, total_tokens=5700
2025-11-20T22:49:42.904332 | film_trailers_20 | chunk 11 | prompt_tokens=11990, candidates_tokens=445, total_tokens=12435
2025-11-20T22:50:01.614440 | film_trailers_20 | chunk 12 | prompt_tokens=21870, candidates_tokens=142, total_tokens=22012
2025-11-20T22:50:14.951198 | film_trailers_7 | chunk 0 | prompt_tokens=6488, candidates_tokens=177, total_tokens=6665
2025-11-20T22:50:29.394577 | film_trailers_7 | chunk 1 | prompt_tokens=12481, candidates_tokens=210, total_tokens=12691
2025-11-20T22:50:39.838397 | film_trailers_7 | chunk 2 | prompt_tokens=6280, candidates_tokens=148, total_tokens=6428
2025-11-20T22:50:51.176568 | film_trailers_7 | chunk 3 | prompt_tokens=5947, candidates_tokens=156, total_tokens=6103
2025-11-20T22:51:07.133644 | film_trailers_7 | chunk 4 | prompt_tokens=9060, candidates_tokens=259, total_tokens=9319
2025-11-20T22:51:17.137524 | film_trailers_7 | chunk 5 | prompt_tokens=11016, candidates_tokens=219, total_tokens=11235
2025-11-20T22:51:30.984340 | film_trailers_7 | chunk 6 | prompt_tokens=18449, candidates_tokens=257, total_tokens=18706
2025-11-20T22:51:43.079399 | film_trailers_7 | chunk 7 | prompt_tokens=13330, candidates_tokens=224, total_tokens=13554
2025-11-20T22:51:55.729830 | film_trailers_7 | chunk 8 | prompt_tokens=12173, candidates_tokens=191, total_tokens=12364
2025-11-20T22:52:09.330779 | film_trailers_7 | chunk 9 | prompt_tokens=22644, candidates_tokens=236, total_tokens=22880
2025-11-20T22:52:23.441499 | film_trailers_7 | chunk 10 | prompt_tokens=8311, candidates_tokens=214, total_tokens=8525
2025-11-20T22:52:37.907334 | film_trailers_7 | chunk 11 | prompt_tokens=11682, candidates_tokens=219, total_tokens=11901
2025-11-20T22:52:47.919859 | film_trailers_7 | chunk 12 | prompt_tokens=1777, candidates_tokens=184, total_tokens=1961
2025-11-20T22:53:37.361271 | film_trailers_7 | chunk 13 | prompt_tokens=5148, candidates_tokens=126, total_tokens=5274
2025-11-20T22:53:45.145745 | film_trailers_7 | chunk 14 | prompt_tokens=2626, candidates_tokens=154, total_tokens=2780
2025-11-20T22:54:02.116023 | film_trailers_351 | chunk 0 | prompt_tokens=11607, candidates_tokens=177, total_tokens=11784
2025-11-20T22:54:08.409660 | film_trailers_351 | chunk 1 | prompt_tokens=4299, candidates_tokens=143, total_tokens=4442
2025-11-20T22:54:25.869060 | film_trailers_351 | chunk 2 | prompt_tokens=11682, candidates_tokens=248, total_tokens=11930
2025-11-20T22:54:50.175984 | film_trailers_351 | chunk 3 | prompt_tokens=6280, candidates_tokens=199, total_tokens=6479
2025-11-20T22:56:01.443274 | film_trailers_351 | chunk 4 | prompt_tokens=22361, candidates_tokens=181, total_tokens=22542
2025-11-20T22:56:11.915007 | film_trailers_351 | chunk 5 | prompt_tokens=19065, candidates_tokens=194, total_tokens=19259
2025-11-20T23:01:22.744235 | film_trailers_351 | chunk 6 | prompt_tokens=5714, candidates_tokens=128, total_tokens=5842
2025-11-20T23:02:43.690587 | film_trailers_351 | chunk 7 | prompt_tokens=17883, candidates_tokens=223, total_tokens=18106
2025-11-20T23:02:55.710551 | film_trailers_351 | chunk 8 | prompt_tokens=11116, candidates_tokens=228, total_tokens=11344
2025-11-20T23:03:18.544515 | film_trailers_351 | chunk 9 | prompt_tokens=17292, candidates_tokens=191, total_tokens=17483
2025-11-20T23:03:44.490230 | film_trailers_351 | chunk 10 | prompt_tokens=11141, candidates_tokens=213, total_tokens=11354
2025-11-20T23:04:22.266659 | film_trailers_479 | chunk 0 | prompt_tokens=14254, candidates_tokens=251, total_tokens=14505
2025-11-20T23:04:42.705653 | film_trailers_479 | chunk 1 | prompt_tokens=26040, candidates_tokens=256, total_tokens=26296
2025-11-20T23:04:51.891030 | film_trailers_479 | chunk 2 | prompt_tokens=4532, candidates_tokens=170, total_tokens=4702
2025-11-20T23:05:11.308008 | film_trailers_479 | chunk 3 | prompt_tokens=15386, candidates_tokens=217, total_tokens=15603
2025-11-20T23:05:25.211318 | film_trailers_479 | chunk 4 | prompt_tokens=3117, candidates_tokens=168, total_tokens=3285
2025-11-20T23:05:34.203849 | film_trailers_479 | chunk 5 | prompt_tokens=4815, candidates_tokens=214, total_tokens=5029
2025-11-20T23:05:44.409803 | film_trailers_479 | chunk 6 | prompt_tokens=10192, candidates_tokens=218, total_tokens=10410
2025-11-20T23:05:56.245510 | film_trailers_479 | chunk 7 | prompt_tokens=4890, candidates_tokens=186, total_tokens=5076
2025-11-20T23:06:31.504863 | film_trailers_479 | chunk 8 | prompt_tokens=4815, candidates_tokens=222, total_tokens=5037
2025-11-20T23:06:40.798010 | film_trailers_479 | chunk 9 | prompt_tokens=4249, candidates_tokens=204, total_tokens=4453
2025-11-20T23:06:56.025511 | film_trailers_479 | chunk 10 | prompt_tokens=12273, candidates_tokens=187, total_tokens=12460
2025-11-20T23:07:14.708360 | film_trailers_479 | chunk 11 | prompt_tokens=8752, candidates_tokens=205, total_tokens=8957
2025-11-20T23:07:39.618265 | film_trailers_479 | chunk 12 | prompt_tokens=17342, candidates_tokens=294, total_tokens=17636
2025-11-20T23:07:49.161889 | film_trailers_479 | chunk 13 | prompt_tokens=5689, candidates_tokens=215, total_tokens=5904
2025-11-20T23:07:58.008523 | film_trailers_328 | chunk 0 | prompt_tokens=6513, candidates_tokens=190, total_tokens=6703
