2025-11-21T00:29:18.490083 | software_tutorials_40 | chunk 0 | prompt_tokens=8777, candidates_tokens=270, total_tokens=9047
2025-11-21T00:29:28.347429 | software_tutorials_40 | chunk 1 | prompt_tokens=3475, candidates_tokens=231, total_tokens=3706
2025-11-21T00:29:40.389144 | software_tutorials_40 | chunk 2 | prompt_tokens=9626, candidates_tokens=263, total_tokens=9889
2025-11-21T00:29:50.128466 | software_tutorials_40 | chunk 3 | prompt_tokens=5406, candidates_tokens=222, total_tokens=5628
2025-11-21T00:30:00.503028 | software_tutorials_40 | chunk 4 | prompt_tokens=4324, candidates_tokens=201, total_tokens=4525
2025-11-21T00:30:10.346766 | software_tutorials_40 | chunk 5 | prompt_tokens=8028, candidates_tokens=231, total_tokens=8259
2025-11-21T00:30:19.836174 | software_tutorials_40 | chunk 6 | prompt_tokens=5198, candidates_tokens=249, total_tokens=5447
2025-11-21T00:30:30.012225 | software_tutorials_40 | chunk 7 | prompt_tokens=7745, candidates_tokens=164, total_tokens=7909
2025-11-21T00:30:43.424970 | software_tutorials_40 | chunk 8 | prompt_tokens=5198, candidates_tokens=177, total_tokens=5375
2025-11-21T00:30:55.304201 | software_tutorials_40 | chunk 9 | prompt_tokens=10450, candidates_tokens=193, total_tokens=10643
2025-11-21T00:31:08.377037 | software_tutorials_40 | chunk 10 | prompt_tokens=14537, candidates_tokens=218, total_tokens=14755
2025-11-21T00:31:23.037683 | software_tutorials_40 | chunk 11 | prompt_tokens=16468, candidates_tokens=257, total_tokens=16725
2025-11-21T00:31:35.686463 | software_tutorials_40 | chunk 12 | prompt_tokens=13971, candidates_tokens=233, total_tokens=14204
2025-11-21T00:31:45.859551 | software_tutorials_40 | chunk 13 | prompt_tokens=8877, candidates_tokens=229, total_tokens=9106
2025-11-21T00:32:02.184068 | software_tutorials_40 | chunk 14 | prompt_tokens=25549, candidates_tokens=249, total_tokens=25798
2025-11-21T00:32:15.322065 | software_tutorials_40 | chunk 15 | prompt_tokens=15103, candidates_tokens=235, total_tokens=15338
2025-11-21T00:32:35.174911 | software_tutorials_35 | chunk 0 | prompt_tokens=11016, candidates_tokens=239, total_tokens=11255
2025-11-21T00:32:47.956577 | software_tutorials_35 | chunk 1 | prompt_tokens=15927, candidates_tokens=213, total_tokens=16140
2025-11-21T00:32:59.015004 | software_tutorials_35 | chunk 2 | prompt_tokens=9626, candidates_tokens=429, total_tokens=10055
2025-11-21T00:33:10.263197 | software_tutorials_35 | chunk 3 | prompt_tokens=14487, candidates_tokens=403, total_tokens=14890
2025-11-21T00:33:25.338220 | software_tutorials_35 | chunk 4 | prompt_tokens=25857, candidates_tokens=203, total_tokens=26060
2025-11-21T00:33:36.395112 | software_tutorials_35 | chunk 5 | prompt_tokens=19631, candidates_tokens=265, total_tokens=19896
2025-11-21T00:33:43.820833 | software_tutorials_35 | chunk 6 | prompt_tokens=1752, candidates_tokens=231, total_tokens=1983
2025-11-21T00:33:49.344129 | software_tutorials_35 | chunk 7 | prompt_tokens=2551, candidates_tokens=204, total_tokens=2755
2025-11-21T00:33:57.554614 | software_tutorials_35 | chunk 8 | prompt_tokens=4041, candidates_tokens=177, total_tokens=4218
2025-11-21T00:34:12.771699 | software_tutorials_35 | chunk 9 | prompt_tokens=17367, candidates_tokens=286, total_tokens=17653
2025-11-21T00:34:25.554645 | software_tutorials_35 | chunk 10 | prompt_tokens=10758, candidates_tokens=148, total_tokens=10906
2025-11-21T00:34:39.167716 | software_tutorials_35 | chunk 11 | prompt_tokens=16185, candidates_tokens=207, total_tokens=16392
2025-11-21T00:34:57.382832 | software_tutorials_35 | chunk 12 | prompt_tokens=20122, candidates_tokens=152, total_tokens=20274
2025-11-21T00:35:08.061021 | software_tutorials_35 | chunk 13 | prompt_tokens=7079, candidates_tokens=157, total_tokens=7236
2025-11-21T00:35:15.451536 | software_tutorials_66 | chunk 0 | prompt_tokens=3941, candidates_tokens=121, total_tokens=4062
2025-11-21T00:35:27.842196 | software_tutorials_66 | chunk 1 | prompt_tokens=9959, candidates_tokens=232, total_tokens=10191
2025-11-21T00:35:50.349829 | software_tutorials_66 | chunk 2 | prompt_tokens=16235, candidates_tokens=251, total_tokens=16486
2025-11-21T00:36:05.595153 | software_tutorials_66 | chunk 3 | prompt_tokens=28021, candidates_tokens=303, total_tokens=28324
2025-11-21T00:36:13.987092 | software_tutorials_66 | chunk 4 | prompt_tokens=7387, candidates_tokens=177, total_tokens=7564
2025-11-21T00:36:21.296387 | software_tutorials_66 | chunk 5 | prompt_tokens=5481, candidates_tokens=231, total_tokens=5712
2025-11-21T00:36:28.315151 | software_tutorials_66 | chunk 6 | prompt_tokens=5148, candidates_tokens=159, total_tokens=5307
2025-11-21T00:36:37.832438 | software_tutorials_66 | chunk 7 | prompt_tokens=10475, candidates_tokens=279, total_tokens=10754
2025-11-21T00:36:45.784544 | software_tutorials_66 | chunk 8 | prompt_tokens=5764, candidates_tokens=260, total_tokens=6024
2025-11-21T00:36:53.125715 | software_tutorials_66 | chunk 9 | prompt_tokens=8569, candidates_tokens=301, total_tokens=8870
2025-11-21T00:37:00.436386 | software_tutorials_66 | chunk 10 | prompt_tokens=9110, candidates_tokens=229, total_tokens=9339
2025-11-21T00:37:08.453288 | software_tutorials_66 | chunk 11 | prompt_tokens=8594, candidates_tokens=173, total_tokens=8767
2025-11-21T00:37:17.173625 | software_tutorials_66 | chunk 12 | prompt_tokens=10242, candidates_tokens=175, total_tokens=10417
2025-11-21T00:37:25.885070 | software_tutorials_54 | chunk 0 | prompt_tokens=11016, candidates_tokens=197, total_tokens=11213
2025-11-21T00:37:36.146914 | software_tutorials_54 | chunk 1 | prompt_tokens=13405, candidates_tokens=234, total_tokens=13639
2025-11-21T00:37:42.909916 | software_tutorials_54 | chunk 2 | prompt_tokens=4274, candidates_tokens=229, total_tokens=4503
2025-11-21T00:37:51.388871 | software_tutorials_54 | chunk 3 | prompt_tokens=12864, candidates_tokens=164, total_tokens=13028
2025-11-21T00:38:02.927435 | software_tutorials_54 | chunk 4 | prompt_tokens=16418, candidates_tokens=202, total_tokens=16620
2025-11-21T00:38:11.405870 | software_tutorials_54 | chunk 5 | prompt_tokens=11091, candidates_tokens=200, total_tokens=11291
2025-11-21T00:38:31.849907 | software_tutorials_54 | chunk 6 | prompt_tokens=41680, candidates_tokens=334, total_tokens=42014
2025-11-21T00:38:37.654529 | software_tutorials_54 | chunk 7 | prompt_tokens=3708, candidates_tokens=269, total_tokens=3977
2025-11-21T00:38:46.563249 | software_tutorials_54 | chunk 8 | prompt_tokens=12223, candidates_tokens=186, total_tokens=12409
2025-11-21T00:38:55.753632 | software_tutorials_54 | chunk 9 | prompt_tokens=14229, candidates_tokens=200, total_tokens=14429
2025-11-21T00:39:04.515550 | software_tutorials_54 | chunk 10 | prompt_tokens=10192, candidates_tokens=249, total_tokens=10441
2025-11-21T00:39:11.394281 | software_tutorials_54 | chunk 11 | prompt_tokens=6230, candidates_tokens=256, total_tokens=6486
2025-11-21T00:39:24.955615 | software_tutorials_269 | chunk 0 | prompt_tokens=16235, candidates_tokens=173, total_tokens=16408
2025-11-21T00:39:33.540172 | software_tutorials_269 | chunk 1 | prompt_tokens=7129, candidates_tokens=222, total_tokens=7351
2025-11-21T00:39:46.481692 | software_tutorials_269 | chunk 2 | prompt_tokens=11041, candidates_tokens=420, total_tokens=11461
2025-11-21T00:39:55.753584 | software_tutorials_269 | chunk 3 | prompt_tokens=7179, candidates_tokens=182, total_tokens=7361
2025-11-21T00:40:06.887890 | software_tutorials_269 | chunk 4 | prompt_tokens=8186, candidates_tokens=146, total_tokens=8332
2025-11-21T00:40:15.913676 | software_tutorials_269 | chunk 5 | prompt_tokens=8286, candidates_tokens=149, total_tokens=8435
2025-11-21T00:40:22.312525 | software_tutorials_269 | chunk 6 | prompt_tokens=5456, candidates_tokens=239, total_tokens=5695
2025-11-21T00:40:29.916365 | software_tutorials_269 | chunk 7 | prompt_tokens=8852, candidates_tokens=172, total_tokens=9024
2025-11-21T00:40:36.824008 | software_tutorials_269 | chunk 8 | prompt_tokens=5689, candidates_tokens=147, total_tokens=5836
2025-11-21T00:40:43.661610 | software_tutorials_269 | chunk 9 | prompt_tokens=8336, candidates_tokens=196, total_tokens=8532
2025-11-21T00:40:51.602018 | software_tutorials_269 | chunk 10 | prompt_tokens=11990, candidates_tokens=156, total_tokens=12146
2025-11-21T00:40:59.949051 | software_tutorials_269 | chunk 11 | prompt_tokens=13355, candidates_tokens=182, total_tokens=13537
2025-11-21T00:41:07.076197 | software_tutorials_269 | chunk 12 | prompt_tokens=7670, candidates_tokens=157, total_tokens=7827
2025-11-21T00:41:15.250899 | software_tutorials_269 | chunk 13 | prompt_tokens=12198, candidates_tokens=218, total_tokens=12416
