2025-11-21T00:42:35.485436 | travel_vlogs_213 | chunk 0 | prompt_tokens=5223, candidates_tokens=216, total_tokens=5439
2025-11-21T00:42:48.933646 | travel_vlogs_213 | chunk 1 | prompt_tokens=7437, candidates_tokens=253, total_tokens=7690
2025-11-21T00:43:03.047547 | travel_vlogs_213 | chunk 2 | prompt_tokens=10525, candidates_tokens=193, total_tokens=10718
2025-11-21T00:43:40.737500 | travel_vlogs_213 | chunk 3 | prompt_tokens=23593, candidates_tokens=264, total_tokens=23857
2025-11-21T00:44:07.361377 | travel_vlogs_213 | chunk 4 | prompt_tokens=19631, candidates_tokens=244, total_tokens=19875
2025-11-21T00:44:19.568632 | travel_vlogs_213 | chunk 5 | prompt_tokens=9318, candidates_tokens=257, total_tokens=9575
2025-11-21T00:44:59.527739 | travel_vlogs_213 | chunk 6 | prompt_tokens=38983, candidates_tokens=336, total_tokens=39319
2025-11-21T00:45:29.983791 | travel_vlogs_213 | chunk 7 | prompt_tokens=25757, candidates_tokens=177, total_tokens=25934
2025-11-21T00:45:58.737362 | travel_vlogs_213 | chunk 8 | prompt_tokens=17084, candidates_tokens=324, total_tokens=17408
2025-11-21T00:46:20.822664 | travel_vlogs_213 | chunk 9 | prompt_tokens=16518, candidates_tokens=237, total_tokens=16755
2025-11-21T00:46:31.581497 | travel_vlogs_29 | chunk 0 | prompt_tokens=6796, candidates_tokens=248, total_tokens=7044
2025-11-21T00:46:38.068444 | travel_vlogs_29 | chunk 1 | prompt_tokens=3783, candidates_tokens=195, total_tokens=3978
2025-11-21T00:46:43.873167 | travel_vlogs_29 | chunk 2 | prompt_tokens=2035, candidates_tokens=174, total_tokens=2209
2025-11-21T00:47:01.487939 | travel_vlogs_29 | chunk 3 | prompt_tokens=13613, candidates_tokens=262, total_tokens=13875
2025-11-21T00:47:13.064152 | travel_vlogs_29 | chunk 4 | prompt_tokens=4299, candidates_tokens=130, total_tokens=4429
2025-11-21T00:47:23.841851 | travel_vlogs_29 | chunk 5 | prompt_tokens=9060, candidates_tokens=188, total_tokens=9248
2025-11-21T00:47:42.010620 | travel_vlogs_29 | chunk 6 | prompt_tokens=10500, candidates_tokens=218, total_tokens=10718
2025-11-21T00:48:01.797743 | travel_vlogs_29 | chunk 7 | prompt_tokens=9676, candidates_tokens=156, total_tokens=9832
2025-11-21T00:48:27.969657 | travel_vlogs_29 | chunk 8 | prompt_tokens=26423, candidates_tokens=229, total_tokens=26652
2025-11-21T00:48:38.805762 | travel_vlogs_29 | chunk 9 | prompt_tokens=15594, candidates_tokens=198, total_tokens=15792
2025-11-21T00:48:45.667104 | travel_vlogs_29 | chunk 10 | prompt_tokens=2626, candidates_tokens=162, total_tokens=2788
2025-11-21T00:48:54.561026 | travel_vlogs_29 | chunk 11 | prompt_tokens=9418, candidates_tokens=164, total_tokens=9582
2025-11-21T00:49:07.904407 | travel_vlogs_29 | chunk 12 | prompt_tokens=6563, candidates_tokens=209, total_tokens=6772
2025-11-21T00:49:19.933880 | travel_vlogs_29 | chunk 13 | prompt_tokens=11091, candidates_tokens=256, total_tokens=11347
2025-11-21T00:49:25.600366 | travel_vlogs_153 | chunk 0 | prompt_tokens=7079, candidates_tokens=208, total_tokens=7287
2025-11-21T00:49:32.280037 | travel_vlogs_153 | chunk 1 | prompt_tokens=6896, candidates_tokens=230, total_tokens=7126
2025-11-21T00:49:51.058447 | travel_vlogs_153 | chunk 2 | prompt_tokens=11732, candidates_tokens=187, total_tokens=11919
2025-11-21T00:50:02.272299 | travel_vlogs_153 | chunk 3 | prompt_tokens=10192, candidates_tokens=124, total_tokens=10316
2025-11-21T00:50:30.761447 | travel_vlogs_153 | chunk 4 | prompt_tokens=18349, candidates_tokens=200, total_tokens=18549
2025-11-21T00:50:46.828927 | travel_vlogs_153 | chunk 5 | prompt_tokens=8827, candidates_tokens=181, total_tokens=9008
2025-11-21T00:51:25.310627 | travel_vlogs_153 | chunk 6 | prompt_tokens=33964, candidates_tokens=158, total_tokens=34122
2025-11-21T00:52:05.533306 | travel_vlogs_153 | chunk 7 | prompt_tokens=40165, candidates_tokens=176, total_tokens=40341
2025-11-21T00:52:32.320602 | travel_vlogs_153 | chunk 8 | prompt_tokens=31800, candidates_tokens=225, total_tokens=32025
2025-11-21T00:52:48.961472 | travel_vlogs_64 | chunk 0 | prompt_tokens=8802, candidates_tokens=333, total_tokens=9135
2025-11-21T00:53:08.100080 | travel_vlogs_64 | chunk 1 | prompt_tokens=15569, candidates_tokens=241, total_tokens=15810
2025-11-21T00:53:30.837387 | travel_vlogs_64 | chunk 2 | prompt_tokens=9110, candidates_tokens=183, total_tokens=9293
2025-11-21T00:53:35.552447 | travel_vlogs_64 | chunk 3 | prompt_tokens=387, candidates_tokens=124, total_tokens=511
2025-11-21T00:53:53.563904 | travel_vlogs_64 | chunk 4 | prompt_tokens=9909, candidates_tokens=170, total_tokens=10079
2025-11-21T00:54:21.993695 | travel_vlogs_64 | chunk 5 | prompt_tokens=18374, candidates_tokens=222, total_tokens=18596
2025-11-21T00:54:26.800900 | travel_vlogs_64 | chunk 6 | prompt_tokens=2085, candidates_tokens=124, total_tokens=2209
2025-11-21T00:54:54.368239 | travel_vlogs_64 | chunk 7 | prompt_tokens=13355, candidates_tokens=209, total_tokens=13564
2025-11-21T00:55:08.202979 | travel_vlogs_64 | chunk 8 | prompt_tokens=19606, candidates_tokens=221, total_tokens=19827
2025-11-21T00:55:25.790835 | travel_vlogs_64 | chunk 9 | prompt_tokens=7437, candidates_tokens=247, total_tokens=7684
2025-11-21T00:57:19.729265 | travel_vlogs_64 | chunk 10 | prompt_tokens=17367, candidates_tokens=199, total_tokens=17566
2025-11-21T00:57:32.051376 | travel_vlogs_142 | chunk 0 | prompt_tokens=11166, candidates_tokens=256, total_tokens=11422
2025-11-21T00:57:47.331824 | travel_vlogs_142 | chunk 1 | prompt_tokens=15877, candidates_tokens=238, total_tokens=16115
2025-11-21T00:58:12.212931 | travel_vlogs_142 | chunk 2 | prompt_tokens=14154, candidates_tokens=229, total_tokens=14383
2025-11-21T00:58:22.653639 | travel_vlogs_142 | chunk 3 | prompt_tokens=6588, candidates_tokens=192, total_tokens=6780
2025-11-21T00:58:30.119552 | travel_vlogs_142 | chunk 4 | prompt_tokens=7695, candidates_tokens=243, total_tokens=7938
2025-11-21T00:58:41.902513 | travel_vlogs_142 | chunk 5 | prompt_tokens=10858, candidates_tokens=258, total_tokens=11116
2025-11-21T00:58:52.384010 | travel_vlogs_142 | chunk 6 | prompt_tokens=12839, candidates_tokens=219, total_tokens=13058
2025-11-21T00:59:15.759676 | travel_vlogs_142 | chunk 7 | prompt_tokens=40806, candidates_tokens=320, total_tokens=41126
2025-11-21T00:59:48.717080 | travel_vlogs_142 | chunk 8 | prompt_tokens=38001, candidates_tokens=221, total_tokens=38222
2025-11-21T00:59:55.252472 | travel_vlogs_142 | chunk 9 | prompt_tokens=7337, candidates_tokens=185, total_tokens=7522
2025-11-21T01:00:11.117356 | travel_vlogs_50 | chunk 0 | prompt_tokens=18965, candidates_tokens=354, total_tokens=19319
2025-11-21T01:00:24.362176 | travel_vlogs_50 | chunk 1 | prompt_tokens=13538, candidates_tokens=240, total_tokens=13778
2025-11-21T01:00:29.940475 | travel_vlogs_50 | chunk 2 | prompt_tokens=3758, candidates_tokens=160, total_tokens=3918
2025-11-21T01:00:35.452145 | travel_vlogs_50 | chunk 3 | prompt_tokens=3758, candidates_tokens=175, total_tokens=3933
2025-11-21T01:00:41.983406 | travel_vlogs_50 | chunk 4 | prompt_tokens=4557, candidates_tokens=278, total_tokens=4835
2025-11-21T01:00:58.153352 | travel_vlogs_50 | chunk 5 | prompt_tokens=11940, candidates_tokens=216, total_tokens=12156
2025-11-21T01:01:04.359382 | travel_vlogs_50 | chunk 6 | prompt_tokens=3708, candidates_tokens=205, total_tokens=3913
2025-11-21T01:01:12.810592 | travel_vlogs_50 | chunk 7 | prompt_tokens=10167, candidates_tokens=223, total_tokens=10390
2025-11-21T01:01:22.320425 | travel_vlogs_50 | chunk 8 | prompt_tokens=6613, candidates_tokens=173, total_tokens=6786
2025-11-21T01:01:29.342298 | travel_vlogs_50 | chunk 9 | prompt_tokens=4890, candidates_tokens=172, total_tokens=5062
2025-11-21T01:01:45.753340 | travel_vlogs_50 | chunk 10 | prompt_tokens=14462, candidates_tokens=221, total_tokens=14683
2025-11-21T01:02:01.571260 | travel_vlogs_50 | chunk 11 | prompt_tokens=24417, candidates_tokens=294, total_tokens=24711
2025-11-21T01:02:33.941981 | travel_vlogs_82 | chunk 0 | prompt_tokens=18524, candidates_tokens=281, total_tokens=18805
2025-11-21T01:02:43.859502 | travel_vlogs_82 | chunk 1 | prompt_tokens=5972, candidates_tokens=149, total_tokens=6121
2025-11-21T01:03:05.219310 | travel_vlogs_82 | chunk 2 | prompt_tokens=6305, candidates_tokens=211, total_tokens=6516
2025-11-21T01:03:19.791108 | travel_vlogs_82 | chunk 3 | prompt_tokens=13663, candidates_tokens=235, total_tokens=13898
2025-11-21T01:03:25.920352 | travel_vlogs_82 | chunk 4 | prompt_tokens=2909, candidates_tokens=123, total_tokens=3032
2025-11-21T01:03:40.804257 | travel_vlogs_82 | chunk 5 | prompt_tokens=6280, candidates_tokens=208, total_tokens=6488
2025-11-21T01:03:56.764360 | travel_vlogs_82 | chunk 6 | prompt_tokens=10500, candidates_tokens=204, total_tokens=10704
2025-11-21T01:04:06.275569 | travel_vlogs_82 | chunk 7 | prompt_tokens=6538, candidates_tokens=207, total_tokens=6745
2025-11-21T01:04:15.814825 | travel_vlogs_82 | chunk 8 | prompt_tokens=7670, candidates_tokens=178, total_tokens=7848
